Index       V(C)              V(B)             I(V_C)            I(V_B)      
29       1.45000000e+00    7.50000000e-01    2.84654898e-04    3.84076198e-06
30       1.50000000e+00    7.50000000e-01    2.85475467e-04    3.83931660e-06
31       1.55000000e+00    7.50000000e-01    2.86292719e-04    3.83727771e-06
32       1.60000000e+00    7.50000000e-01    2.87107089e-04    3.83452674e-06
33       1.65000000e+00    7.50000000e-01    2.87919011e-04    3.83093106e-06
34       1.70000000e+00    7.50000000e-01    2.88728923e-04    3.82634354e-06
35       1.75000000e+00    7.50000000e-01    2.89537271e-04    3.82060229e-06
36       1.80000000e+00    7.50000000e-01    2.90344506e-04    3.81353039e-06
37       1.85000000e+00    7.50000000e-01    2.91151092e-04    3.80493580e-06
38       1.90000000e+00    7.50000000e-01    2.91957500e-04    3.79461125e-06
39       1.95000000e+00    7.50000000e-01    2.92764218e-04    3.78233432e-06
40       2.00000000e+00    7.50000000e-01    2.93571743e-04    3.76786746e-06
41       2.05000000e+00    7.50000000e-01    2.94380589e-04    3.75095821e-06
42       2.10000000e+00    7.50000000e-01    2.95191283e-04    3.73133932e-06
43       2.15000000e+00    7.50000000e-01    2.96004368e-04    3.70872906e-06
44       2.20000000e+00    7.50000000e-01    2.96820402e-04    3.68283150e-06
45       2.25000000e+00    7.50000000e-01    2.97639959e-04    3.65333681e-06
46       2.30000000e+00    7.50000000e-01    2.98463628e-04    3.61992163e-06
47       2.35000000e+00    7.50000000e-01    2.99292015e-04    3.58224948e-06
48       2.40000000e+00    7.50000000e-01    3.00125740e-04    3.53997112e-06
49       2.45000000e+00    7.50000000e-01    3.00965441e-04    3.49272495e-06
50       2.50000000e+00    7.50000000e-01    3.01811771e-04    3.44013750e-06
51       2.55000000e+00    7.50000000e-01    3.02665396e-04    3.38182380e-06
52       2.60000000e+00    7.50000000e-01    3.03527000e-04    3.31738780e-06
53       2.65000000e+00    7.50000000e-01    3.04397282e-04    3.24642284e-06
54       2.70000000e+00    7.50000000e-01    3.05276952e-04    3.16851205e-06
55       2.75000000e+00    7.50000000e-01    3.06166739e-04    3.08322874e-06
56       2.80000000e+00    7.50000000e-01    3.07067385e-04    2.99013685e-06
57       2.85000000e+00    7.50000000e-01    3.07979643e-04    2.88879127e-06
58       2.90000000e+00    7.50000000e-01    3.08904283e-04    2.77873827e-06
59       2.95000000e+00    7.50000000e-01    3.09842087e-04    2.65951583e-06
60       3.00000000e+00    7.50000000e-01    3.10793851e-04    2.53065397e-06
61       3.05000000e+00    7.50000000e-01    3.11760383e-04    2.39167507e-06
62       3.10000000e+00    7.50000000e-01    3.12742505e-04    2.24209418e-06
63       3.15000000e+00    7.50000000e-01    3.13741050e-04    2.08141926e-06
64       3.20000000e+00    7.50000000e-01    3.14756865e-04    1.90915147e-06
65       3.25000000e+00    7.50000000e-01    3.15790809e-04    1.72478533e-06
66       3.30000000e+00    7.50000000e-01    3.16843753e-04    1.52780901e-06
67       3.35000000e+00    7.50000000e-01    3.17916580e-04    1.31770441e-06
68       3.40000000e+00    7.50000000e-01    3.19010187e-04    1.09394737e-06
69       3.45000000e+00    7.50000000e-01    3.20125480e-04    8.56007778e-07
70       3.50000000e+00    7.50000000e-01    3.21263381e-04    6.03349658e-07
71       3.55000000e+00    7.50000000e-01    3.22424823e-04    3.35431244e-07
72       3.60000000e+00    7.50000000e-01    3.23610750e-04    5.17050293e-08
73       3.65000000e+00    7.50000000e-01    3.24822120e-04   -2.48382226e-07
74       3.70000000e+00    7.50000000e-01    3.26059905e-04   -5.65389501e-07
75       3.75000000e+00    7.50000000e-01    3.27325089e-04   -8.99881550e-07
76       3.80000000e+00    7.50000000e-01    3.28618668e-04   -1.25242897e-06
77       3.85000000e+00    7.50000000e-01    3.29941655e-04   -1.62360830e-06
78       3.90000000e+00    7.50000000e-01    3.31295076e-04   -2.01400213e-06
79       3.95000000e+00    7.50000000e-01    3.32679969e-04   -2.42419925e-06
80       4.00000000e+00    7.50000000e-01    3.34097392e-04   -2.85479482e-06
81       4.05000000e+00    7.50000000e-01    3.35548413e-04   -3.30639062e-06
82       4.10000000e+00    7.50000000e-01    3.37034121e-04   -3.77959519e-06
83       4.15000000e+00    7.50000000e-01    3.38555620e-04   -4.27502419e-06
84       4.20000000e+00    7.50000000e-01    3.40114030e-04   -4.79330063e-06
85       4.25000000e+00    7.50000000e-01    3.41710490e-04   -5.33505519e-06
86       4.30000000e+00    7.50000000e-01    3.43346160e-04   -5.90092662e-06
87       4.35000000e+00    7.50000000e-01    3.45022217e-04   -6.49156203e-06
88       4.40000000e+00    7.50000000e-01    3.46739860e-04   -7.10761740e-06
89       4.45000000e+00    7.50000000e-01    3.48500310e-04   -7.74975795e-06
90       4.50000000e+00    7.50000000e-01    3.50304808e-04   -8.41865864e-06
91       4.55000000e+00    7.50000000e-01    3.52154623e-04   -9.11500469e-06
92       4.60000000e+00    7.50000000e-01    3.54051044e-04   -9.83949209e-06
93       4.65000000e+00    7.50000000e-01    3.55995389e-04   -1.05928282e-05
94       4.70000000e+00    7.50000000e-01    3.57989002e-04   -1.13757324e-05
95       4.75000000e+00    7.50000000e-01    3.60033257e-04   -1.21889365e-05
96       4.80000000e+00    7.50000000e-01    3.62129557e-04   -1.30331860e-05
97       4.85000000e+00    7.50000000e-01    3.64279336e-04   -1.39092401e-05
98       4.90000000e+00    7.50000000e-01    3.66484062e-04   -1.48178730e-05
99       4.95000000e+00    7.50000000e-01    3.68745237e-04   -1.57598744e-05
100      5.00000000e+00    7.50000000e-01    3.71064399e-04   -1.67360507e-05
0        0.00000000e+00    8.00000000e-01   -2.69153971e-04    3.66031270e-04
1        5.00000000e-02    8.00000000e-01    5.23371816e-04    1.29412220e-04
2        1.00000000e-01    8.00000000e-01    9.36434126e-04    5.60254995e-05
3        1.50000000e-01    8.00000000e-01    1.10749811e-03    3.44493942e-05
4        2.00000000e-01    8.00000000e-01    1.17581280e-03    2.72692954e-05
5        2.50000000e-01    8.00000000e-01    1.20333409e-03    2.48179125e-05
6        3.00000000e-01    8.00000000e-01    1.21357530e-03    2.42178571e-05
7        3.50000000e-01    8.00000000e-01    1.21878448e-03    2.41248978e-05
8        4.00000000e-01    8.00000000e-01    1.22291309e-03    2.41229827e-05
9        4.50000000e-01    8.00000000e-01    1.22673891e-03    2.41353630e-05
10       5.00000000e-01    8.00000000e-01    1.23041041e-03    2.41502117e-05
11       5.50000000e-01    8.00000000e-01    1.23396964e-03    2.41657295e-05
12       6.00000000e-01    8.00000000e-01    1.23743743e-03    2.41816156e-05
13       6.50000000e-01    8.00000000e-01    1.24082797e-03    2.41977988e-05
14       7.00000000e-01    8.00000000e-01    1.24415201e-03    2.42142480e-05
15       7.50000000e-01    8.00000000e-01    1.24741807e-03    2.42309419e-05
16       8.00000000e-01    8.00000000e-01    1.25063306e-03    2.42478628e-05
17       8.50000000e-01    8.00000000e-01    1.25380268e-03    2.42649946e-05
18       9.00000000e-01    8.00000000e-01    1.25693172e-03    2.42823209e-05
19       9.50000000e-01    8.00000000e-01    1.26002424e-03    2.42998225e-05
20       1.00000000e+00    8.00000000e-01    1.26308374e-03    2.43174758e-05
21       1.05000000e+00    8.00000000e-01    1.26611327e-03    2.43352490e-05
22       1.10000000e+00    8.00000000e-01    1.26911551e-03    2.43530994e-05
23       1.15000000e+00    8.00000000e-01    1.27209289e-03    2.43709695e-05
24       1.20000000e+00    8.00000000e-01    1.27504759e-03    2.43887829e-05
25       1.25000000e+00    8.00000000e-01    1.27798162e-03    2.44064401e-05
26       1.30000000e+00    8.00000000e-01    1.28089687e-03    2.44238139e-05
27       1.35000000e+00    8.00000000e-01    1.28379512e-03    2.44407455e-05
28       1.40000000e+00    8.00000000e-01    1.28667812e-03    2.44570395e-05
29       1.45000000e+00    8.00000000e-01    1.28954756e-03    2.44724598e-05
30       1.50000000e+00    8.00000000e-01    1.29240514e-03    2.44867259e-05
31       1.55000000e+00    8.00000000e-01    1.29525255e-03    2.44995091e-05
32       1.60000000e+00    8.00000000e-01    1.29809155e-03    2.45104287e-05
33       1.65000000e+00    8.00000000e-01    1.30092391e-03    2.45190498e-05
34       1.70000000e+00    8.00000000e-01    1.30375151e-03    2.45248798e-05
35       1.75000000e+00    8.00000000e-01    1.30657626e-03    2.45273671e-05
36       1.80000000e+00    8.00000000e-01    1.30940019e-03    2.45258987e-05
37       1.85000000e+00    8.00000000e-01    1.31222541e-03    2.45197992e-05
38       1.90000000e+00    8.00000000e-01    1.31505415e-03    2.45083295e-05
39       1.95000000e+00    8.00000000e-01    1.31788875e-03    2.44906867e-05
40       2.00000000e+00    8.00000000e-01    1.32073165e-03    2.44660034e-05
41       2.05000000e+00    8.00000000e-01    1.32358543e-03    2.44333480e-05
42       2.10000000e+00    8.00000000e-01    1.32645279e-03    2.43917253e-05
43       2.15000000e+00    8.00000000e-01    1.32933654e-03    2.43400765e-05
44       2.20000000e+00    8.00000000e-01    1.33223965e-03    2.42772807e-05
45       2.25000000e+00    8.00000000e-01    1.33516519e-03    2.42021557e-05
46       2.30000000e+00    8.00000000e-01    1.33811638e-03    2.41134594e-05
47       2.35000000e+00    8.00000000e-01    1.34109656e-03    2.40098909e-05
48       2.40000000e+00    8.00000000e-01    1.34410919e-03    2.38900923e-05
49       2.45000000e+00    8.00000000e-01    1.34715786e-03    2.37526500e-05
50       2.50000000e+00    8.00000000e-01    1.35024632e-03    2.35960966e-05
51       2.55000000e+00    8.00000000e-01    1.35337839e-03    2.34189124e-05
52       2.60000000e+00    8.00000000e-01    1.35655805e-03    2.32195272e-05
53       2.65000000e+00    8.00000000e-01    1.35978939e-03    2.29963217e-05
54       2.70000000e+00    8.00000000e-01    1.36307663e-03    2.27476295e-05
55       2.75000000e+00    8.00000000e-01    1.36642409e-03    2.24717384e-05
56       2.80000000e+00    8.00000000e-01    1.36983622e-03    2.21668920e-05
57       2.85000000e+00    8.00000000e-01    1.37331759e-03    2.18312913e-05
58       2.90000000e+00    8.00000000e-01    1.37687286e-03    2.14630958e-05
59       2.95000000e+00    8.00000000e-01    1.38050682e-03    2.10604249e-05
60       3.00000000e+00    8.00000000e-01    1.38422438e-03    2.06213588e-05
61       3.05000000e+00    8.00000000e-01    1.38803055e-03    2.01439399e-05
62       3.10000000e+00    8.00000000e-01    1.39193043e-03    1.96261734e-05
63       3.15000000e+00    8.00000000e-01    1.39592928e-03    1.90660279e-05
64       3.20000000e+00    8.00000000e-01    1.40003242e-03    1.84614363e-05
65       3.25000000e+00    8.00000000e-01    1.40424530e-03    1.78102960e-05
66       3.30000000e+00    8.00000000e-01    1.40857350e-03    1.71104691e-05
67       3.35000000e+00    8.00000000e-01    1.41302268e-03    1.63597828e-05
68       3.40000000e+00    8.00000000e-01    1.41759864e-03    1.55560289e-05
69       3.45000000e+00    8.00000000e-01    1.42230729e-03    1.46969640e-05
70       3.50000000e+00    8.00000000e-01    1.42715465e-03    1.37803087e-05
71       3.55000000e+00    8.00000000e-01    1.43214687e-03    1.28037470e-05
72       3.60000000e+00    8.00000000e-01    1.43729022e-03    1.17649260e-05
73       3.65000000e+00    8.00000000e-01    1.44259111e-03    1.06614541e-05
74       3.70000000e+00    8.00000000e-01    1.44805607e-03    9.49090055e-06
75       3.75000000e+00    8.00000000e-01    1.45369178e-03    8.25079374e-06
76       3.80000000e+00    8.00000000e-01    1.45950505e-03    6.93861965e-06
77       3.85000000e+00    8.00000000e-01    1.46550285e-03    5.55182009e-06
78       3.90000000e+00    8.00000000e-01    1.47169230e-03    4.08779076e-06
79       3.95000000e+00    8.00000000e-01    1.47808069e-03    2.54387902e-06
80       4.00000000e+00    8.00000000e-01    1.48467548e-03    9.17381481e-07
81       4.05000000e+00    8.00000000e-01    1.49148430e-03   -7.94458628e-07
82       4.10000000e+00    8.00000000e-01    1.49851496e-03   -2.59445432e-06
83       4.15000000e+00    8.00000000e-01    1.50577549e-03   -4.48547793e-06
84       4.20000000e+00    8.00000000e-01    1.51327411e-03   -6.47046451e-06
85       4.25000000e+00    8.00000000e-01    1.52101927e-03   -8.55241536e-06
86       4.30000000e+00    8.00000000e-01    1.52901963e-03   -1.07344019e-05
87       4.35000000e+00    8.00000000e-01    1.53728411e-03   -1.30195699e-05
88       4.40000000e+00    8.00000000e-01    1.54582189e-03   -1.54111436e-05
89       4.45000000e+00    8.00000000e-01    1.55464239e-03   -1.79124307e-05
90       4.50000000e+00    8.00000000e-01    1.56375535e-03   -2.05268274e-05
91       4.55000000e+00    8.00000000e-01    1.57317079e-03   -2.32578233e-05
92       4.60000000e+00    8.00000000e-01    1.58289904e-03   -2.61090076e-05
93       4.65000000e+00    8.00000000e-01    1.59295079e-03   -2.90840747e-05
94       4.70000000e+00    8.00000000e-01    1.60333707e-03   -3.21868310e-05
95       4.75000000e+00    8.00000000e-01    1.61406930e-03   -3.54212012e-05
96       4.80000000e+00    8.00000000e-01    1.62515926e-03   -3.87912359e-05
97       4.85000000e+00    8.00000000e-01    1.63661920e-03   -4.23011192e-05
98       4.90000000e+00    8.00000000e-01    1.64846179e-03   -4.59551765e-05
99       4.95000000e+00    8.00000000e-01    1.66070016e-03   -4.97578835e-05
100      5.00000000e+00    8.00000000e-01    1.67334798e-03   -5.37138753e-05
0        0.00000000e+00    8.50000000e-01   -7.77451280e-04    1.25212320e-03
1        5.00000000e-02    8.50000000e-01    8.87714358e-04    6.80213774e-04
2        1.00000000e-01    8.50000000e-01    2.13097947e-03    3.81268707e-04
3        1.50000000e-01    8.50000000e-01    2.87411244e-03    2.48554150e-04
4        2.00000000e-01    8.50000000e-01    3.24936792e-03    1.93394208e-04
5        2.50000000e-01    8.50000000e-01    3.44880491e-03    1.67372970e-04
6        3.00000000e-01    8.50000000e-01    3.58151590e-03    1.51435968e-04
7        3.50000000e-01    8.50000000e-01    3.68151420e-03    1.40246002e-04
8        4.00000000e-01    8.50000000e-01    3.75316136e-03    1.32869333e-04
9        4.50000000e-01    8.50000000e-01    3.79707686e-03    1.28986166e-04
10       5.00000000e-01    8.50000000e-01    3.81969357e-03    1.27698107e-04
11       5.50000000e-01    8.50000000e-01    3.83249752e-03    1.27575109e-04
12       6.00000000e-01    8.50000000e-01    3.84265664e-03    1.27739025e-04
13       6.50000000e-01    8.50000000e-01    3.85215300e-03    1.27955275e-04
14       7.00000000e-01    8.50000000e-01    3.86138162e-03    1.28182808e-04
15       7.50000000e-01    8.50000000e-01    3.87043873e-03    1.28414928e-04
16       8.00000000e-01    8.50000000e-01    3.87936405e-03    1.28650350e-04
17       8.50000000e-01    8.50000000e-01    3.88818231e-03    1.28888681e-04
18       9.00000000e-01    8.50000000e-01    3.89691162e-03    1.29129706e-04
19       9.50000000e-01    8.50000000e-01    3.90556610e-03    1.29373274e-04
20       1.00000000e+00    8.50000000e-01    3.91415708e-03    1.29619265e-04
21       1.05000000e+00    8.50000000e-01    3.92269382e-03    1.29867580e-04
22       1.10000000e+00    8.50000000e-01    3.93118406e-03    1.30118131e-04
23       1.15000000e+00    8.50000000e-01    3.93963435e-03    1.30370836e-04
24       1.20000000e+00    8.50000000e-01    3.94805033e-03    1.30625613e-04
25       1.25000000e+00    8.50000000e-01    3.95643694e-03    1.30882368e-04
26       1.30000000e+00    8.50000000e-01    3.96479859e-03    1.31140985e-04
27       1.35000000e+00    8.50000000e-01    3.97313928e-03    1.31401321e-04
28       1.40000000e+00    8.50000000e-01    3.98146273e-03    1.31663191e-04
29       1.45000000e+00    8.50000000e-01    3.98977247e-03    1.31926359e-04
30       1.50000000e+00    8.50000000e-01    3.99807195e-03    1.32190521e-04
31       1.55000000e+00    8.50000000e-01    4.00636463e-03    1.32455298e-04
32       1.60000000e+00    8.50000000e-01    4.01465400e-03    1.32720220e-04
33       1.65000000e+00    8.50000000e-01    4.02294372e-03    1.32984717e-04
34       1.70000000e+00    8.50000000e-01    4.03123762e-03    1.33248103e-04
35       1.75000000e+00    8.50000000e-01    4.03953982e-03    1.33509569e-04
36       1.80000000e+00    8.50000000e-01    4.04785471e-03    1.33768171e-04
37       1.85000000e+00    8.50000000e-01    4.05618706e-03    1.34022823e-04
38       1.90000000e+00    8.50000000e-01    4.06454202e-03    1.34272286e-04
39       1.95000000e+00    8.50000000e-01    4.07292518e-03    1.34515164e-04
40       2.00000000e+00    8.50000000e-01    4.08134259e-03    1.34749896e-04
41       2.05000000e+00    8.50000000e-01    4.08980079e-03    1.34974754e-04
42       2.10000000e+00    8.50000000e-01    4.09830685e-03    1.35187840e-04
43       2.15000000e+00    8.50000000e-01    4.10686835e-03    1.35387079e-04
44       2.20000000e+00    8.50000000e-01    4.11549343e-03    1.35570224e-04
45       2.25000000e+00    8.50000000e-01    4.12419080e-03    1.35734853e-04
46       2.30000000e+00    8.50000000e-01    4.13296973e-03    1.35878369e-04
47       2.35000000e+00    8.50000000e-01    4.14184006e-03    1.35998004e-04
48       2.40000000e+00    8.50000000e-01    4.15081223e-03    1.36090820e-04
49       2.45000000e+00    8.50000000e-01    4.15989724e-03    1.36153709e-04
50       2.50000000e+00    8.50000000e-01    4.16910667e-03    1.36183403e-04
51       2.55000000e+00    8.50000000e-01    4.17845269e-03    1.36176473e-04
52       2.60000000e+00    8.50000000e-01    4.18794803e-03    1.36129335e-04
53       2.65000000e+00    8.50000000e-01    4.19760598e-03    1.36038252e-04
54       2.70000000e+00    8.50000000e-01    4.20744041e-03    1.35899345e-04
55       2.75000000e+00    8.50000000e-01    4.21746573e-03    1.35708593e-04
56       2.80000000e+00    8.50000000e-01    4.22769688e-03    1.35461837e-04
57       2.85000000e+00    8.50000000e-01    4.23814936e-03    1.35154789e-04
58       2.90000000e+00    8.50000000e-01    4.24883919e-03    1.34783036e-04
59       2.95000000e+00    8.50000000e-01    4.25978291e-03    1.34342044e-04
60       3.00000000e+00    8.50000000e-01    4.27099757e-03    1.33827160e-04
