Index       V(E)              V(B)             I(V_E)            I(V_B)      
54       2.70000000e+00    7.00000000e-01    5.24997363e-05    1.01562485e-05
55       2.75000000e+00    7.00000000e-01    5.28247608e-05    1.01504786e-05
56       2.80000000e+00    7.00000000e-01    5.31510844e-05    1.01446879e-05
57       2.85000000e+00    7.00000000e-01    5.34787312e-05    1.01388761e-05
58       2.90000000e+00    7.00000000e-01    5.38077250e-05    1.01330427e-05
59       2.95000000e+00    7.00000000e-01    5.41380884e-05    1.01271873e-05
60       3.00000000e+00    7.00000000e-01    5.44698438e-05    1.01213096e-05
61       3.05000000e+00    7.00000000e-01    5.48030127e-05    1.01154093e-05
62       3.10000000e+00    7.00000000e-01    5.51376164e-05    1.01094859e-05
63       3.15000000e+00    7.00000000e-01    5.54736753e-05    1.01035392e-05
64       3.20000000e+00    7.00000000e-01    5.58112094e-05    1.00975689e-05
65       3.25000000e+00    7.00000000e-01    5.61502384e-05    1.00915745e-05
66       3.30000000e+00    7.00000000e-01    5.64907813e-05    1.00855559e-05
67       3.35000000e+00    7.00000000e-01    5.68328568e-05    1.00795127e-05
68       3.40000000e+00    7.00000000e-01    5.71764829e-05    1.00734446e-05
69       3.45000000e+00    7.00000000e-01    5.75216776e-05    1.00673513e-05
70       3.50000000e+00    7.00000000e-01    5.78684582e-05    1.00612327e-05
71       3.55000000e+00    7.00000000e-01    5.82168416e-05    1.00550883e-05
72       3.60000000e+00    7.00000000e-01    5.85668444e-05    1.00489180e-05
73       3.65000000e+00    7.00000000e-01    5.89184830e-05    1.00427215e-05
74       3.70000000e+00    7.00000000e-01    5.92717731e-05    1.00364986e-05
75       3.75000000e+00    7.00000000e-01    5.96267303e-05    1.00302490e-05
76       3.80000000e+00    7.00000000e-01    5.99833699e-05    1.00239724e-05
77       3.85000000e+00    7.00000000e-01    6.03417066e-05    1.00176688e-05
78       3.90000000e+00    7.00000000e-01    6.07017552e-05    1.00113378e-05
79       3.95000000e+00    7.00000000e-01    6.10635297e-05    1.00049793e-05
80       4.00000000e+00    7.00000000e-01    6.14270441e-05    9.99859295e-06
81       4.05000000e+00    7.00000000e-01    6.17923122e-05    9.99217867e-06
82       4.10000000e+00    7.00000000e-01    6.21593472e-05    9.98573624e-06
83       4.15000000e+00    7.00000000e-01    6.25281621e-05    9.97926546e-06
84       4.20000000e+00    7.00000000e-01    6.28987699e-05    9.97276616e-06
85       4.25000000e+00    7.00000000e-01    6.32711829e-05    9.96623815e-06
86       4.30000000e+00    7.00000000e-01    6.36454134e-05    9.95968126e-06
87       4.35000000e+00    7.00000000e-01    6.40214734e-05    9.95309534e-06
88       4.40000000e+00    7.00000000e-01    6.43993745e-05    9.94648021e-06
89       4.45000000e+00    7.00000000e-01    6.47791282e-05    9.93983572e-06
90       4.50000000e+00    7.00000000e-01    6.51607456e-05    9.93316172e-06
91       4.55000000e+00    7.00000000e-01    6.55442377e-05    9.92645806e-06
92       4.60000000e+00    7.00000000e-01    6.59296150e-05    9.91972461e-06
93       4.65000000e+00    7.00000000e-01    6.63168879e-05    9.91296122e-06
94       4.70000000e+00    7.00000000e-01    6.67060667e-05    9.90616778e-06
95       4.75000000e+00    7.00000000e-01    6.70971612e-05    9.89934414e-06
96       4.80000000e+00    7.00000000e-01    6.74901809e-05    9.89249020e-06
97       4.85000000e+00    7.00000000e-01    6.78851354e-05    9.88560583e-06
98       4.90000000e+00    7.00000000e-01    6.82820338e-05    9.87869092e-06
99       4.95000000e+00    7.00000000e-01    6.86808849e-05    9.87174537e-06
100      5.00000000e+00    7.00000000e-01    6.90816974e-05    9.86476908e-06
0        0.00000000e+00    7.50000000e-01   -1.19134161e-05    7.23573805e-05
1        5.00000000e-02    7.50000000e-01    1.22010988e-04    6.24706414e-05
2        1.00000000e-01    7.50000000e-01    1.44216257e-04    6.09009061e-05
3        1.50000000e-01    7.50000000e-01    1.48385887e-04    6.06082192e-05
4        2.00000000e-01    7.50000000e-01    1.49804980e-04    6.05085258e-05
5        2.50000000e-01    7.50000000e-01    1.50768410e-04    6.04408424e-05
6        3.00000000e-01    7.50000000e-01    1.51625350e-04    6.03806998e-05
7        3.50000000e-01    7.50000000e-01    1.52435373e-04    6.03239023e-05
8        4.00000000e-01    7.50000000e-01    1.53213086e-04    6.02694111e-05
9        4.50000000e-01    7.50000000e-01    1.53964890e-04    6.02167690e-05
10       5.00000000e-01    7.50000000e-01    1.54694920e-04    6.01656815e-05
11       5.50000000e-01    7.50000000e-01    1.55406257e-04    6.01159297e-05
12       6.00000000e-01    7.50000000e-01    1.56101314e-04    6.00673428e-05
13       6.50000000e-01    7.50000000e-01    1.56782032e-04    6.00197831e-05
14       7.00000000e-01    7.50000000e-01    1.57450000e-04    5.99731381e-05
15       7.50000000e-01    7.50000000e-01    1.58106545e-04    5.99273138e-05
16       8.00000000e-01    7.50000000e-01    1.58752782e-04    5.98822313e-05
17       8.50000000e-01    7.50000000e-01    1.59389666e-04    5.98378228e-05
18       9.00000000e-01    7.50000000e-01    1.60018017e-04    5.97940305e-05
19       9.50000000e-01    7.50000000e-01    1.60638549e-04    5.97508035e-05
20       1.00000000e+00    7.50000000e-01    1.61251886e-04    5.97080978e-05
21       1.05000000e+00    7.50000000e-01    1.61858579e-04    5.96658743e-05
22       1.10000000e+00    7.50000000e-01    1.62459117e-04    5.96240983e-05
23       1.15000000e+00    7.50000000e-01    1.63053936e-04    5.95827390e-05
24       1.20000000e+00    7.50000000e-01    1.63643428e-04    5.95417685e-05
25       1.25000000e+00    7.50000000e-01    1.64227944e-04    5.95011620e-05
26       1.30000000e+00    7.50000000e-01    1.64807804e-04    5.94608968e-05
27       1.35000000e+00    7.50000000e-01    1.65383297e-04    5.94209524e-05
28       1.40000000e+00    7.50000000e-01    1.65954687e-04    5.93813101e-05
29       1.45000000e+00    7.50000000e-01    1.66522215e-04    5.93419527e-05
30       1.50000000e+00    7.50000000e-01    1.67086104e-04    5.93028646e-05
31       1.55000000e+00    7.50000000e-01    1.67646558e-04    5.92640313e-05
32       1.60000000e+00    7.50000000e-01    1.68203764e-04    5.92254395e-05
33       1.65000000e+00    7.50000000e-01    1.68757896e-04    5.91870767e-05
34       1.70000000e+00    7.50000000e-01    1.69309116e-04    5.91489316e-05
35       1.75000000e+00    7.50000000e-01    1.69857575e-04    5.91109936e-05
36       1.80000000e+00    7.50000000e-01    1.70403411e-04    5.90732527e-05
37       1.85000000e+00    7.50000000e-01    1.70946756e-04    5.90356997e-05
38       1.90000000e+00    7.50000000e-01    1.71487730e-04    5.89983260e-05
39       1.95000000e+00    7.50000000e-01    1.72026449e-04    5.89611235e-05
40       2.00000000e+00    7.50000000e-01    1.72563018e-04    5.89240845e-05
41       2.05000000e+00    7.50000000e-01    1.73097540e-04    5.88872020e-05
42       2.10000000e+00    7.50000000e-01    1.73630108e-04    5.88504693e-05
43       2.15000000e+00    7.50000000e-01    1.74160812e-04    5.88138801e-05
44       2.20000000e+00    7.50000000e-01    1.74689735e-04    5.87774283e-05
45       2.25000000e+00    7.50000000e-01    1.75216958e-04    5.87411084e-05
46       2.30000000e+00    7.50000000e-01    1.75742555e-04    5.87049151e-05
47       2.35000000e+00    7.50000000e-01    1.76266598e-04    5.86688433e-05
48       2.40000000e+00    7.50000000e-01    1.76789154e-04    5.86328882e-05
49       2.45000000e+00    7.50000000e-01    1.77310287e-04    5.85970453e-05
50       2.50000000e+00    7.50000000e-01    1.77830059e-04    5.85613103e-05
51       2.55000000e+00    7.50000000e-01    1.78348527e-04    5.85256791e-05
52       2.60000000e+00    7.50000000e-01    1.78865746e-04    5.84901477e-05
53       2.65000000e+00    7.50000000e-01    1.79381769e-04    5.84547126e-05
54       2.70000000e+00    7.50000000e-01    1.79896646e-04    5.84193702e-05
55       2.75000000e+00    7.50000000e-01    1.80410424e-04    5.83841170e-05
56       2.80000000e+00    7.50000000e-01    1.80923150e-04    5.83489499e-05
57       2.85000000e+00    7.50000000e-01    1.81434867e-04    5.83138657e-05
58       2.90000000e+00    7.50000000e-01    1.81945617e-04    5.82788616e-05
59       2.95000000e+00    7.50000000e-01    1.82455440e-04    5.82439347e-05
60       3.00000000e+00    7.50000000e-01    1.82964374e-04    5.82090823e-05
61       3.05000000e+00    7.50000000e-01    1.83472456e-04    5.81743018e-05
62       3.10000000e+00    7.50000000e-01    1.83979721e-04    5.81395907e-05
63       3.15000000e+00    7.50000000e-01    1.84486203e-04    5.81049467e-05
64       3.20000000e+00    7.50000000e-01    1.84991934e-04    5.80703675e-05
65       3.25000000e+00    7.50000000e-01    1.85496946e-04    5.80358509e-05
66       3.30000000e+00    7.50000000e-01    1.86001268e-04    5.80013947e-05
67       3.35000000e+00    7.50000000e-01    1.86504931e-04    5.79669970e-05
68       3.40000000e+00    7.50000000e-01    1.87007960e-04    5.79326557e-05
69       3.45000000e+00    7.50000000e-01    1.87510383e-04    5.78983691e-05
70       3.50000000e+00    7.50000000e-01    1.88012227e-04    5.78641353e-05
71       3.55000000e+00    7.50000000e-01    1.88513515e-04    5.78299525e-05
72       3.60000000e+00    7.50000000e-01    1.89014272e-04    5.77958191e-05
73       3.65000000e+00    7.50000000e-01    1.89514520e-04    5.77617335e-05
74       3.70000000e+00    7.50000000e-01    1.90014283e-04    5.77276941e-05
75       3.75000000e+00    7.50000000e-01    1.90513581e-04    5.76936993e-05
76       3.80000000e+00    7.50000000e-01    1.91012436e-04    5.76597478e-05
77       3.85000000e+00    7.50000000e-01    1.91510868e-04    5.76258381e-05
78       3.90000000e+00    7.50000000e-01    1.92008896e-04    5.75919689e-05
79       3.95000000e+00    7.50000000e-01    1.92506539e-04    5.75581388e-05
80       4.00000000e+00    7.50000000e-01    1.93003815e-04    5.75243466e-05
81       4.05000000e+00    7.50000000e-01    1.93500742e-04    5.74905911e-05
82       4.10000000e+00    7.50000000e-01    1.93997336e-04    5.74568710e-05
83       4.15000000e+00    7.50000000e-01    1.94493616e-04    5.74231853e-05
84       4.20000000e+00    7.50000000e-01    1.94989595e-04    5.73895327e-05
85       4.25000000e+00    7.50000000e-01    1.95485290e-04    5.73559123e-05
86       4.30000000e+00    7.50000000e-01    1.95980717e-04    5.73223230e-05
87       4.35000000e+00    7.50000000e-01    1.96475889e-04    5.72887637e-05
88       4.40000000e+00    7.50000000e-01    1.96970820e-04    5.72552335e-05
89       4.45000000e+00    7.50000000e-01    1.97465525e-04    5.72217315e-05
90       4.50000000e+00    7.50000000e-01    1.97960017e-04    5.71882567e-05
91       4.55000000e+00    7.50000000e-01    1.98454308e-04    5.71548082e-05
92       4.60000000e+00    7.50000000e-01    1.98948412e-04    5.71213852e-05
93       4.65000000e+00    7.50000000e-01    1.99442340e-04    5.70879869e-05
94       4.70000000e+00    7.50000000e-01    1.99936104e-04    5.70546123e-05
95       4.75000000e+00    7.50000000e-01    2.00429716e-04    5.70212607e-05
96       4.80000000e+00    7.50000000e-01    2.00923186e-04    5.69879314e-05
97       4.85000000e+00    7.50000000e-01    2.01416527e-04    5.69546236e-05
98       4.90000000e+00    7.50000000e-01    2.01909748e-04    5.69213366e-05
99       4.95000000e+00    7.50000000e-01    2.02402859e-04    5.68880696e-05
100      5.00000000e+00    7.50000000e-01    2.02895871e-04    5.68548220e-05
0        0.00000000e+00    8.00000000e-01   -9.64651326e-05    3.64774432e-04
1        5.00000000e-02    8.00000000e-01    3.19644271e-04    2.91602101e-04
2        1.00000000e-01    8.00000000e-01    3.95358296e-04    2.79002308e-04
3        1.50000000e-01    8.00000000e-01    4.08147415e-04    2.76829940e-04
4        2.00000000e-01    8.00000000e-01    4.11189798e-04    2.76260021e-04
5        2.50000000e-01    8.00000000e-01    4.12700509e-04    2.75946844e-04
6        3.00000000e-01    8.00000000e-01    4.13913940e-04    2.75687203e-04
7        3.50000000e-01    8.00000000e-01    4.15027786e-04    2.75447612e-04
8        4.00000000e-01    8.00000000e-01    4.16082490e-04    2.75220656e-04
9        4.50000000e-01    8.00000000e-01    4.17092009e-04    2.75003499e-04
10       5.00000000e-01    8.00000000e-01    4.18064235e-04    2.74794458e-04
11       5.50000000e-01    8.00000000e-01    4.19004730e-04    2.74592328e-04
12       6.00000000e-01    8.00000000e-01    4.19917733e-04    2.74396190e-04
13       6.50000000e-01    8.00000000e-01    4.20806588e-04    2.74205319e-04
14       7.00000000e-01    8.00000000e-01    4.21673998e-04    2.74019129e-04
15       7.50000000e-01    8.00000000e-01    4.22522186e-04    2.73837136e-04
16       8.00000000e-01    8.00000000e-01    4.23353006e-04    2.73658939e-04
17       8.50000000e-01    8.00000000e-01    4.24168029e-04    2.73484196e-04
18       9.00000000e-01    8.00000000e-01    4.24968597e-04    2.73312615e-04
19       9.50000000e-01    8.00000000e-01    4.25755871e-04    2.73143946e-04
20       1.00000000e+00    8.00000000e-01    4.26530859e-04    2.72977969e-04
21       1.05000000e+00    8.00000000e-01    4.27294449e-04    2.72814491e-04
22       1.10000000e+00    8.00000000e-01    4.28047424e-04    2.72653342e-04
23       1.15000000e+00    8.00000000e-01    4.28790481e-04    2.72494370e-04
24       1.20000000e+00    8.00000000e-01    4.29524242e-04    2.72337440e-04
25       1.25000000e+00    8.00000000e-01    4.30249267e-04    2.72182431e-04
26       1.30000000e+00    8.00000000e-01    4.30966061e-04    2.72029233e-04
27       1.35000000e+00    8.00000000e-01    4.31675084e-04    2.71877745e-04
28       1.40000000e+00    8.00000000e-01    4.32376750e-04    2.71727878e-04
29       1.45000000e+00    8.00000000e-01    4.33071442e-04    2.71579548e-04
30       1.50000000e+00    8.00000000e-01    4.33759509e-04    2.71432680e-04
31       1.55000000e+00    8.00000000e-01    4.34441270e-04    2.71287204e-04
32       1.60000000e+00    8.00000000e-01    4.35117022e-04    2.71143056e-04
33       1.65000000e+00    8.00000000e-01    4.35787039e-04    2.71000175e-04
34       1.70000000e+00    8.00000000e-01    4.36451573e-04    2.70858507e-04
35       1.75000000e+00    8.00000000e-01    4.37110860e-04    2.70718001e-04
36       1.80000000e+00    8.00000000e-01    4.37765119e-04    2.70578609e-04
37       1.85000000e+00    8.00000000e-01    4.38414554e-04    2.70440286e-04
38       1.90000000e+00    8.00000000e-01    4.39059357e-04    2.70302991e-04
39       1.95000000e+00    8.00000000e-01    4.39699705e-04    2.70166685e-04
40       2.00000000e+00    8.00000000e-01    4.40335768e-04    2.70031331e-04
41       2.05000000e+00    8.00000000e-01    4.40967703e-04    2.69896895e-04
42       2.10000000e+00    8.00000000e-01    4.41595657e-04    2.69763345e-04
43       2.15000000e+00    8.00000000e-01    4.42219771e-04    2.69630650e-04
44       2.20000000e+00    8.00000000e-01    4.42840177e-04    2.69498781e-04
45       2.25000000e+00    8.00000000e-01    4.43457000e-04    2.69367712e-04
46       2.30000000e+00    8.00000000e-01    4.44070357e-04    2.69237417e-04
47       2.35000000e+00    8.00000000e-01    4.44680361e-04    2.69107870e-04
48       2.40000000e+00    8.00000000e-01    4.45287117e-04    2.68979050e-04
49       2.45000000e+00    8.00000000e-01    4.45890727e-04    2.68850933e-04
50       2.50000000e+00    8.00000000e-01    4.46491286e-04    2.68723500e-04
51       2.55000000e+00    8.00000000e-01    4.47088885e-04    2.68596730e-04
52       2.60000000e+00    8.00000000e-01    4.47683611e-04    2.68470604e-04
53       2.65000000e+00    8.00000000e-01    4.48275547e-04    2.68345105e-04
54       2.70000000e+00    8.00000000e-01    4.48864772e-04    2.68220215e-04
55       2.75000000e+00    8.00000000e-01    4.49451362e-04    2.68095917e-04
56       2.80000000e+00    8.00000000e-01    4.50035389e-04    2.67972196e-04
57       2.85000000e+00    8.00000000e-01    4.50616921e-04    2.67849037e-04
58       2.90000000e+00    8.00000000e-01    4.51196026e-04    2.67726425e-04
59       2.95000000e+00    8.00000000e-01    4.51772766e-04    2.67604347e-04
60       3.00000000e+00    8.00000000e-01    4.52347202e-04    2.67482789e-04
61       3.05000000e+00    8.00000000e-01    4.52919393e-04    2.67361738e-04
62       3.10000000e+00    8.00000000e-01    4.53489394e-04    2.67241183e-04
63       3.15000000e+00    8.00000000e-01    4.54057260e-04    2.67121111e-04
64       3.20000000e+00    8.00000000e-01    4.54623042e-04    2.67001511e-04
65       3.25000000e+00    8.00000000e-01    4.55186790e-04    2.66882372e-04
66       3.30000000e+00    8.00000000e-01    4.55748552e-04    2.66763685e-04
67       3.35000000e+00    8.00000000e-01    4.56308375e-04    2.66645438e-04
68       3.40000000e+00    8.00000000e-01    4.56866302e-04    2.66527622e-04
69       3.45000000e+00    8.00000000e-01    4.57422377e-04    2.66410227e-04
70       3.50000000e+00    8.00000000e-01    4.57976642e-04    2.66293246e-04
71       3.55000000e+00    8.00000000e-01    4.58529136e-04    2.66176668e-04
72       3.60000000e+00    8.00000000e-01    4.59079898e-04    2.66060485e-04
73       3.65000000e+00    8.00000000e-01    4.59628965e-04    2.65944690e-04
74       3.70000000e+00    8.00000000e-01    4.60176374e-04    2.65829273e-04
75       3.75000000e+00    8.00000000e-01    4.60722159e-04    2.65714229e-04
76       3.80000000e+00    8.00000000e-01    4.61266354e-04    2.65599549e-04
77       3.85000000e+00    8.00000000e-01    4.61808992e-04    2.65485226e-04
78       3.90000000e+00    8.00000000e-01    4.62350105e-04    2.65371253e-04
79       3.95000000e+00    8.00000000e-01    4.62889724e-04    2.65257624e-04
80       4.00000000e+00    8.00000000e-01    4.63427877e-04    2.65144332e-04
81       4.05000000e+00    8.00000000e-01    4.63964595e-04    2.65031370e-04
82       4.10000000e+00    8.00000000e-01    4.64499904e-04    2.64918733e-04
83       4.15000000e+00    8.00000000e-01    4.65033833e-04    2.64806415e-04
84       4.20000000e+00    8.00000000e-01    4.65566407e-04    2.64694409e-04
85       4.25000000e+00    8.00000000e-01    4.66097653e-04    2.64582711e-04
86       4.30000000e+00    8.00000000e-01    4.66627595e-04    2.64471315e-04
87       4.35000000e+00    8.00000000e-01    4.67156257e-04    2.64360215e-04
88       4.40000000e+00    8.00000000e-01    4.67683662e-04    2.64249406e-04
89       4.45000000e+00    8.00000000e-01    4.68209835e-04    2.64138884e-04
90       4.50000000e+00    8.00000000e-01    4.68734796e-04    2.64028643e-04
91       4.55000000e+00    8.00000000e-01    4.69258568e-04    2.63918680e-04
92       4.60000000e+00    8.00000000e-01    4.69781171e-04    2.63808988e-04
93       4.65000000e+00    8.00000000e-01    4.70302627e-04    2.63699564e-04
94       4.70000000e+00    8.00000000e-01    4.70822954e-04    2.63590404e-04
95       4.75000000e+00    8.00000000e-01    4.71342173e-04    2.63481502e-04
96       4.80000000e+00    8.00000000e-01    4.71860302e-04    2.63372856e-04
97       4.85000000e+00    8.00000000e-01    4.72377361e-04    2.63264461e-04
98       4.90000000e+00    8.00000000e-01    4.72893366e-04    2.63156312e-04
99       4.95000000e+00    8.00000000e-01    4.73408336e-04    2.63048407e-04
100      5.00000000e+00    8.00000000e-01    4.73922287e-04    2.62940741e-04
0        0.00000000e+00    8.50000000e-01   -4.70054234e-04    1.24208837e-03
1        5.00000000e-02    8.50000000e-01    5.34869635e-04    9.39953507e-04
2        1.00000000e-01    8.50000000e-01    7.59795644e-04    8.75832763e-04
3        1.50000000e-01    8.50000000e-01    7.97507358e-04    8.64972946e-04
4        2.00000000e-01    8.50000000e-01    8.04528177e-04    8.62749701e-04
5        2.50000000e-01    8.50000000e-01    8.06823248e-04    8.61880482e-04
6        3.00000000e-01    8.50000000e-01    8.08319574e-04    8.61255937e-04
7        3.50000000e-01    8.50000000e-01    8.09619791e-04    8.60701394e-04
8        4.00000000e-01    8.50000000e-01    8.10830193e-04    8.60183413e-04
9        4.50000000e-01    8.50000000e-01    8.11978542e-04    8.59691834e-04
10       5.00000000e-01    8.50000000e-01    8.13077469e-04    8.59221486e-04
11       5.50000000e-01    8.50000000e-01    8.14135097e-04    8.58768913e-04
12       6.00000000e-01    8.50000000e-01    8.15157369e-04    8.58331567e-04
13       6.50000000e-01    8.50000000e-01    8.16148871e-04    8.57907476e-04
14       7.00000000e-01    8.50000000e-01    8.17113241e-04    8.57495077e-04
15       7.50000000e-01    8.50000000e-01    8.18053431e-04    8.57093100e-04
16       8.00000000e-01    8.50000000e-01    8.18971877e-04    8.56700498e-04
17       8.50000000e-01    8.50000000e-01    8.19870619e-04    8.56316394e-04
18       9.00000000e-01    8.50000000e-01    8.20751389e-04    8.55940043e-04
19       9.50000000e-01    8.50000000e-01    8.21615669e-04    8.55570808e-04
20       1.00000000e+00    8.50000000e-01    8.22464744e-04    8.55208135e-04
21       1.05000000e+00    8.50000000e-01    8.23299733e-04    8.54851543e-04
22       1.10000000e+00    8.50000000e-01    8.24121623e-04    8.54500609e-04
23       1.15000000e+00    8.50000000e-01    8.24931285e-04    8.54154956e-04
24       1.20000000e+00    8.50000000e-01    8.25729496e-04    8.53814250e-04
25       1.25000000e+00    8.50000000e-01    8.26516953e-04    8.53478193e-04
26       1.30000000e+00    8.50000000e-01    8.27294280e-04    8.53146514e-04
27       1.35000000e+00    8.50000000e-01    8.28062044e-04    8.52818971e-04
28       1.40000000e+00    8.50000000e-01    8.28820758e-04    8.52495342e-04
29       1.45000000e+00    8.50000000e-01    8.29570890e-04    8.52175425e-04
30       1.50000000e+00    8.50000000e-01    8.30312869e-04    8.51859037e-04
31       1.55000000e+00    8.50000000e-01    8.31047086e-04    8.51546008e-04
32       1.60000000e+00    8.50000000e-01    8.31773904e-04    8.51236183e-04
33       1.65000000e+00    8.50000000e-01    8.32493655e-04    8.50929418e-04
34       1.70000000e+00    8.50000000e-01    8.33206649e-04    8.50625580e-04
35       1.75000000e+00    8.50000000e-01    8.33913170e-04    8.50324547e-04
36       1.80000000e+00    8.50000000e-01    8.34613486e-04    8.50026203e-04
37       1.85000000e+00    8.50000000e-01    8.35307844e-04    8.49730442e-04
38       1.90000000e+00    8.50000000e-01    8.35996476e-04    8.49437164e-04
39       1.95000000e+00    8.50000000e-01    8.36679598e-04    8.49146275e-04
40       2.00000000e+00    8.50000000e-01    8.37357413e-04    8.48857689e-04
41       2.05000000e+00    8.50000000e-01    8.38030112e-04    8.48571324e-04
42       2.10000000e+00    8.50000000e-01    8.38697873e-04    8.48287101e-04
43       2.15000000e+00    8.50000000e-01    8.39360866e-04    8.48004949e-04
44       2.20000000e+00    8.50000000e-01    8.40019250e-04    8.47724798e-04
45       2.25000000e+00    8.50000000e-01    8.40673175e-04    8.47446584e-04
46       2.30000000e+00    8.50000000e-01    8.41322782e-04    8.47170247e-04
47       2.35000000e+00    8.50000000e-01    8.41968208e-04    8.46895726e-04
48       2.40000000e+00    8.50000000e-01    8.42609579e-04    8.46622969e-04
49       2.45000000e+00    8.50000000e-01    8.43247016e-04    8.46351922e-04
50       2.50000000e+00    8.50000000e-01    8.43880636e-04    8.46082535e-04
51       2.55000000e+00    8.50000000e-01    8.44510547e-04    8.45814762e-04
52       2.60000000e+00    8.50000000e-01    8.45136853e-04    8.45548558e-04
53       2.65000000e+00    8.50000000e-01    8.45759655e-04    8.45283879e-04
54       2.70000000e+00    8.50000000e-01    8.46379047e-04    8.45020685e-04
55       2.75000000e+00    8.50000000e-01    8.46995120e-04    8.44758936e-04
56       2.80000000e+00    8.50000000e-01    8.47607961e-04    8.44498596e-04
57       2.85000000e+00    8.50000000e-01    8.48217652e-04    8.44239628e-04
58       2.90000000e+00    8.50000000e-01    8.48824273e-04    8.43981998e-04
59       2.95000000e+00    8.50000000e-01    8.49427899e-04    8.43725674e-04
60       3.00000000e+00    8.50000000e-01    8.50028605e-04    8.43470623e-04
61       3.05000000e+00    8.50000000e-01    8.50626459e-04    8.43216816e-04
62       3.10000000e+00    8.50000000e-01    8.51221530e-04    8.42964224e-04
