Index       FREQ            Re(V(4))          Im(V(4))          Re(I(V1))         Im(I(V1))         Re(I(B6))         Im(I(B6))        Re(I(EAMP))       Im(I(EAMP))        Re(I(H5))         Im(I(H5))    
16       1.58489319e+05    4.87771576e-01   -7.72313243e-02   -5.00000000e-01    0.00000000e+00   -4.87771576e-01    7.72313243e-02   -1.22284236e-04   -7.72313243e-04    5.00000000e-01    0.00000000e+00
17       2.51188643e+05    4.70378859e-01   -1.18038800e-01   -5.00000000e-01    0.00000000e+00   -4.70378859e-01    1.18038800e-01   -2.96211408e-04   -1.18038800e-03    5.00000000e-01    0.00000000e+00
18       3.98107171e+05    4.31711496e-01   -1.71700123e-01   -5.00000000e-01    0.00000000e+00   -4.31711496e-01    1.71700123e-01   -6.82885040e-04   -1.71700123e-03    5.00000000e-01    0.00000000e+00
19       6.30957344e+05    3.57824665e-01   -2.25552303e-01   -5.00000000e-01    0.00000000e+00   -3.57824665e-01    2.25552303e-01   -1.42175335e-03   -2.25552303e-03    5.00000000e-01    0.00000000e+00
20       1.00000000e+06    2.50243503e-01   -2.49999881e-01   -5.00000000e-01    0.00000000e+00   -2.50243503e-01    2.49999881e-01   -2.49756497e-03   -2.49999881e-03    5.00000000e-01    0.00000000e+00
21       1.58489319e+06    1.42572081e-01   -2.25741538e-01   -5.00000000e-01    0.00000000e+00   -1.42572081e-01    2.25741538e-01   -3.57427919e-03   -2.25741538e-03    5.00000000e-01    0.00000000e+00
22       2.51188643e+06    6.85185473e-02   -1.71943253e-01   -5.00000000e-01    0.00000000e+00   -6.85185473e-02    1.71943253e-01   -4.31481453e-03   -1.71943253e-03    5.00000000e-01    0.00000000e+00
23       3.98107171e+06    2.97298957e-02   -1.18241622e-01   -5.00000000e-01    0.00000000e+00   -2.97298957e-02    1.18241622e-01   -4.70270104e-03   -1.18241622e-03    5.00000000e-01    0.00000000e+00
24       6.30957344e+06    1.22749871e-02   -7.73745322e-02   -5.00000000e-01    0.00000000e+00   -1.22749871e-02    7.73745322e-02   -4.87725013e-03   -7.73745322e-04    5.00000000e-01    0.00000000e+00
25       1.00000000e+07    4.96005236e-03   -4.95522357e-02   -5.00000000e-01    0.00000000e+00   -4.96005236e-03    4.95522357e-02   -4.95039948e-03   -4.95522357e-04    5.00000000e-01    0.00000000e+00
26       1.58489319e+07    1.98649344e-03   -3.14531487e-02   -5.00000000e-01    0.00000000e+00   -1.98649344e-03    3.14531487e-02   -4.98013507e-03   -3.14531487e-04    5.00000000e-01    0.00000000e+00
27       2.51188643e+07    7.92732956e-04   -1.98931660e-02   -5.00000000e-01    0.00000000e+00   -7.92732956e-04    1.98931660e-02   -4.99207267e-03   -1.98931660e-04    5.00000000e-01    0.00000000e+00
28       3.98107171e+07    3.15894126e-04   -1.25637285e-02   -5.00000000e-01    0.00000000e+00   -3.15894126e-04    1.25637285e-02   -4.99684106e-03   -1.25637285e-04    5.00000000e-01    0.00000000e+00
29       6.30957344e+07    1.25807557e-04   -7.93019238e-03   -5.00000000e-01    0.00000000e+00   -1.25807557e-04    7.93019238e-03   -4.99874192e-03   -7.93019238e-05    5.00000000e-01    0.00000000e+00
30       1.00000000e+08    5.00924770e-05   -5.00437101e-03   -5.00000000e-01    0.00000000e+00   -5.00924770e-05    5.00437101e-03   -4.99949908e-03   -5.00437101e-05    5.00000000e-01    0.00000000e+00
End of Xyce(TM) Simulation
