Index        TIME          {V(2)+1.0}    {I(VPULSE) + 3.0E-3}
66      1.12463132e-09   1.68547225e+00   1.34302741e-03   
67      1.12819302e-09   1.70506162e+00   1.33819023e-03   
68      1.13047011e-09   1.71758563e+00   1.33321390e-03   
69      1.13274721e-09   1.73010965e+00   1.32920600e-03   
70      1.13502430e-09   1.74263366e+00   1.32521574e-03   
71      1.13754112e-09   1.75647614e+00   1.32099770e-03   
72      1.14005793e-09   1.77031861e+00   1.31660773e-03   
73      1.14278291e-09   1.78530601e+00   1.31201231e-03   
74      1.14574921e-09   1.80162068e+00   1.30703091e-03   
75      1.14887786e-09   1.81882825e+00   1.30171386e-03   
76      1.15201669e-09   1.83609179e+00   1.29626649e-03   
77      1.15503741e-09   1.85270575e+00   1.29092641e-03   
78      1.15790504e-09   1.86847770e+00   1.28582298e-03   
79      1.16067044e-09   1.88368742e+00   1.28093304e-03   
80      1.16342342e-09   1.89882879e+00   1.27613263e-03   
81      1.16624984e-09   1.91437413e+00   1.27127286e-03   
82      1.16920240e-09   1.93061321e+00   1.26623897e-03   
83      1.17228328e-09   1.94755805e+00   1.26098835e-03   
84      1.17544561e-09   1.96495083e+00   1.25556224e-03   
85      1.17862010e-09   1.98241054e+00   1.25005953e-03   
86      1.18175394e-09   1.99964669e+00   1.24457990e-03   
87      1.18483544e-09   2.01659492e+00   1.23917156e-03   
88      1.18741305e-09   2.03077179e+00   1.23433138e-03   
89      1.18999067e-09   2.04494866e+00   1.23009863e-03   
90      1.19256828e-09   2.05912553e+00   1.22761681e-03   
91      1.19514589e-09   2.07330241e+00   1.22662068e-03   
92      1.19872600e-09   2.09299298e+00   1.22589003e-03   
93      1.20184270e-09   2.11013482e+00   1.22522628e-03   
94      1.20807609e-09   2.14441850e+00   1.22379524e-03   
95      1.21274715e-09   2.17010930e+00   1.22265390e-03   
96      1.21741820e-09   2.19580010e+00   1.22144012e-03   
97      1.22208926e-09   2.22149091e+00   1.22015863e-03   
98      1.23143137e-09   2.27287251e+00   1.21741401e-03   
99      1.24077348e-09   2.32425411e+00   1.21440188e-03   
100     1.25011559e-09   2.37563572e+00   1.21115113e-03   
101     1.25945769e-09   2.42701732e+00   1.20768081e-03   
102     1.26568577e-09   2.46127172e+00   1.20525038e-03   
103     1.27191384e-09   2.49552613e+00   1.20272998e-03   
104     1.27814191e-09   2.52978053e+00   1.20012267e-03   
105     1.28374718e-09   2.56060949e+00   1.19770356e-03   
106     1.28935245e-09   2.59143845e+00   1.19521810e-03   
107     1.29495771e-09   2.62226742e+00   1.19266834e-03   
108     1.30616824e-09   2.68392534e+00   1.18737748e-03   
109     1.31737878e-09   2.74558327e+00   1.18184427e-03   
110     1.32858931e-09   2.80724119e+00   1.17608130e-03   
111     1.33639051e-09   2.85014781e+00   1.17192967e-03   
112     1.34419171e-09   2.89305442e+00   1.16766851e-03   
113     1.35199292e-09   2.93596104e+00   1.16330018e-03   
114     1.35979412e-09   2.97886765e+00   1.15882538e-03   
115     1.36759532e-09   3.02177427e+00   1.15424680e-03   
116     1.37539652e-09   3.06468089e+00   1.14956651e-03   
117     1.38319773e-09   3.10758750e+00   1.14477801e-03   
118     1.39099893e-09   3.15049412e+00   1.13988457e-03   
119     1.39880013e-09   3.19340073e+00   1.13488643e-03   
120     1.40660134e-09   3.23630735e+00   1.12978003e-03   
121     1.41440254e-09   3.27921397e+00   1.12456616e-03   
122     1.42220374e-09   3.32212058e+00   1.11924422e-03   
123     1.43000495e-09   3.36502720e+00   1.11382462e-03   
124     1.43780615e-09   3.40793381e+00   1.10830521e-03   
125     1.44560735e-09   3.45084043e+00   1.10268776e-03   
126     1.45349477e-09   3.49422122e+00   1.09700182e-03   
127     1.46138218e-09   3.53760200e+00   1.09129843e-03   
128     1.46926960e-09   3.58098279e+00   1.08559937e-03   
129     1.47715701e-09   3.62436357e+00   1.07982184e-03   
130     1.48504443e-09   3.66774436e+00   1.07400240e-03   
131     1.49293185e-09   3.71112515e+00   1.06814030e-03   
132     1.50081926e-09   3.75450593e+00   1.06215713e-03   
133     1.50870668e-09   3.79788672e+00   1.05606325e-03   
134     1.51659409e-09   3.84126751e+00   1.04984128e-03   
135     1.52448151e-09   3.88464829e+00   1.04362429e-03   
136     1.53236892e-09   3.92802908e+00   1.03737340e-03   
137     1.54025634e-09   3.97140987e+00   1.03110348e-03   
138     1.54814375e-09   4.01479065e+00   1.02480592e-03   
139     1.55603117e-09   4.05817144e+00   1.01849895e-03   
140     1.56391859e-09   4.10155223e+00   1.01219239e-03   
141     1.56983415e-09   4.13408782e+00   1.00751560e-03   
142     1.57574971e-09   4.16662340e+00   1.00288964e-03   
143     1.58166527e-09   4.19915899e+00   9.98333115e-04   
144     1.58758083e-09   4.23169458e+00   9.93866530e-04   
145     1.59349640e-09   4.26423017e+00   9.89506746e-04   
146     1.59941196e-09   4.29676576e+00   9.85278849e-04   
147     1.60532752e-09   4.32930135e+00   9.81207414e-04   
148     1.61124308e-09   4.36183694e+00   9.77318713e-04   
149     1.61715864e-09   4.39437253e+00   9.73801320e-04   
150     1.62307420e-09   4.42690812e+00   9.70664310e-04   
151     1.62898977e-09   4.45944371e+00   9.67988462e-04   
152     1.63490533e-09   4.49197930e+00   9.65862840e-04   
153     1.64082089e-09   4.52451489e+00   9.64659924e-04   
154     1.64673645e-09   4.55705048e+00   9.64450076e-04   
155     1.65265201e-09   4.58958607e+00   9.65431872e-04   
156     1.65856757e-09   4.62212166e+00   9.67823461e-04   
157     1.66448314e-09   4.65465725e+00   9.73041002e-04   
158     1.67039870e-09   4.68719284e+00   9.81190707e-04   
159     1.67631426e-09   4.71972843e+00   9.92912041e-04   
160     1.68222982e-09   4.75226402e+00   1.00891239e-03   
161     1.68669348e-09   4.77681417e+00   1.02761747e-03   
162     1.69115715e-09   4.80136431e+00   1.05177595e-03   
163     1.69562081e-09   4.82591446e+00   1.08237992e-03   
164     1.70008447e-09   4.85046460e+00   1.12050816e-03   
165     1.70087016e-09   4.85478589e+00   1.12921843e-03   
166     1.70165585e-09   4.85910718e+00   1.13837253e-03   
167     1.70244154e-09   4.86342847e+00   1.14798761e-03   
168     1.70322723e-09   4.86774975e+00   1.15808117e-03   
169     1.70479860e-09   4.87639233e+00   1.18055097e-03   
170     1.70636998e-09   4.88503490e+00   1.20588927e-03   
171     1.70794136e-09   4.89367747e+00   1.23443092e-03   
172     1.70951274e-09   4.90232005e+00   1.26653080e-03   
173     1.71108411e-09   4.91096262e+00   1.30233141e-03   
174     1.71265549e-09   4.91960519e+00   1.34225286e-03   
175     1.71422687e-09   4.92824777e+00   1.38663785e-03   
176     1.71579824e-09   4.93689034e+00   1.43584052e-03   
177     1.71742896e-09   4.94585926e+00   1.49508847e-03   
178     1.71905967e-09   4.95482817e+00   1.56213888e-03   
179     1.72069038e-09   4.96379709e+00   1.63775519e-03   
180     1.72119122e-09   4.96655172e+00   1.63787377e-03   
181     1.72219291e-09   4.97206098e+00   1.63778993e-03   
182     1.72285615e-09   4.97570883e+00   1.63774905e-03   
183     1.72418264e-09   4.98300453e+00   1.63770097e-03   
184     1.72550913e-09   4.99030024e+00   1.63766563e-03   
185     1.72816212e-09   5.00489164e+00   1.63761981e-03   
186     1.73054980e-09   5.01802391e+00   1.63757538e-03   
187     1.73293749e-09   5.03115618e+00   1.63753262e-03   
188     1.73532517e-09   5.04428844e+00   1.63749007e-03   
189     1.74010054e-09   5.07055297e+00   1.63738858e-03   
190     1.74421314e-09   5.09317227e+00   1.63733838e-03   
191     1.74832574e-09   5.11579157e+00   1.63726841e-03   
192     1.75243834e-09   5.13841087e+00   1.63719591e-03   
193     1.76066354e-09   5.18364947e+00   1.63700770e-03   
194     1.76533246e-09   5.20932852e+00   1.63694935e-03   
195     1.77000138e-09   5.23500757e+00   1.63686716e-03   
196     1.77377492e-09   5.25576204e+00   1.63678603e-03   
197     1.77754846e-09   5.27651651e+00   1.63671110e-03   
198     1.78085560e-09   5.29470580e+00   1.63664193e-03   
199     1.78416274e-09   5.31289509e+00   1.63657540e-03   
200     1.78713917e-09   5.32926546e+00   1.63651301e-03   
201     1.79011560e-09   5.34563582e+00   1.63645231e-03   
202     1.79279439e-09   5.36036914e+00   1.63639545e-03   
203     1.79547318e-09   5.37510247e+00   1.63634004e-03   
204     1.79815196e-09   5.38983579e+00   1.63628466e-03   
205     1.80350953e-09   5.41930244e+00   1.63615222e-03   
206     1.80833135e-09   5.44582243e+00   1.63643092e-03   
207     1.81315317e-09   5.47234241e+00   1.63993589e-03   
208     1.81797498e-09   5.49886239e+00   1.64888877e-03   
209     1.82279680e-09   5.52538238e+00   1.65918808e-03   
210     1.82440407e-09   5.53422237e+00   1.66251157e-03   
211     1.82601134e-09   5.54306237e+00   1.66563426e-03   
212     1.82761861e-09   5.55190236e+00   1.66846854e-03   
213     1.82922588e-09   5.56074236e+00   1.67144051e-03   
214     1.83083316e-09   5.56958235e+00   1.67438918e-03   
215     1.83244043e-09   5.57842235e+00   1.67733702e-03   
216     1.83404770e-09   5.58726234e+00   1.68028407e-03   
217     1.83565497e-09   5.59610234e+00   1.68325601e-03   
218     1.83726224e-09   5.60494233e+00   1.68627050e-03   
219     1.84047679e-09   5.62262232e+00   1.69223638e-03   
220     1.84369133e-09   5.64030231e+00   1.69819234e-03   
221     1.84690587e-09   5.65798230e+00   1.70412284e-03   
222     1.84963585e-09   5.67299715e+00   1.70918047e-03   
223     1.85236582e-09   5.68801200e+00   1.71424270e-03   
224     1.85509579e-09   5.70302686e+00   1.71931109e-03   
225     1.86055574e-09   5.73305656e+00   1.72941653e-03   
226     1.86601568e-09   5.76308626e+00   1.73948373e-03   
227     1.87147563e-09   5.79311596e+00   1.74949363e-03   
228     1.87693557e-09   5.82314566e+00   1.75951363e-03   
229     1.88239552e-09   5.85317536e+00   1.76952076e-03   
230     1.88785547e-09   5.88320506e+00   1.77951955e-03   
231     1.89331541e-09   5.91323477e+00   1.78949383e-03   
232     1.89877536e-09   5.94326447e+00   1.79945111e-03   
233     1.90423530e-09   5.97329417e+00   1.80939146e-03   
234     1.90969525e-09   6.00332387e+00   1.81931376e-03   
235     1.91515519e-09   6.03335357e+00   1.82921827e-03   
236     1.92061514e-09   6.06338327e+00   1.83910484e-03   
237     1.92449370e-09   6.08471535e+00   1.84373909e-03   
238     1.92837226e-09   6.10604743e+00   1.84685381e-03   
239     1.93225082e-09   6.12737951e+00   1.84815979e-03   
240     1.93281670e-09   6.13049183e+00   1.84553700e-03   
241     1.93394845e-09   6.13671646e+00   1.84107111e-03   
242     1.93475404e-09   6.14114720e+00   1.83597743e-03   
243     1.93555963e-09   6.14557795e+00   1.83174561e-03   
244     1.93636522e-09   6.15000869e+00   1.82751505e-03   
245     1.93797640e-09   6.15887018e+00   1.81694333e-03   
246     1.93898983e-09   6.16444407e+00   1.81428398e-03   
247     1.93990192e-09   6.16946058e+00   1.80923402e-03   
248     1.94081401e-09   6.17447708e+00   1.80445100e-03   
249     1.94172611e-09   6.17949358e+00   1.79966931e-03   
250     1.94355029e-09   6.18952659e+00   1.78772014e-03   
251     1.94452814e-09   6.19490475e+00   1.78516024e-03   
252     1.94550598e-09   6.20028291e+00   1.78003964e-03   
253     1.94638605e-09   6.20512326e+00   1.77517654e-03   
254     1.94726611e-09   6.20996360e+00   1.77057074e-03   
255     1.94814617e-09   6.21480395e+00   1.76596620e-03   
256     1.94990630e-09   6.22448464e+00   1.75445900e-03   
257     1.95085946e-09   6.22972705e+00   1.75196857e-03   
258     1.95181263e-09   6.23496946e+00   1.74698634e-03   
259     1.95276579e-09   6.24021187e+00   1.74200636e-03   
260     1.95371896e-09   6.24545428e+00   1.73453914e-03   
261     1.95467212e-09   6.25069668e+00   1.73205131e-03   
262     1.95546031e-09   6.25503169e+00   1.72750571e-03   
263     1.95624849e-09   6.25936670e+00   1.72339235e-03   
264     1.95703668e-09   6.26370171e+00   1.71927998e-03   
265     1.95861304e-09   6.27237173e+00   1.70900281e-03   
266     1.95964006e-09   6.27802031e+00   1.70632552e-03   
267     1.96056437e-09   6.28310403e+00   1.70124061e-03   
268     1.96148868e-09   6.28818775e+00   1.69642461e-03   
269     1.96241299e-09   6.29327146e+00   1.69160996e-03   
270     1.96426162e-09   6.30343890e+00   1.67957854e-03   
271     1.96533907e-09   6.30936489e+00   1.67677471e-03   
272     1.96641652e-09   6.31529088e+00   1.67116935e-03   
273     1.96738623e-09   6.32062427e+00   1.66584594e-03   
274     1.96835594e-09   6.32595766e+00   1.66080418e-03   
275     1.96932565e-09   6.33129105e+00   1.65576391e-03   
276     1.97126506e-09   6.34195783e+00   1.64316892e-03   
277     1.97239991e-09   6.34819953e+00   1.64022212e-03   
278     1.97353477e-09   6.35444123e+00   1.63433116e-03   
279     1.97455614e-09   6.36005876e+00   1.62873661e-03   
280     1.97557751e-09   6.36567629e+00   1.62343813e-03   
281     1.97659888e-09   6.37129382e+00   1.61814129e-03   
282     1.97864161e-09   6.38252887e+00   1.60490550e-03   
283     1.97983488e-09   6.38909186e+00   1.60181408e-03   
284     1.98102816e-09   6.39565485e+00   1.59563426e-03   
285     1.98210210e-09   6.40156154e+00   1.58976548e-03   
286     1.98317604e-09   6.40746824e+00   1.58420735e-03   
287     1.98424999e-09   6.41337493e+00   1.57865102e-03   
288     1.98639787e-09   6.42518831e+00   1.56476720e-03   
289     1.98765030e-09   6.43207667e+00   1.56153027e-03   
290     1.98890273e-09   6.43896503e+00   1.55505987e-03   
291     1.99002992e-09   6.44516455e+00   1.54891522e-03   
292     1.99115711e-09   6.45136408e+00   1.54309591e-03   
293     1.99228429e-09   6.45756360e+00   1.53727857e-03   
294     1.99453866e-09   6.46996266e+00   1.52274292e-03   
295     1.99585070e-09   6.47717883e+00   1.51936043e-03   
296     1.99716273e-09   6.48439501e+00   1.51259938e-03   
297     1.99834356e-09   6.49088956e+00   1.50617881e-03   
298     1.99952439e-09   6.49738412e+00   1.50009825e-03   
299     2.00000000e-09   6.50000000e+00   1.49583503e-03   
300     2.00047561e-09   6.50000000e+00   2.94643174e-03   
301     2.00049048e-09   6.50000000e+00   2.94734080e-03   
302     2.00052020e-09   6.50000000e+00   2.94909201e-03   
303     2.00057965e-09   6.50000000e+00   2.95236819e-03   
304     2.00069856e-09   6.50000000e+00   2.95812570e-03   
305     2.00081746e-09   6.50000000e+00   2.96318461e-03   
306     2.00093637e-09   6.50000000e+00   2.96762958e-03   
307     2.00117417e-09   6.50000000e+00   2.97531013e-03   
308     2.00137966e-09   6.50000000e+00   2.98003165e-03   
309     2.00156461e-09   6.50000000e+00   2.98353012e-03   
310     2.00174955e-09   6.50000000e+00   2.98641008e-03   
311     2.00193449e-09   6.50000000e+00   2.98878091e-03   
312     2.00230437e-09   6.50000000e+00   2.99259912e-03   
313     2.00263727e-09   6.50000000e+00   2.99461254e-03   
314     2.00297016e-09   6.50000000e+00   2.99606479e-03   
315     2.00330306e-09   6.50000000e+00   2.99711221e-03   
316     2.00396885e-09   6.50000000e+00   2.99858372e-03   
317     2.00463464e-09   6.50000000e+00   2.99912373e-03   
318     2.00530043e-09   6.50000000e+00   2.99942822e-03   
319     2.00596622e-09   6.50000000e+00   2.99960005e-03   
320     2.00729780e-09   6.50000000e+00   2.99979107e-03   
321     2.00862937e-09   6.50000000e+00   2.99980975e-03   
322     2.00982780e-09   6.50000000e+00   2.99981684e-03   
323     2.01102622e-09   6.50000000e+00   2.99981970e-03   
324     2.01222464e-09   6.50000000e+00   2.99982080e-03   
325     2.01462148e-09   6.50000000e+00   2.99982154e-03   
326     2.01609892e-09   6.50000000e+00   2.99982122e-03   
327     2.01757636e-09   6.50000000e+00   2.99982102e-03   
328     2.01905381e-09   6.50000000e+00   2.99982082e-03   
329     2.02200869e-09   6.50000000e+00   2.99982036e-03   
330     2.02353534e-09   6.50000000e+00   2.99982009e-03   
331     2.02506200e-09   6.50000000e+00   2.99981991e-03   
332     2.02658866e-09   6.50000000e+00   2.99981970e-03   
333     2.02964197e-09   6.50000000e+00   2.99981915e-03   
334     2.03121957e-09   6.50000000e+00   2.99981884e-03   
335     2.03279716e-09   6.50000000e+00   2.99981863e-03   
336     2.03437476e-09   6.50000000e+00   2.99981836e-03   
337     2.03752995e-09   6.50000000e+00   2.99981770e-03   
338     2.03915485e-09   6.50000000e+00   2.99981734e-03   
339     2.04077975e-09   6.50000000e+00   2.99981708e-03   
340     2.04240466e-09   6.50000000e+00   2.99981676e-03   
341     2.04565447e-09   6.50000000e+00   2.99981594e-03   
342     2.04732080e-09   6.50000000e+00   2.99981553e-03   
343     2.04898714e-09   6.50000000e+00   2.99981520e-03   
344     2.05065347e-09   6.50000000e+00   2.99981480e-03   
345     2.05398615e-09   6.50000000e+00   2.99981378e-03   
346     2.05568522e-09   6.50000000e+00   2.99981329e-03   
347     2.05738430e-09   6.50000000e+00   2.99981287e-03   
348     2.05908338e-09   6.50000000e+00   2.99981237e-03   
349     2.06248153e-09   6.50000000e+00   2.99981109e-03   
350     2.06420147e-09   6.50000000e+00   2.99981049e-03   
351     2.06592140e-09   6.50000000e+00   2.99980995e-03   
352     2.06764134e-09   6.50000000e+00   2.99980931e-03   
353     2.07108121e-09   6.50000000e+00   2.99980767e-03   
354     2.07280687e-09   6.50000000e+00   2.99980693e-03   
355     2.07453253e-09   6.50000000e+00   2.99980622e-03   
356     2.07625819e-09   6.50000000e+00   2.99980539e-03   
357     2.07970951e-09   6.50000000e+00   2.99980323e-03   
358     2.08142294e-09   6.50000000e+00   2.99980228e-03   
359     2.08313637e-09   6.50000000e+00   2.99980133e-03   
360     2.08484980e-09   6.50000000e+00   2.99980021e-03   
361     2.08827666e-09   6.50000000e+00   2.99979728e-03   
362     2.08995809e-09   6.50000000e+00   2.99979602e-03   
363     2.09163951e-09   6.50000000e+00   2.99979468e-03   
364     2.09332094e-09   6.50000000e+00   2.99979312e-03   
365     2.09668379e-09   6.50000000e+00   2.99978896e-03   
366     2.09831303e-09   6.50000000e+00   2.99978718e-03   
367     2.09994227e-09   6.50000000e+00   2.99978519e-03   
368     2.10157151e-09   6.50000000e+00   2.99978285e-03   
369     2.10482999e-09   6.50000000e+00   2.99977650e-03   
370     2.10638792e-09   6.50000000e+00   2.99977373e-03   
371     2.10794585e-09   6.50000000e+00   2.99977046e-03   
372     2.10934799e-09   6.50000000e+00   2.99976685e-03   
373     2.11075012e-09   6.50000000e+00   2.99976280e-03   
374     2.11215226e-09   6.50000000e+00   2.99975819e-03   
375     2.11495653e-09   6.50000000e+00   2.99974517e-03   
376     2.11639239e-09   6.50000000e+00   2.99973852e-03   
377     2.11782825e-09   6.50000000e+00   2.99972972e-03   
378     2.11912053e-09   6.50000000e+00   2.99971914e-03   
379     2.12041281e-09   6.50000000e+00   2.99970570e-03   
380     2.12170508e-09   6.50000000e+00   2.99968766e-03   
381     2.12428963e-09   6.50000000e+00   2.99961315e-03   
382     2.12557760e-09   6.50000000e+00   2.99776688e-03   
383     2.12686557e-09   6.50000000e+00   2.99340060e-03   
384     2.12802474e-09   6.50000000e+00   2.98857316e-03   
385     2.12918391e-09   6.50000000e+00   2.98406942e-03   
386     2.13034308e-09   6.50000000e+00   2.97963600e-03   
387     2.13266142e-09   6.50000000e+00   2.96876890e-03   
388     2.13374355e-09   6.50000000e+00   2.96684927e-03   
389     2.13482567e-09   6.50000000e+00   2.96294983e-03   
390     2.13579958e-09   6.50000000e+00   2.95928938e-03   
391     2.13677349e-09   6.50000000e+00   2.95586292e-03   
392     2.13774741e-09   6.50000000e+00   2.95247877e-03   
393     2.13969523e-09   6.50000000e+00   2.94415399e-03   
394     2.14065417e-09   6.50000000e+00   2.94258144e-03   
395     2.14161310e-09   6.50000000e+00   2.93942050e-03   
396     2.14257203e-09   6.50000000e+00   2.93629081e-03   
397     2.14448990e-09   6.50000000e+00   2.92858191e-03   
398     2.14546853e-09   6.50000000e+00   2.92707085e-03   
399     2.14644715e-09   6.50000000e+00   2.92404109e-03   
400     2.14742577e-09   6.50000000e+00   2.92103835e-03   
401     2.14938302e-09   6.50000000e+00   2.91364609e-03   
402     2.15044710e-09   6.50000000e+00   2.91210748e-03   
403     2.15151118e-09   6.50000000e+00   2.90902236e-03   
404     2.15257525e-09   6.50000000e+00   2.90596612e-03   
405     2.15470341e-09   6.50000000e+00   2.89844520e-03   
406     2.15585116e-09   6.50000000e+00   2.89690892e-03   
407     2.15699891e-09   6.50000000e+00   2.89381286e-03   
408     2.15814666e-09   6.50000000e+00   2.89074719e-03   
409     2.16044216e-09   6.50000000e+00   2.88320347e-03   
410     2.16167358e-09   6.50000000e+00   2.88169184e-03   
411     2.16290501e-09   6.50000000e+00   2.87862266e-03   
412     2.16413643e-09   6.50000000e+00   2.87558513e-03   
413     2.16659928e-09   6.50000000e+00   2.86810784e-03   
414     2.16791409e-09   6.50000000e+00   2.86664348e-03   
415     2.16922891e-09   6.50000000e+00   2.86363834e-03   
416     2.17054372e-09   6.50000000e+00   2.86066579e-03   
417     2.17317335e-09   6.50000000e+00   2.85334182e-03   
418     2.17457098e-09   6.50000000e+00   2.85194705e-03   
419     2.17596861e-09   6.50000000e+00   2.84904172e-03   
420     2.17736625e-09   6.50000000e+00   2.84616962e-03   
421     2.18016151e-09   6.50000000e+00   2.83908180e-03   
422     2.18164102e-09   6.50000000e+00   2.83777829e-03   
423     2.18312053e-09   6.50000000e+00   2.83500665e-03   
424     2.18460004e-09   6.50000000e+00   2.83226854e-03   
425     2.18755906e-09   6.50000000e+00   2.82549442e-03   
426     2.18911902e-09   6.50000000e+00   2.82430279e-03   
427     2.19067897e-09   6.50000000e+00   2.82169628e-03   
428     2.19223893e-09   6.50000000e+00   2.81912320e-03   
429     2.19535883e-09   6.50000000e+00   2.81273377e-03   
430     2.19699713e-09   6.50000000e+00   2.81167305e-03   
431     2.19863542e-09   6.50000000e+00   2.80926009e-03   
432     2.20027372e-09   6.50000000e+00   2.80687998e-03   
433     2.20355031e-09   6.50000000e+00   2.80093814e-03   
434     2.20526389e-09   6.50000000e+00   2.80002520e-03   
435     2.20697747e-09   6.50000000e+00   2.79783043e-03   
436     2.20869105e-09   6.50000000e+00   2.79566735e-03   
437     2.21211822e-09   6.50000000e+00   2.79022608e-03   
438     2.21390262e-09   6.50000000e+00   2.78947474e-03   
439     2.21568703e-09   6.50000000e+00   2.78751805e-03   
440     2.21747144e-09   6.50000000e+00   2.78559105e-03   
441     2.22104025e-09   6.50000000e+00   2.78069062e-03   
442     2.22425218e-09   6.50000000e+00   2.77758400e-03   
443     2.22746412e-09   6.50000000e+00   2.77470952e-03   
444     2.23067605e-09   6.50000000e+00   2.77201931e-03   
445     2.23709991e-09   6.50000000e+00   2.76701685e-03   
446     2.24266566e-09   6.50000000e+00   2.76333140e-03   
447     2.24823140e-09   6.50000000e+00   2.76001627e-03   
448     2.25379714e-09   6.50000000e+00   2.75703619e-03   
449     2.25936289e-09   6.50000000e+00   2.75428990e-03   
450     2.26164196e-09   6.50000000e+00   2.75319943e-03   
451     2.26392103e-09   6.50000000e+00   2.75211412e-03   
452     2.26620010e-09   6.50000000e+00   2.75102409e-03   
453     2.26847918e-09   6.50000000e+00   2.74984059e-03   
454     2.27075825e-09   6.50000000e+00   2.74856256e-03   
455     2.27303732e-09   6.50000000e+00   2.74716174e-03   
456     2.27531639e-09   6.50000000e+00   2.74549230e-03   
457     2.27759546e-09   6.50000000e+00   2.74354279e-03   
458     2.27987453e-09   6.50000000e+00   2.74125976e-03   
459     2.28173417e-09   6.50000000e+00   2.73866290e-03   
460     2.28359381e-09   6.50000000e+00   2.73545635e-03   
461     2.28545345e-09   6.50000000e+00   2.73154198e-03   
462     2.28678042e-09   6.50000000e+00   2.72726489e-03   
463     2.28810739e-09   6.50000000e+00   2.72192914e-03   
