Index        TIME        {I(VSEU)+0.02}   {I(VAMP)+0.02}
74      1.05008023e-09   1.35165189e-02   2.05944112e-02   
75      1.05131336e-09   1.34372354e-02   2.06495846e-02   
76      1.05377961e-09   1.32828330e-02   2.07661551e-02   
77      1.05624587e-09   1.31323666e-02   2.08905279e-02   
78      1.05871213e-09   1.29843525e-02   2.10220638e-02   
79      1.06093094e-09   1.28528223e-02   2.11455476e-02   
80      1.06314975e-09   1.27216608e-02   2.12734559e-02   
81      1.06536857e-09   1.25899636e-02   2.14052197e-02   
82      1.06758738e-09   1.24587086e-02   2.15405091e-02   
83      1.06980620e-09   1.23266916e-02   2.16787171e-02   
84      1.07202501e-09   1.21933932e-02   2.18193238e-02   
85      1.07424383e-09   1.20596770e-02   2.19622004e-02   
86      1.07646264e-09   1.19248259e-02   2.21067710e-02   
87      1.07868145e-09   1.17886167e-02   2.22525994e-02   
88      1.07979086e-09   1.17201487e-02   2.23259661e-02   
89      1.08090027e-09   1.16513572e-02   2.23995377e-02   
90      1.08200968e-09   1.15822282e-02   2.24732675e-02   
91      1.08422849e-09   1.14434209e-02   2.26211549e-02   
92      1.08644730e-09   1.13037773e-02   2.27692973e-02   
93      1.08866612e-09   1.11634136e-02   2.29173817e-02   
94      1.08922082e-09   1.11281812e-02   2.29543972e-02   
95      1.08977553e-09   1.10929013e-02   2.29913952e-02   
96      1.09033023e-09   1.10575750e-02   2.30283720e-02   
97      1.09083764e-09   1.10251792e-02   2.30622998e-02   
98      1.09185247e-09   1.09600231e-02   2.30252161e-02   
99      1.09267732e-09   1.09066686e-02   2.28580080e-02   
100     1.09350217e-09   1.08530350e-02   2.26738884e-02   
101     1.09515186e-09   1.07454370e-02   2.23936849e-02   
102     1.09652043e-09   1.06566531e-02   2.21744366e-02   
103     1.09811945e-09   1.05538480e-02   2.19690617e-02   
104     1.09971847e-09   1.04525017e-02   2.17996023e-02   
105     1.10000000e-09   1.04348841e-02   2.17661774e-02   
106     1.10028153e-09   1.05101563e-02   2.18173120e-02   
107     1.10084458e-09   1.06558987e-02   2.19037576e-02   
108     1.10140763e-09   1.07970448e-02   2.19760970e-02   
109     1.10253373e-09   1.10618234e-02   2.20847487e-02   
110     1.10365983e-09   1.13103927e-02   2.21643682e-02   
111     1.10478593e-09   1.15437714e-02   2.22231547e-02   
112     1.10703814e-09   1.19785747e-02   2.23024286e-02   
113     1.10929034e-09   1.23425963e-02   2.23406524e-02   
114     1.11154255e-09   1.26670113e-02   2.23559677e-02   
115     1.11379475e-09   1.29571327e-02   2.23556310e-02   
116     1.11829916e-09   1.34724701e-02   2.23199399e-02   
117     1.12280357e-09   1.38599250e-02   2.22724495e-02   
118     1.12730798e-09   1.41914801e-02   2.22013156e-02   
119     1.13181238e-09   1.44810716e-02   2.21265342e-02   
120     1.13631679e-09   1.47389586e-02   2.20597905e-02   
121     1.14532561e-09   1.52042404e-02   2.19307252e-02   
122     1.15433443e-09   1.55756955e-02   2.18448964e-02   
123     1.16334324e-09   1.59111751e-02   2.17618312e-02   
124     1.17235206e-09   1.62165556e-02   2.16881973e-02   
125     1.19036970e-09   1.67693419e-02   2.15582578e-02   
126     1.20658557e-09   1.71490417e-02   2.14868555e-02   
127     1.22117985e-09   1.74385106e-02   2.14312594e-02   
128     1.23577413e-09   1.76816345e-02   2.13856705e-02   
129     1.25036842e-09   1.78844597e-02   2.13484695e-02   
130     1.27955698e-09   1.82143263e-02   2.12884898e-02   
131     1.29909452e-09   1.83539476e-02   2.12641617e-02   
132     1.31667831e-09   1.84532277e-02   2.12464042e-02   
133     1.33426209e-09   1.85315968e-02   2.12321533e-02   
134     1.35184588e-09   1.85934270e-02   2.12206992e-02   
135     1.38701345e-09   1.86887089e-02   2.12025795e-02   
136     1.41035787e-09   1.87243627e-02   2.11952553e-02   
137     1.43136785e-09   1.87487950e-02   2.11899584e-02   
138     1.45237783e-09   1.87674704e-02   2.11856561e-02   
139     1.47338781e-09   1.87818148e-02   2.11821155e-02   
140     1.51540777e-09   1.88034760e-02   2.11763021e-02   
141     1.55322573e-09   1.88132533e-02   2.11728925e-02   
142     1.59104370e-09   1.88201042e-02   2.11701034e-02   
143     1.62886166e-09   1.88250735e-02   2.11677538e-02   
144     1.70449759e-09   1.88324365e-02   2.11637505e-02   
145     1.78013351e-09   1.88362299e-02   2.11609205e-02   
146     1.85576944e-09   1.88391991e-02   2.11585541e-02   
147     2.00704129e-09   1.88433412e-02   2.11550826e-02   
148     2.15831314e-09   1.88463410e-02   2.11525147e-02   
149     2.30958500e-09   1.88485506e-02   2.11506058e-02   
150     2.47911200e-09   1.88503419e-02   2.11490473e-02   
151     2.64863900e-09   1.88516931e-02   2.11478452e-02   
152     2.79594903e-09   1.88526680e-02   2.11469471e-02   
153     2.94325907e-09   1.88535142e-02   2.11461509e-02   
154     3.23787913e-09   1.88548843e-02   2.11448441e-02   
155     3.40344184e-09   1.88555766e-02   2.11441790e-02   
156     3.56900455e-09   1.88561983e-02   2.11435823e-02   
157     3.73456726e-09   1.88567912e-02   2.11429990e-02   
158     3.90012997e-09   1.88575578e-02   2.11421332e-02   
159     4.06569268e-09   1.88602838e-02   2.11387205e-02   
160     4.23125539e-09   1.88677121e-02   2.11295816e-02   
161     4.39681810e-09   1.88802327e-02   2.11152518e-02   
162     4.68120651e-09   1.89111588e-02   2.10824190e-02   
163     4.93715607e-09   1.89438762e-02   2.10486136e-02   
164     5.19310564e-09   1.89797940e-02   2.10119896e-02   
165     5.44905520e-09   1.90183970e-02   2.09727940e-02   
166     5.90000000e-09   1.90921924e-02   2.08978016e-02   
167     5.90050000e-09   1.92545669e-02   2.10379198e-02   
168     5.90100000e-09   1.94122474e-02   2.11611034e-02   
169     5.90150000e-09   1.95653944e-02   2.12694285e-02   
170     5.90250000e-09   1.98616043e-02   2.14567544e-02   
171     5.90318177e-09   2.00511250e-02   2.15515771e-02   
172     5.90386355e-09   2.02335812e-02   2.16313188e-02   
173     5.90454532e-09   2.04093391e-02   2.16982972e-02   
174     5.90590887e-09   2.07462928e-02   2.18083076e-02   
175     5.90713606e-09   2.10223497e-02   2.18686791e-02   
176     5.90836325e-09   2.12823640e-02   2.19123672e-02   
177     5.90959044e-09   2.15277909e-02   2.19433772e-02   
178     5.91204483e-09   2.19884276e-02   2.19849922e-02   
179     5.91449921e-09   2.23865547e-02   2.19914955e-02   
180     5.91695359e-09   2.27501532e-02   2.19938933e-02   
181     5.91940798e-09   2.30838665e-02   2.20037480e-02   
182     5.92431674e-09   2.36909691e-02   2.20461321e-02   
183     5.92803591e-09   2.40734399e-02   2.20618747e-02   
184     5.93138317e-09   2.43847515e-02   2.20765043e-02   
185     5.93473042e-09   2.46665775e-02   2.20880567e-02   
186     5.93807767e-09   2.49214779e-02   2.20931563e-02   
187     5.93975130e-09   2.50415961e-02   2.20943166e-02   
188     5.94142492e-09   2.51550674e-02   2.20892652e-02   
189     5.94227754e-09   2.52108527e-02   2.20831058e-02   
190     5.94313017e-09   2.52646606e-02   2.20704361e-02   
191     5.94380001e-09   2.53055537e-02   2.20545197e-02   
192     5.94446985e-09   2.53449437e-02   2.20312702e-02   
193     5.94513969e-09   2.53826649e-02   2.20003549e-02   
194     5.94647938e-09   2.54536566e-02   2.19231880e-02   
195     5.94781906e-09   2.55138935e-02   2.18373795e-02   
196     5.94878785e-09   2.55534626e-02   2.17821262e-02   
197     5.94975665e-09   2.55892539e-02   2.17364751e-02   
198     5.95072544e-09   2.56214999e-02   2.17010147e-02   
199     5.95266303e-09   2.56784368e-02   2.16512151e-02   
200     5.95460062e-09   2.57193514e-02   2.16342534e-02   
201     5.95653821e-09   2.57511267e-02   2.16262689e-02   
202     5.95847580e-09   2.57749547e-02   2.16228224e-02   
203     5.96235098e-09   2.58063370e-02   2.16205396e-02   
204     5.96622616e-09   2.58081142e-02   2.16223197e-02   
205     5.97397652e-09   2.57565714e-02   2.16262060e-02   
206     5.98172687e-09   2.56331452e-02   2.16321196e-02   
207     5.98947723e-09   2.53418451e-02   2.16427153e-02   
208     5.99352444e-09   2.48237186e-02   2.16567695e-02   
209     5.99545957e-09   2.36333413e-02   2.16670773e-02   
210     5.99560179e-09   2.02734341e-02   2.16679933e-02   
211     5.99561068e-09   2.02636297e-02   2.16680496e-02   
212     5.99562846e-09   2.02625660e-02   2.16681593e-02   
213     5.99564373e-09   2.02619663e-02   2.16682512e-02   
214     5.99567428e-09   2.02607574e-02   2.16684264e-02   
215     5.99573538e-09   2.02583523e-02   2.16687455e-02   
216     5.99585758e-09   2.02535543e-02   2.16692785e-02   
217     5.99610197e-09   2.02440294e-02   2.16700434e-02   
218     5.99659076e-09   2.02253482e-02   2.16709129e-02   
219     5.99756834e-09   2.01897952e-02   2.16717093e-02   
220     5.99854592e-09   2.01569103e-02   2.16721878e-02   
221     6.00000000e-09   2.01132217e-02   2.16727457e-02   
222     6.00145408e-09   2.00921486e-02   2.14980995e-02   
223     6.00181760e-09   2.00878254e-02   2.14621219e-02   
224     6.00218112e-09   2.00840418e-02   2.14314335e-02   
225     6.00250828e-09   2.00809693e-02   2.14069557e-02   
226     6.00283545e-09   2.00781565e-02   2.13848711e-02   
227     6.00316262e-09   2.00755540e-02   2.13646541e-02   
228     6.00381695e-09   2.00707455e-02   2.13273297e-02   
229     6.00434072e-09   2.00673920e-02   2.13017895e-02   
230     6.00486450e-09   2.00642859e-02   2.12780547e-02   
231     6.00538827e-09   2.00613855e-02   2.12557580e-02   
232     6.00643582e-09   2.00560041e-02   2.12136772e-02   
233     6.00731568e-09   2.00520204e-02   2.11822619e-02   
234     6.00819555e-09   2.00483401e-02   2.11527297e-02   
235     6.00907542e-09   2.00449217e-02   2.11248348e-02   
236     6.01083515e-09   2.00386736e-02   2.10723959e-02   
237     6.01229821e-09   2.00341714e-02   2.10341747e-02   
238     6.01376128e-09   2.00301060e-02   2.09989976e-02   
239     6.01522434e-09   2.00264276e-02   2.09666876e-02   
240     6.01815047e-09   2.00200005e-02   2.09086085e-02   
241     6.02007495e-09   2.00164859e-02   2.08775085e-02   
242     6.02199943e-09   2.00134033e-02   2.08501559e-02   
243     6.02392391e-09   2.00107106e-02   2.08262977e-02   
244     6.02777287e-09   2.00070319e-02   2.07854514e-02   
245     6.03104514e-09   2.00055922e-02   2.07602282e-02   
246     6.03431742e-09   2.00044356e-02   2.07384275e-02   
247     6.03758970e-09   2.00035040e-02   2.07195583e-02   
248     6.04413425e-09   2.00021415e-02   2.06849574e-02   
249     6.05067880e-09   2.00012757e-02   2.06614337e-02   
250     6.05722335e-09   2.00007266e-02   2.06354649e-02   
251     6.07031245e-09   2.00001893e-02   2.05738091e-02   
252     6.07707536e-09   2.00000728e-02   2.04950164e-02   
253     6.08035981e-09   2.00000381e-02   2.04113421e-02   
254     6.08199483e-09   2.00000236e-02   2.03205512e-02   
255     6.08219934e-09   2.00000214e-02   2.02916610e-02   
256     6.08239909e-09   2.00000189e-02   2.02525371e-02   
257     6.08252147e-09   2.00000166e-02   2.02045030e-02   
258     6.08253580e-09   2.00000156e-02   2.01768478e-02   
259     6.08253625e-09   2.00000141e-02   2.00918872e-02   
260     6.08253630e-09   2.00000139e-02   2.00823029e-02   
261     6.08253642e-09   2.00000135e-02   2.00667324e-02   
262     6.08253653e-09   2.00000132e-02   2.00540868e-02   
263     6.08253664e-09   2.00000128e-02   2.00438247e-02   
264     6.08253686e-09   2.00000122e-02   2.00275520e-02   
265     6.08253709e-09   2.00000118e-02   2.00187509e-02   
266     6.08253731e-09   2.00000115e-02   2.00127625e-02   
267     6.08253754e-09   2.00000112e-02   2.00086905e-02   
268     6.08253798e-09   2.00000109e-02   2.00032957e-02   
269     6.08253843e-09   2.00000108e-02   2.00017235e-02   
270     6.08253888e-09   2.00000107e-02   2.00009149e-02   
271     6.08253977e-09   2.00000107e-02   2.00003554e-02   
272     6.08254067e-09   2.00000107e-02   2.00001617e-02   
273     6.08254246e-09   2.00000107e-02   2.00000807e-02   
274     6.08254604e-09   2.00000107e-02   2.00000617e-02   
275     6.08255321e-09   2.00000106e-02   2.00000592e-02   
276     6.08256754e-09   2.00000106e-02   2.00000587e-02   
277     6.08259621e-09   2.00000105e-02   2.00000582e-02   
278     6.08265354e-09   2.00000103e-02   2.00000573e-02   
279     6.08276819e-09   2.00000100e-02   2.00000559e-02   
280     6.08299750e-09   2.00000093e-02   2.00000542e-02   
281     6.08322682e-09   2.00000087e-02   2.00000532e-02   
282     6.08368544e-09   2.00000077e-02   2.00000524e-02   
283     6.08414407e-09   2.00000068e-02   2.00000522e-02   
284     6.08506132e-09   2.00000053e-02   2.00000528e-02   
285     6.08597858e-09   2.00000041e-02   2.00000533e-02   
286     6.08781308e-09   2.00000024e-02   2.00000543e-02   
287     6.09148209e-09   2.00000008e-02   2.00000549e-02   
288     6.09882011e-09   2.00000001e-02   2.00000548e-02   
289     6.10615813e-09   1.99999999e-02   2.00000562e-02   
290     6.11349615e-09   1.99999999e-02   2.00000560e-02   
291     6.12083417e-09   1.99999999e-02   2.00000520e-02   
292     6.12817219e-09   1.99999999e-02   2.00000470e-02   
293     6.14284823e-09   1.99999997e-02   2.00000442e-02   
294     6.15287948e-09   1.99999996e-02   2.00000402e-02   
295     6.17294198e-09   1.99999991e-02   2.00000363e-02   
296     6.19078390e-09   1.99999981e-02   2.00000328e-02   
297     6.22646775e-09   1.99999935e-02   2.00000318e-02   
298     6.24848481e-09   1.99999879e-02   2.00000309e-02   
299     6.26792569e-09   1.99999816e-02   2.00000328e-02   
300     6.28303569e-09   1.99999760e-02   2.00000361e-02   
301     6.29814568e-09   1.99999700e-02   2.00000404e-02   
302     6.31174468e-09   1.99999644e-02   2.00000448e-02   
303     6.32534368e-09   1.99999587e-02   2.00000494e-02   
304     6.33894268e-09   1.99999532e-02   2.00000540e-02   
305     6.36614067e-09   1.99999425e-02   2.00000630e-02   
306     6.37979905e-09   1.99999379e-02   2.00000670e-02   
307     6.39345743e-09   1.99999338e-02   2.00000704e-02   
308     6.40711582e-09   1.99999301e-02   2.00000735e-02   
309     6.43443258e-09   1.99999238e-02   2.00000789e-02   
310     6.44892633e-09   1.99999212e-02   2.00000811e-02   
311     6.46342008e-09   1.99999190e-02   2.00000829e-02   
312     6.47791382e-09   1.99999172e-02   2.00000844e-02   
313     6.50690132e-09   1.99999141e-02   2.00000870e-02   
314     6.52384022e-09   1.99999129e-02   2.00000881e-02   
315     6.54077912e-09   1.99999118e-02   2.00000889e-02   
316     6.55771802e-09   1.99999110e-02   2.00000896e-02   
317     6.59159582e-09   1.99999097e-02   2.00000907e-02   
318     6.61474918e-09   1.99999091e-02   2.00000912e-02   
319     6.63790253e-09   1.99999087e-02   2.00000915e-02   
320     6.66105589e-09   1.99999084e-02   2.00000918e-02   
321     6.70736260e-09   1.99999079e-02   2.00000922e-02   
322     6.74903864e-09   1.99999076e-02   2.00000924e-02   
323     6.79071468e-09   1.99999074e-02   2.00000926e-02   
324     6.83239072e-09   1.99999073e-02   2.00000928e-02   
325     6.91574281e-09   1.99999070e-02   2.00000931e-02   
326     6.99909489e-09   1.99999066e-02   2.00000934e-02   
327     7.16579905e-09   1.99999060e-02   2.00000940e-02   
328     7.33250322e-09   1.99999054e-02   2.00000946e-02   
329     7.66591155e-09   1.99999043e-02   2.00000957e-02   
330     7.89161039e-09   1.99999037e-02   2.00000963e-02   
331     8.11730923e-09   1.99999032e-02   2.00000968e-02   
332     8.29232541e-09   1.99999030e-02   2.00000971e-02   
333     8.46734159e-09   1.99999027e-02   2.00000973e-02   
334     8.62485615e-09   1.99999026e-02   2.00000974e-02   
335     8.76661925e-09   1.99999025e-02   2.00000975e-02   
336     8.90838236e-09   1.99999025e-02   2.00000976e-02   
337     9.05014546e-09   1.99999024e-02   2.00000976e-02   
338     9.33367167e-09   1.99999023e-02   2.00000977e-02   
339     9.61719788e-09   1.99999022e-02   2.00000978e-02   
340     9.90072409e-09   1.99999021e-02   2.00000979e-02   
341     1.01842503e-08   1.99999020e-02   2.00000980e-02   
342     1.07513027e-08   1.99999019e-02   2.00000981e-02   
343     1.11061282e-08   1.99999018e-02   2.00000982e-02   
344     1.14609537e-08   1.99999017e-02   2.00000983e-02   
345     1.17283170e-08   1.99999017e-02   2.00000983e-02   
346     1.19956803e-08   1.99999017e-02   2.00000983e-02   
347     1.25304069e-08   1.99999016e-02   2.00000984e-02   
348     1.30116609e-08   1.99999015e-02   2.00000985e-02   
349     1.34929148e-08   1.99999015e-02   2.00000985e-02   
350     1.39741688e-08   1.99999014e-02   2.00000986e-02   
351     1.49366767e-08   1.99999013e-02   2.00000987e-02   
352     1.57602407e-08   1.99999013e-02   2.00000987e-02   
353     1.65014484e-08   1.99999013e-02   2.00000988e-02   
354     1.72426561e-08   1.99999012e-02   2.00000988e-02   
355     1.79838638e-08   1.99999012e-02   2.00000988e-02   
356     1.94662791e-08   1.99999011e-02   2.00000989e-02   
357     2.00000000e-08   1.99999011e-02   2.00000989e-02   
End of Xyce(TM) Simulation
