Index       TIME            {V(2)+1}          {V(3)+1}          {V(4)+1}     
52       1.22964638e-08    1.10000000e+01    4.19353600e+00    4.36568536e+00
53       1.23315054e-08    1.10000000e+01    4.06146703e+00    4.77257271e+00
54       1.23665470e-08    1.10000000e+01    3.93353807e+00    5.20811787e+00
55       1.24015886e-08    1.10000000e+01    3.81455332e+00    5.65204219e+00
56       1.24366302e-08    1.10000000e+01    3.70816387e+00    6.08087931e+00
57       1.24716719e-08    1.10000000e+01    3.61171728e+00    6.49076204e+00
58       1.25067135e-08    1.10000000e+01    3.52245415e+00    6.88110532e+00
59       1.25417551e-08    1.10000000e+01    3.43853682e+00    7.25056258e+00
60       1.25767967e-08    1.10000000e+01    3.35865704e+00    7.59776347e+00
61       1.26118383e-08    1.10000000e+01    3.28187305e+00    7.92170546e+00
62       1.26468799e-08    1.10000000e+01    3.20749654e+00    8.22182874e+00
63       1.26819215e-08    1.10000000e+01    3.13504598e+00    8.49808862e+00
64       1.27169631e-08    1.10000000e+01    3.06418632e+00    8.75086642e+00
65       1.27520047e-08    1.10000000e+01    2.99470940e+00    8.98094878e+00
66       1.27870463e-08    1.10000000e+01    2.92649016e+00    9.18939570e+00
67       1.28220879e-08    1.10000000e+01    2.85947806e+00    9.37750439e+00
68       1.28571296e-08    1.10000000e+01    2.79366297e+00    9.54668304e+00
69       1.28921712e-08    1.10000000e+01    2.72907389e+00    9.69843115e+00
70       1.29622544e-08    1.10000000e+01    2.60378855e+00    9.95610864e+00
71       1.30323376e-08    1.10000000e+01    2.48401795e+00    1.01612776e+01
72       1.31024208e-08    1.10000000e+01    2.37019027e+00    1.03241679e+01
73       1.31725040e-08    1.10000000e+01    2.26263452e+00    1.04534507e+01
74       1.32425873e-08    1.10000000e+01    2.16153217e+00    1.05562091e+01
75       1.33126705e-08    1.10000000e+01    2.06693751e+00    1.06381091e+01
76       1.34528369e-08    1.10000000e+01    1.89679670e+00    1.07572660e+01
77       1.35930033e-08    1.10000000e+01    1.75077417e+00    1.08340702e+01
78       1.37331698e-08    1.10000000e+01    1.62664434e+00    1.08843953e+01
79       1.38733362e-08    1.10000000e+01    1.52186092e+00    1.09178281e+01
80       1.40135026e-08    1.10000000e+01    1.43385229e+00    1.09402723e+01
81       1.42938355e-08    1.10000000e+01    1.29785921e+00    1.09664132e+01
82       1.45741684e-08    1.10000000e+01    1.20364669e+00    1.09788313e+01
83       1.48545013e-08    1.10000000e+01    1.13889331e+00    1.09859314e+01
84       1.51348341e-08    1.10000000e+01    1.09460886e+00    1.09904992e+01
85       1.56954999e-08    1.10000000e+01    1.04250940e+00    1.09957603e+01
86       1.68168314e-08    1.10000000e+01    1.00576995e+00    1.09994250e+01
87       1.90594943e-08    1.10000000e+01    9.98801843e-01    1.10001194e+01
88       2.10337593e-08    1.10000000e+01    1.00017505e+00    1.09999825e+01
89       2.30080243e-08    1.10000000e+01    9.99974630e-01    1.10000026e+01
90       2.69565543e-08    1.10000000e+01    1.00001149e+00    1.09999988e+01
91       3.48536143e-08    1.10000000e+01    9.99992233e-01    1.10000008e+01
92       4.10000000e-08    1.10000000e+01    1.00000470e+00    1.09999995e+01
93       4.10062500e-08    1.09375000e+01    9.97485592e-01    1.09994334e+01
94       4.10187500e-08    1.08125000e+01    9.91545032e-01    1.09980867e+01
95       4.10312500e-08    1.06875000e+01    9.85334008e-01    1.09967084e+01
96       4.10562500e-08    1.04375000e+01    9.71812917e-01    1.09939209e+01
97       4.10812500e-08    1.01875000e+01    9.57950439e-01    1.09913604e+01
98       4.11312500e-08    9.68750000e+00    9.35063174e-01    1.09881137e+01
99       4.11812500e-08    9.18750000e+00    9.24140344e-01    1.09881977e+01
100      4.12312500e-08    8.68750000e+00    9.30717129e-01    1.09921287e+01
101      4.12812500e-08    8.18750000e+00    9.59016473e-01    1.10000203e+01
102      4.13312500e-08    7.68750000e+00    1.01258517e+00    1.10118126e+01
103      4.13812500e-08    7.18750000e+00    1.09449480e+00    1.10273702e+01
104      4.14312500e-08    6.68750000e+00    1.20778529e+00    1.10466013e+01
105      4.14812500e-08    6.18750000e+00    1.35568332e+00    1.10695105e+01
106      4.15312500e-08    5.68750000e+00    1.54234352e+00    1.10958839e+01
107      4.15812500e-08    5.18750000e+00    1.77323696e+00    1.11248062e+01
108      4.16312500e-08    4.68750000e+00    2.05581400e+00    1.11547858e+01
109      4.16812500e-08    4.18750000e+00    2.40443562e+00    1.11846625e+01
110      4.17312500e-08    3.68750000e+00    2.83098147e+00    1.12109742e+01
111      4.17812500e-08    3.18750000e+00    3.33102738e+00    1.12252573e+01
112      4.18312500e-08    2.68750000e+00    3.89721367e+00    1.12180622e+01
113      4.18812500e-08    2.18750000e+00    4.49524942e+00    1.11749823e+01
114      4.19312500e-08    1.68750000e+00    5.08441735e+00    1.10828972e+01
115      4.19812500e-08    1.18750000e+00    5.65512462e+00    1.09376555e+01
116      4.20000000e-08    1.00000000e+00    5.86343906e+00    1.08687401e+01
117      4.20029890e-08    1.00000000e+00    5.89937599e+00    1.08575402e+01
118      4.20056420e-08    1.00000000e+00    5.93137826e+00    1.08475188e+01
119      4.20082950e-08    1.00000000e+00    5.96331364e+00    1.08374003e+01
120      4.20136010e-08    1.00000000e+00    6.02669569e+00    1.08165240e+01
121      4.20242129e-08    1.00000000e+00    6.15147123e+00    1.07721531e+01
122      4.20454368e-08    1.00000000e+00    6.39315471e+00    1.06728815e+01
123      4.20666607e-08    1.00000000e+00    6.62445773e+00    1.05592796e+01
124      4.20878846e-08    1.00000000e+00    6.84558653e+00    1.04307941e+01
125      4.21091085e-08    1.00000000e+00    7.05680429e+00    1.02864893e+01
126      4.21303324e-08    1.00000000e+00    7.25851295e+00    1.01248323e+01
127      4.21515563e-08    1.00000000e+00    7.45130967e+00    9.94320090e+00
128      4.21727802e-08    1.00000000e+00    7.63628002e+00    9.73671510e+00
129      4.21940040e-08    1.00000000e+00    7.81560704e+00    9.49541015e+00
130      4.22152279e-08    1.00000000e+00    7.99633531e+00    9.18902269e+00
131      4.22364518e-08    1.00000000e+00    8.17644657e+00    8.82154547e+00
132      4.22576757e-08    1.00000000e+00    8.34702778e+00    8.43138224e+00
133      4.22788996e-08    1.00000000e+00    8.50850898e+00    8.02126827e+00
134      4.23001235e-08    1.00000000e+00    8.66111730e+00    7.59345228e+00
135      4.23213474e-08    1.00000000e+00    8.80528618e+00    7.15066622e+00
136      4.23637952e-08    1.00000000e+00    9.06962701e+00    6.23054994e+00
137      4.24062430e-08    1.00000000e+00    9.29945098e+00    5.30602889e+00
138      4.24486908e-08    1.00000000e+00    9.49362680e+00    4.44788185e+00
139      4.24868938e-08    1.00000000e+00    9.64428376e+00    3.76949688e+00
140      4.25250968e-08    1.00000000e+00    9.77839503e+00    3.19195739e+00
141      4.25632998e-08    1.00000000e+00    9.89942881e+00    2.71614996e+00
142      4.26015028e-08    1.00000000e+00    1.00093035e+01    2.33416072e+00
143      4.26397058e-08    1.00000000e+00    1.01093148e+01    2.03325199e+00
144      4.26779088e-08    1.00000000e+00    1.02002192e+01    1.79908824e+00
145      4.27161118e-08    1.00000000e+00    1.02827357e+01    1.61821434e+00
146      4.27543148e-08    1.00000000e+00    1.03573868e+01    1.47896412e+00
147      4.27925178e-08    1.00000000e+00    1.04248020e+01    1.37190124e+00
148      4.28307208e-08    1.00000000e+00    1.04854845e+01    1.28952603e+00
149      4.28689238e-08    1.00000000e+00    1.05400430e+01    1.22609598e+00
150      4.29453298e-08    1.00000000e+00    1.06332533e+01    1.13830387e+00
151      4.30981419e-08    1.00000000e+00    1.07694556e+01    1.05118433e+00
152      4.32509539e-08    1.00000000e+00    1.08553409e+01    1.02100844e+00
153      4.34037659e-08    1.00000000e+00    1.09085324e+01    1.00966178e+00
154      4.35565779e-08    1.00000000e+00    1.09411497e+01    1.00490992e+00
155      4.38622020e-08    1.00000000e+00    1.09749742e+01    1.00135008e+00
156      4.41678260e-08    1.00000000e+00    1.09874813e+01    1.00050712e+00
157      4.47790741e-08    1.00000000e+00    1.09951998e+01    1.00004290e+00
158      4.53903222e-08    1.00000000e+00    1.09963910e+01    1.00001746e+00
159      4.66128184e-08    1.00000000e+00    1.09977175e+01    1.00001299e+00
160      4.78353146e-08    1.00000000e+00    1.09984317e+01    1.00000332e+00
161      5.02803070e-08    1.00000000e+00    1.09991858e+01    1.00000509e+00
162      5.51702918e-08    1.00000000e+00    1.09996731e+01    9.99997653e-01
163      6.49502614e-08    1.00000000e+00    1.09999107e+01    1.00000298e+00
164      7.47302309e-08    1.00000000e+00    1.09999453e+01    9.99997147e-01
165      8.47302309e-08    1.00000000e+00    1.09999779e+01    1.00000293e+00
166      9.47302309e-08    1.00000000e+00    1.09999745e+01    9.99997100e-01
167      1.04730231e-07    1.00000000e+00    1.09999927e+01    1.00000293e+00
168      1.10000000e-07    1.00000000e+00    1.09999822e+01    9.99997070e-01
169      1.10006250e-07    1.06250000e+00    1.10089785e+01    1.00075287e+00
170      1.10018750e-07    1.18750000e+00    1.10278075e+01    1.00225356e+00
171      1.10031250e-07    1.31250000e+00    1.10462248e+01    1.00366015e+00
172      1.10056250e-07    1.56250000e+00    1.10806209e+01    1.00593302e+00
173      1.10081250e-07    1.81250000e+00    1.11119707e+01    1.00758615e+00
174      1.10131250e-07    2.31250000e+00    1.11668526e+01    1.00954640e+00
175      1.10181250e-07    2.81250000e+00    1.12126699e+01    1.01021458e+00
176      1.10281250e-07    3.81250000e+00    1.12822551e+01    1.00953516e+00
177      1.10481250e-07    5.81250000e+00    1.13415582e+01    1.00476752e+00
178      1.10656656e-07    7.56656404e+00    1.13012699e+01    9.98873365e-01
179      1.10832063e-07    9.32062809e+00    1.11568135e+01    9.91677640e-01
180      1.10852780e-07    9.52779578e+00    1.11311380e+01    9.90711672e-01
181      1.10894213e-07    9.94213115e+00    1.10729235e+01    9.88481675e-01
182      1.10935647e-07    1.03564665e+01    1.09560013e+01    9.82215160e-01
183      1.10977080e-07    1.07708019e+01    1.07635709e+01    9.71515527e-01
184      1.11000000e-07    1.10000000e+01    1.06493138e+01    9.66098733e-01
185      1.11004143e-07    1.10000000e+01    1.06283649e+01    9.65196712e-01
186      1.11008287e-07    1.10000000e+01    1.06073156e+01    9.64304599e-01
187      1.11012430e-07    1.10000000e+01    1.05862442e+01    9.63421644e-01
188      1.11020717e-07    1.10000000e+01    1.05440477e+01    9.61719141e-01
189      1.11037290e-07    1.10000000e+01    1.04590733e+01    9.58554046e-01
190      1.11070437e-07    1.10000000e+01    1.02870180e+01    9.53353525e-01
191      1.11136731e-07    1.10000000e+01    9.93726473e+00    9.48708758e-01
192      1.11269318e-07    1.10000000e+01    9.22660615e+00    9.68424089e-01
193      1.11401905e-07    1.10000000e+01    8.51048076e+00    1.03312856e+00
194      1.11534493e-07    1.10000000e+01    7.79433286e+00    1.15011202e+00
195      1.11667080e-07    1.10000000e+01    7.08638849e+00    1.32955575e+00
196      1.11799667e-07    1.10000000e+01    6.40293268e+00    1.58804155e+00
197      1.11932255e-07    1.10000000e+01    5.75799760e+00    1.95436458e+00
198      1.12051583e-07    1.10000000e+01    5.21536882e+00    2.42681082e+00
199      1.12069092e-07    1.10000000e+01    5.13917441e+00    2.51372662e+00
200      1.12086600e-07    1.10000000e+01    5.06313530e+00    2.60467397e+00
201      1.12121618e-07    1.10000000e+01    4.91231522e+00    2.80886599e+00
202      1.12156635e-07    1.10000000e+01    4.76201911e+00    3.05090043e+00
203      1.12191652e-07    1.10000000e+01    4.61354219e+00    3.33179522e+00
204      1.12226670e-07    1.10000000e+01    4.46917958e+00    3.64536718e+00
205      1.12261687e-07    1.10000000e+01    4.32894517e+00    3.99098270e+00
206      1.12296704e-07    1.10000000e+01    4.19284524e+00    4.36771997e+00
207      1.12331721e-07    1.10000000e+01    4.06088790e+00    4.77446616e+00
208      1.12366739e-07    1.10000000e+01    3.93306472e+00    5.20982352e+00
209      1.12401756e-07    1.10000000e+01    3.81419434e+00    5.65345434e+00
210      1.12436773e-07    1.10000000e+01    3.70791320e+00    6.08193766e+00
211      1.12471790e-07    1.10000000e+01    3.61155206e+00    6.49149435e+00
212      1.12506808e-07    1.10000000e+01    3.52236011e+00    6.88153641e+00
213      1.12541825e-07    1.10000000e+01    3.43850471e+00    7.25072012e+00
214      1.12576842e-07    1.10000000e+01    3.35868067e+00    7.59767746e+00
215      1.12611860e-07    1.10000000e+01    3.28194830e+00    7.92140864e+00
216      1.12646877e-07    1.10000000e+01    3.20762057e+00    8.22135410e+00
217      1.12681894e-07    1.10000000e+01    3.13521677e+00    8.49746928e+00
218      1.12716911e-07    1.10000000e+01    3.06440225e+00    8.75013322e+00
219      1.12751929e-07    1.10000000e+01    2.99496904e+00    8.98013071e+00
220      1.12786946e-07    1.10000000e+01    2.92679208e+00    9.18851807e+00
221      1.12821963e-07    1.10000000e+01    2.85982071e+00    9.37658971e+00
222      1.12856980e-07    1.10000000e+01    2.79404460e+00    9.54574985e+00
223      1.12891998e-07    1.10000000e+01    2.72949262e+00    9.69749526e+00
224      1.12962032e-07    1.10000000e+01    2.60427496e+00    9.95520070e+00
225      1.13032067e-07    1.10000000e+01    2.48456266e+00    1.01604283e+01
226      1.13102101e-07    1.10000000e+01    2.37078326e+00    1.03233923e+01
227      1.13172136e-07    1.10000000e+01    2.26326580e+00    1.04527544e+01
228      1.13242171e-07    1.10000000e+01    2.16219211e+00    1.05555907e+01
229      1.13312205e-07    1.10000000e+01    2.06761720e+00    1.06375644e+01
230      1.13452274e-07    1.10000000e+01    1.89749306e+00    1.07568490e+01
231      1.13592343e-07    1.10000000e+01    1.75146240e+00    1.08337548e+01
232      1.13732412e-07    1.10000000e+01    1.62730663e+00    1.08841579e+01
233      1.13872481e-07    1.10000000e+01    1.52248544e+00    1.09176503e+01
234      1.14012551e-07    1.10000000e+01    1.43443192e+00    1.09401394e+01
235      1.14292689e-07    1.10000000e+01    1.29834259e+00    1.09663393e+01
236      1.14572827e-07    1.10000000e+01    1.20403541e+00    1.09787858e+01
237      1.14852965e-07    1.10000000e+01    1.13919755e+00    1.09858994e+01
238      1.15133103e-07    1.10000000e+01    1.09484253e+00    1.09904754e+01
239      1.15693380e-07    1.10000000e+01    1.04264101e+00    1.09957472e+01
240      1.16813932e-07    1.10000000e+01    1.00580246e+00    1.09994217e+01
241      1.19055038e-07    1.10000000e+01    9.98797031e-01    1.10001200e+01
242      1.21027462e-07    1.10000000e+01    1.00017520e+00    1.09999824e+01
243      1.22999885e-07    1.10000000e+01    9.99974691e-01    1.10000026e+01
244      1.26944733e-07    1.10000000e+01    1.00001145e+00    1.09999987e+01
245      1.34834428e-07    1.10000000e+01    9.99992264e-01    1.10000009e+01
246      1.41000000e-07    1.10000000e+01    1.00000468e+00    1.09999994e+01
247      1.41006250e-07    1.09375000e+01    9.97485583e-01    1.09994334e+01
248      1.41018750e-07    1.08125000e+01    9.91545023e-01    1.09980867e+01
249      1.41031250e-07    1.06875000e+01    9.85333999e-01    1.09967084e+01
250      1.41056250e-07    1.04375000e+01    9.71812908e-01    1.09939209e+01
251      1.41081250e-07    1.01875000e+01    9.57950431e-01    1.09913604e+01
252      1.41131250e-07    9.68750000e+00    9.35063166e-01    1.09881137e+01
253      1.41181250e-07    9.18750000e+00    9.24140337e-01    1.09881977e+01
254      1.41231250e-07    8.68750000e+00    9.30717123e-01    1.09921287e+01
255      1.41281250e-07    8.18750000e+00    9.59016467e-01    1.10000203e+01
256      1.41331250e-07    7.68750000e+00    1.01258516e+00    1.10118126e+01
257      1.41381250e-07    7.18750000e+00    1.09449479e+00    1.10273702e+01
258      1.41431250e-07    6.68750000e+00    1.20778528e+00    1.10466013e+01
259      1.41481250e-07    6.18750000e+00    1.35568331e+00    1.10695105e+01
260      1.41531250e-07    5.68750000e+00    1.54234352e+00    1.10958839e+01
261      1.41581250e-07    5.18750000e+00    1.77323695e+00    1.11248062e+01
262      1.41631250e-07    4.68750000e+00    2.05581399e+00    1.11547858e+01
263      1.41681250e-07    4.18750000e+00    2.40443561e+00    1.11846625e+01
264      1.41731250e-07    3.68750000e+00    2.83098146e+00    1.12109742e+01
265      1.41781250e-07    3.18750000e+00    3.33102737e+00    1.12252573e+01
266      1.41831250e-07    2.68750000e+00    3.89721367e+00    1.12180622e+01
267      1.41881250e-07    2.18750000e+00    4.49524942e+00    1.11749823e+01
268      1.41931250e-07    1.68750000e+00    5.08441734e+00    1.10828973e+01
269      1.41981250e-07    1.18750000e+00    5.65512461e+00    1.09376555e+01
270      1.42000000e-07    1.00000000e+00    5.86343906e+00    1.08687401e+01
271      1.42002989e-07    1.00000000e+00    5.89937598e+00    1.08575402e+01
272      1.42005642e-07    1.00000000e+00    5.93137826e+00    1.08475188e+01
273      1.42008295e-07    1.00000000e+00    5.96331364e+00    1.08374003e+01
274      1.42013601e-07    1.00000000e+00    6.02669569e+00    1.08165240e+01
275      1.42024213e-07    1.00000000e+00    6.15147123e+00    1.07721531e+01
276      1.42045437e-07    1.00000000e+00    6.39315471e+00    1.06728815e+01
277      1.42066661e-07    1.00000000e+00    6.62445773e+00    1.05592796e+01
278      1.42087885e-07    1.00000000e+00    6.84558652e+00    1.04307941e+01
279      1.42109108e-07    1.00000000e+00    7.05680429e+00    1.02864893e+01
280      1.42130332e-07    1.00000000e+00    7.25851295e+00    1.01248323e+01
281      1.42151556e-07    1.00000000e+00    7.45130967e+00    9.94320090e+00
282      1.42172780e-07    1.00000000e+00    7.63628002e+00    9.73671511e+00
283      1.42194004e-07    1.00000000e+00    7.81560703e+00    9.49541015e+00
284      1.42215228e-07    1.00000000e+00    7.99633530e+00    9.18902270e+00
285      1.42236452e-07    1.00000000e+00    8.17644657e+00    8.82154547e+00
286      1.42257676e-07    1.00000000e+00    8.34702778e+00    8.43138225e+00
287      1.42278900e-07    1.00000000e+00    8.50850898e+00    8.02126827e+00
288      1.42300124e-07    1.00000000e+00    8.66111730e+00    7.59345229e+00
289      1.42321347e-07    1.00000000e+00    8.80528617e+00    7.15066623e+00
290      1.42363795e-07    1.00000000e+00    9.06962700e+00    6.23054995e+00
291      1.42406243e-07    1.00000000e+00    9.29945098e+00    5.30602890e+00
292      1.42448691e-07    1.00000000e+00    9.49362680e+00    4.44788186e+00
293      1.42486894e-07    1.00000000e+00    9.64428376e+00    3.76949689e+00
294      1.42525097e-07    1.00000000e+00    9.77839503e+00    3.19195739e+00
295      1.42563300e-07    1.00000000e+00    9.89942881e+00    2.71614996e+00
296      1.42601503e-07    1.00000000e+00    1.00093035e+01    2.33416072e+00
297      1.42639706e-07    1.00000000e+00    1.01093148e+01    2.03325199e+00
298      1.42677909e-07    1.00000000e+00    1.02002192e+01    1.79908824e+00
299      1.42716112e-07    1.00000000e+00    1.02827357e+01    1.61821434e+00
300      1.42754315e-07    1.00000000e+00    1.03573868e+01    1.47896413e+00
301      1.42792518e-07    1.00000000e+00    1.04248020e+01    1.37190124e+00
302      1.42830721e-07    1.00000000e+00    1.04854845e+01    1.28952603e+00
303      1.42868924e-07    1.00000000e+00    1.05400430e+01    1.22609598e+00
304      1.42945330e-07    1.00000000e+00    1.06332533e+01    1.13830387e+00
305      1.43098142e-07    1.00000000e+00    1.07694556e+01    1.05118433e+00
306      1.43250954e-07    1.00000000e+00    1.08553409e+01    1.02100844e+00
307      1.43403766e-07    1.00000000e+00    1.09085324e+01    1.00966178e+00
308      1.43556578e-07    1.00000000e+00    1.09411497e+01    1.00490992e+00
309      1.43862202e-07    1.00000000e+00    1.09749742e+01    1.00135008e+00
310      1.44167826e-07    1.00000000e+00    1.09874813e+01    1.00050712e+00
311      1.44779074e-07    1.00000000e+00    1.09951998e+01    1.00004290e+00
312      1.45390322e-07    1.00000000e+00    1.09963910e+01    1.00001746e+00
313      1.46612818e-07    1.00000000e+00    1.09977175e+01    1.00001299e+00
314      1.47835315e-07    1.00000000e+00    1.09984317e+01    1.00000332e+00
315      1.50280307e-07    1.00000000e+00    1.09991858e+01    1.00000509e+00
316      1.55170292e-07    1.00000000e+00    1.09996731e+01    9.99997653e-01
317      1.64950261e-07    1.00000000e+00    1.09999107e+01    1.00000298e+00
318      1.74730231e-07    1.00000000e+00    1.09999453e+01    9.99997147e-01
319      1.84730231e-07    1.00000000e+00    1.09999779e+01    1.00000293e+00
320      1.94730231e-07    1.00000000e+00    1.09999745e+01    9.99997100e-01
321      2.00000000e-07    1.00000000e+00    1.09999904e+01    1.00000294e+00
End of Xyce(TM) Simulation
