Index       R1:R              R2:R              V(1)              V(2)       
15       2.00000000e+00    8.00000000e+00    1.60000000e+01    1.28000000e+01
16       2.00000000e+00    8.00000000e+00    1.70000000e+01    1.36000000e+01
17       2.00000000e+00    8.00000000e+00    1.80000000e+01    1.44000000e+01
18       2.00000000e+00    8.00000000e+00    1.90000000e+01    1.52000000e+01
19       2.00000000e+00    8.00000000e+00    2.00000000e+01    1.60000000e+01
20       2.00000000e+00    8.00000000e+00    2.10000000e+01    1.68000000e+01
21       2.00000000e+00    8.00000000e+00    2.20000000e+01    1.76000000e+01
22       2.00000000e+00    8.00000000e+00    2.30000000e+01    1.84000000e+01
23       2.00000000e+00    8.00000000e+00    2.40000000e+01    1.92000000e+01
24       2.00000000e+00    8.00000000e+00    2.50000000e+01    2.00000000e+01
End of Xyce(TM) Parameter Sweep
