Index        TIME          {V(4)+1.5}          V(6)             V(7)
86      1.00008282e-03   1.60808033e+00   5.20356067e-04   8.28172440e-01   
87      1.00008662e-03   1.62321851e+00   5.44278677e-04   8.66246461e-01   
88      1.00009043e-03   1.63943069e+00   5.68201287e-04   9.04320483e-01   
89      1.00009424e-03   1.65671316e+00   5.92123896e-04   9.42394505e-01   
90      1.00009805e-03   1.67505913e+00   6.16046505e-04   9.80468526e-01   
91      1.00010000e-03   1.68474912e+00   6.28318489e-04   1.00000000e-00   
92      1.00010381e-03   1.70466646e+00   6.52241098e-04   1.00000000e+00   
93      1.00011142e-03   1.74804279e+00   7.00086314e-04   1.00000000e+00   
94      1.00011738e-03   1.78378881e+00   7.37505869e-04   1.00000000e+00   
95      1.00012333e-03   1.82098150e+00   7.74925423e-04   1.00000000e+00   
96      1.00012929e-03   1.85924334e+00   8.12344976e-04   1.00000000e+00   
97      1.00013524e-03   1.89821027e+00   8.49764528e-04   1.00000000e+00   
98      1.00014120e-03   1.93754022e+00   8.87184078e-04   1.00000000e+00   
99      1.00014716e-03   1.97691749e+00   9.24603628e-04   1.00000000e+00   
100     1.00015311e-03   2.01605471e+00   9.62023176e-04   1.00000000e+00   
101     1.00016502e-03   2.09152394e+00   1.03686227e-03   1.00000000e+00   
102     1.00017693e-03   2.16276989e+00   1.11170135e-03   1.00000000e+00   
103     1.00018884e-03   2.22876112e+00   1.18654043e-03   1.00000000e+00   
104     1.00020075e-03   2.28880671e+00   1.26137951e-03   1.00000000e+00   
105     1.00021267e-03   2.34250854e+00   1.33621857e-03   1.00000000e+00   
106     1.00022458e-03   2.38971435e+00   1.41105763e-03   1.00000000e+00   
107     1.00023649e-03   2.43047330e+00   1.48589668e-03   1.00000000e+00   
108     1.00024840e-03   2.46499478e+00   1.56073573e-03   1.00000000e+00   
109     1.00026031e-03   2.49361108e+00   1.63557476e-03   1.00000000e+00   
110     1.00027222e-03   2.51674420e+00   1.71041378e-03   1.00000000e+00   
111     1.00028413e-03   2.53487690e+00   1.78525280e-03   1.00000000e+00   
112     1.00029604e-03   2.54852784e+00   1.86009181e-03   1.00000000e+00   
113     1.00030795e-03   2.55823078e+00   1.93493080e-03   1.00000000e+00   
114     1.00031730e-03   2.56367317e+00   1.99367694e-03   1.00000000e+00   
115     1.00032545e-03   2.56693446e+00   2.04488502e-03   1.00000000e+00   
116     1.00033181e-03   2.56865525e+00   2.08483398e-03   1.00000000e+00   
117     1.00033441e-03   2.56922601e+00   2.10114925e-03   1.00000000e+00   
118     1.00033561e-03   2.56946215e+00   2.10869030e-03   1.00000000e+00   
119     1.00033681e-03   2.56967113e+00   2.11623136e-03   1.00000000e+00   
120     1.00033801e-03   2.56985348e+00   2.12377242e-03   1.00000000e+00   
121     1.00034041e-03   2.57011575e+00   2.13885454e-03   1.00000000e+00   
122     1.00034281e-03   2.57027968e+00   2.15393666e-03   1.00000000e+00   
123     1.00034521e-03   2.57034929e+00   2.16901877e-03   1.00000000e+00   
124     1.00034761e-03   2.57032855e+00   2.18410089e-03   1.00000000e+00   
125     1.00034865e-03   2.57030295e+00   2.19063100e-03   1.00000000e+00   
126     1.00034969e-03   2.57026106e+00   2.19716112e-03   1.00000000e+00   
127     1.00035073e-03   2.57020319e+00   2.20369123e-03   1.00000000e+00   
128     1.00035281e-03   2.57002602e+00   2.21675145e-03   1.00000000e+00   
129     1.00035489e-03   2.56978990e+00   2.22981168e-03   1.00000000e+00   
130     1.00035696e-03   2.56949726e+00   2.24287190e-03   1.00000000e+00   
131     1.00035904e-03   2.56915050e+00   2.25593213e-03   1.00000000e+00   
132     1.00036320e-03   2.56825907e+00   2.28205258e-03   1.00000000e+00   
133     1.00036736e-03   2.56718767e+00   2.30817302e-03   1.00000000e+00   
134     1.00037151e-03   2.56595362e+00   2.33429347e-03   1.00000000e+00   
135     1.00037567e-03   2.56457354e+00   2.36041391e-03   1.00000000e+00   
136     1.00037983e-03   2.56306340e+00   2.38653435e-03   1.00000000e+00   
137     1.00038399e-03   2.56143846e+00   2.41265479e-03   1.00000000e+00   
138     1.00038814e-03   2.55971329e+00   2.43877523e-03   1.00000000e+00   
139     1.00039230e-03   2.55790178e+00   2.46489566e-03   1.00000000e+00   
140     1.00040062e-03   2.55403329e+00   2.51713653e-03   1.00000000e+00   
141     1.00040893e-03   2.55000839e+00   2.56937739e-03   1.00000000e+00   
142     1.00041724e-03   2.54590555e+00   2.62161824e-03   1.00000000e+00   
143     1.00042556e-03   2.54179311e+00   2.67385909e-03   1.00000000e+00   
144     1.00043387e-03   2.53772981e+00   2.72609993e-03   1.00000000e+00   
145     1.00044219e-03   2.53376530e+00   2.77834076e-03   1.00000000e+00   
146     1.00045050e-03   2.52994080e+00   2.83058158e-03   1.00000000e+00   
147     1.00045882e-03   2.52628969e+00   2.88282240e-03   1.00000000e+00   
148     1.00047544e-03   2.51984416e+00   2.98730400e-03   1.00000000e+00   
149     1.00049207e-03   2.51433442e+00   3.09178558e-03   1.00000000e+00   
150     1.00050870e-03   2.50977438e+00   3.19626712e-03   1.00000000e+00   
151     1.00052791e-03   2.50571284e+00   3.31697534e-03   1.00000000e+00   
152     1.00054713e-03   2.50274334e+00   3.43768351e-03   1.00000000e+00   
153     1.00056634e-03   2.50072055e+00   3.55839163e-03   1.00000000e+00   
154     1.00058019e-03   2.49969536e+00   3.64540763e-03   1.00000000e+00   
155     1.00059217e-03   2.49909332e+00   3.72069162e-03   1.00000000e+00   
156     1.00060146e-03   2.49877942e+00   3.77910690e-03   1.00000000e+00   
157     1.00060907e-03   2.49861524e+00   3.82691736e-03   1.00000000e+00   
158     1.00061280e-03   2.49855587e+00   3.85035724e-03   1.00000000e+00   
159     1.00061654e-03   2.49851649e+00   3.87379712e-03   1.00000000e+00   
160     1.00061979e-03   2.49849659e+00   3.89427586e-03   1.00000000e+00   
161     1.00062305e-03   2.49849043e+00   3.91475460e-03   1.00000000e+00   
162     1.00062631e-03   2.49849730e+00   3.93523334e-03   1.00000000e+00   
163     1.00062957e-03   2.49851646e+00   3.95571208e-03   1.00000000e+00   
164     1.00063283e-03   2.49854720e+00   3.97619082e-03   1.00000000e+00   
165     1.00063609e-03   2.49858884e+00   3.99666955e-03   1.00000000e+00   
166     1.00063935e-03   2.49864070e+00   4.01714828e-03   1.00000000e+00   
167     1.00064261e-03   2.49870210e+00   4.03762701e-03   1.00000000e+00   
168     1.00064587e-03   2.49877240e+00   4.05810574e-03   1.00000000e+00   
169     1.00065239e-03   2.49894370e+00   4.09906319e-03   1.00000000e+00   
170     1.00065891e-03   2.49914107e+00   4.14002064e-03   1.00000000e+00   
171     1.00066543e-03   2.49936019e+00   4.18097808e-03   1.00000000e+00   
172     1.00067194e-03   2.49959703e+00   4.22193551e-03   1.00000000e+00   
173     1.00067846e-03   2.49984787e+00   4.26289294e-03   1.00000000e+00   
174     1.00068498e-03   2.50010928e+00   4.30385035e-03   1.00000000e+00   
175     1.00069150e-03   2.50037814e+00   4.34480777e-03   1.00000000e+00   
176     1.00069802e-03   2.50065161e+00   4.38576517e-03   1.00000000e+00   
177     1.00070454e-03   2.50092712e+00   4.42672256e-03   1.00000000e+00   
178     1.00071106e-03   2.50120240e+00   4.46767995e-03   1.00000000e+00   
179     1.00072409e-03   2.50173769e+00   4.54959471e-03   1.00000000e+00   
180     1.00073713e-03   2.50224699e+00   4.63150943e-03   1.00000000e+00   
181     1.00075017e-03   2.50272266e+00   4.71342412e-03   1.00000000e+00   
182     1.00076320e-03   2.50315979e+00   4.79533879e-03   1.00000000e+00   
183     1.00078928e-03   2.50387055e+00   4.95916801e-03   1.00000000e+00   
184     1.00081535e-03   2.50442801e+00   5.12299710e-03   1.00000000e+00   
185     1.00084143e-03   2.50485325e+00   5.28682606e-03   1.00000000e+00   
186     1.00086480e-03   2.50514668e+00   5.43366993e-03   1.00000000e+00   
187     1.00088497e-03   2.50534700e+00   5.56042795e-03   1.00000000e+00   
188     1.00090515e-03   2.50550625e+00   5.68718588e-03   1.00000000e+00   
189     1.00092188e-03   2.50561642e+00   5.79233251e-03   1.00000000e+00   
190     1.00093862e-03   2.50571032e+00   5.89747908e-03   1.00000000e+00   
191     1.00095535e-03   2.50579285e+00   6.00262558e-03   1.00000000e+00   
192     1.00097209e-03   2.50586816e+00   6.10777202e-03   1.00000000e+00   
193     1.00098882e-03   2.50593959e+00   6.21291839e-03   1.00000000e+00   
194     1.00100556e-03   2.50600981e+00   6.31806469e-03   1.00000000e+00   
195     1.00102229e-03   2.50608079e+00   6.42321093e-03   1.00000000e+00   
196     1.00103903e-03   2.50615397e+00   6.52835709e-03   1.00000000e+00   
197     1.00105576e-03   2.50623026e+00   6.63350318e-03   1.00000000e+00   
198     1.00108923e-03   2.50639757e+00   6.84379513e-03   1.00000000e+00   
199     1.00115617e-03   2.50677784e+00   7.26437813e-03   1.00000000e+00   
200     1.00122311e-03   2.50718503e+00   7.68495984e-03   1.00000000e+00   
201     1.00129005e-03   2.50760479e+00   8.10554019e-03   1.00000000e+00   
202     1.00135699e-03   2.50802866e+00   8.52611911e-03   1.00000000e+00   
203     1.00142393e-03   2.50845275e+00   8.94669651e-03   1.00000000e+00   
204     1.00155781e-03   2.50929716e+00   9.78784651e-03   1.00000000e+00   
205     1.00182557e-03   2.51098043e+00   1.14701251e-02   1.00000000e+00   
206     1.00236108e-03   2.51434480e+00   1.48345802e-02   1.00000000e+00   
207     1.00343212e-03   2.52107299e+00   2.15629484e-02   1.00000000e+00   
208     1.00557418e-03   2.53452622e+00   3.50164507e-02   1.00000000e+00   
209     1.00985831e-03   2.56141141e+00   6.19019906e-02   1.00000000e+00   
210     1.01842657e-03   2.61502850e+00   1.15519073e-01   1.00000000e+00   
211     1.02842657e-03   2.67717273e+00   1.77661276e-01   1.00000000e+00   
212     1.03842657e-03   2.73861822e+00   2.39102331e-01   1.00000000e+00   
213     1.04842657e-03   2.79912228e+00   2.99599759e-01   1.00000000e+00   
214     1.05010000e-03   2.80914246e+00   3.09614500e-01   1.00000000e+00   
215     1.05010050e-03   2.80914546e+00   3.09617487e-01   9.95000000e-01   
216     1.05010086e-03   2.80914760e+00   3.09619627e-01   9.91417563e-01   
217     1.05010122e-03   2.80914973e+00   3.09621768e-01   9.87835125e-01   
218     1.05010157e-03   2.80915186e+00   3.09623908e-01   9.84252688e-01   
219     1.05010193e-03   2.80915397e+00   3.09626048e-01   9.80670251e-01   
220     1.05010229e-03   2.80915606e+00   3.09628188e-01   9.77087814e-01   
221     1.05010258e-03   2.80915775e+00   3.09629931e-01   9.74171558e-01   
222     1.05010287e-03   2.80915941e+00   3.09631673e-01   9.71255302e-01   
223     1.05010317e-03   2.80916103e+00   3.09633415e-01   9.68339046e-01   
224     1.05010346e-03   2.80916262e+00   3.09635158e-01   9.65422790e-01   
225     1.05010375e-03   2.80916416e+00   3.09636900e-01   9.62506534e-01   
226     1.05010404e-03   2.80916565e+00   3.09638642e-01   9.59590278e-01   
227     1.05010433e-03   2.80916707e+00   3.09640385e-01   9.56674022e-01   
228     1.05010462e-03   2.80916841e+00   3.09642127e-01   9.53757766e-01   
229     1.05010492e-03   2.80916966e+00   3.09643869e-01   9.50841510e-01   
230     1.05010521e-03   2.80917080e+00   3.09645611e-01   9.47925254e-01   
231     1.05010550e-03   2.80917183e+00   3.09647354e-01   9.45008998e-01   
232     1.05010579e-03   2.80917272e+00   3.09649096e-01   9.42092742e-01   
233     1.05010608e-03   2.80917346e+00   3.09650838e-01   9.39176486e-01   
234     1.05010637e-03   2.80917403e+00   3.09652580e-01   9.36260230e-01   
235     1.05010667e-03   2.80917441e+00   3.09654323e-01   9.33343974e-01   
236     1.05010696e-03   2.80917458e+00   3.09656065e-01   9.30427718e-01   
237     1.05010725e-03   2.80917453e+00   3.09657807e-01   9.27511462e-01   
238     1.05010754e-03   2.80917422e+00   3.09659550e-01   9.24595206e-01   
239     1.05010812e-03   2.80917241e+00   3.09663034e-01   9.18762694e-01   
240     1.05010871e-03   2.80916921e+00   3.09666519e-01   9.12930182e-01   
241     1.05010929e-03   2.80916439e+00   3.09670003e-01   9.07097670e-01   
242     1.05010987e-03   2.80915772e+00   3.09673488e-01   9.01265158e-01   
243     1.05011046e-03   2.80914897e+00   3.09676972e-01   8.95432647e-01   
244     1.05011104e-03   2.80913787e+00   3.09680457e-01   8.89600135e-01   
245     1.05011162e-03   2.80912418e+00   3.09683941e-01   8.83767623e-01   
246     1.05011221e-03   2.80910762e+00   3.09687426e-01   8.77935111e-01   
247     1.05011279e-03   2.80908791e+00   3.09690910e-01   8.72102599e-01   
248     1.05011396e-03   2.80903356e+00   3.09697879e-01   8.60437575e-01   
249     1.05011512e-03   2.80896188e+00   3.09704848e-01   8.48772551e-01   
250     1.05011629e-03   2.80887041e+00   3.09711817e-01   8.37107527e-01   
251     1.05011746e-03   2.80875666e+00   3.09718786e-01   8.25442503e-01   
252     1.05011862e-03   2.80861809e+00   3.09725755e-01   8.13777480e-01   
253     1.05011979e-03   2.80845220e+00   3.09732724e-01   8.02112456e-01   
254     1.05012096e-03   2.80825644e+00   3.09739693e-01   7.90447432e-01   
255     1.05012212e-03   2.80802830e+00   3.09746662e-01   7.78782408e-01   
256     1.05012329e-03   2.80776530e+00   3.09753631e-01   7.67117384e-01   
257     1.05012562e-03   2.80708039e+00   3.09767569e-01   7.43787336e-01   
258     1.05012795e-03   2.80621772e+00   3.09781506e-01   7.20457289e-01   
259     1.05013029e-03   2.80515913e+00   3.09795444e-01   6.97127241e-01   
260     1.05013262e-03   2.80388719e+00   3.09809381e-01   6.73797193e-01   
261     1.05013495e-03   2.80238525e+00   3.09823319e-01   6.50467146e-01   
262     1.05013729e-03   2.80063742e+00   3.09837256e-01   6.27137098e-01   
263     1.05014195e-03   2.79604419e+00   3.09865131e-01   5.80477002e-01   
264     1.05014662e-03   2.79025230e+00   3.09893005e-01   5.33816907e-01   
265     1.05015128e-03   2.78317339e+00   3.09920879e-01   4.87156812e-01   
266     1.05015595e-03   2.77473157e+00   3.09948753e-01   4.40496716e-01   
267     1.05016062e-03   2.76486291e+00   3.09976626e-01   3.93836621e-01   
268     1.05016995e-03   2.73908059e+00   3.10032372e-01   3.00516430e-01   
269     1.05017928e-03   2.70706965e+00   3.10088117e-01   2.07196239e-01   
270     1.05018861e-03   2.66878025e+00   3.10143861e-01   1.13876048e-01   
271     1.05020000e-03   2.61286081e+00   3.10211883e-01   -1.40369238e-12  
272     1.05020933e-03   2.56166748e+00   3.10267625e-01   0.00000000e+00   
273     1.05021866e-03   2.50633838e+00   3.10323365e-01   0.00000000e+00   
274     1.05022800e-03   2.44822945e+00   3.10379105e-01   0.00000000e+00   
275     1.05023733e-03   2.38865019e+00   3.10434843e-01   0.00000000e+00   
276     1.05024666e-03   2.32878570e+00   3.10490581e-01   0.00000000e+00   
277     1.05025599e-03   2.26966686e+00   3.10546317e-01   0.00000000e+00   
278     1.05026532e-03   2.21216329e+00   3.10602052e-01   0.00000000e+00   
279     1.05027466e-03   2.15698715e+00   3.10657786e-01   0.00000000e+00   
280     1.05028399e-03   2.10470236e+00   3.10713520e-01   0.00000000e+00   
281     1.05029332e-03   2.05573651e+00   3.10769252e-01   0.00000000e+00   
282     1.05030265e-03   2.01039412e+00   3.10824983e-01   0.00000000e+00   
283     1.05031198e-03   1.96887043e+00   3.10880712e-01   0.00000000e+00   
284     1.05032132e-03   1.93126506e+00   3.10936441e-01   0.00000000e+00   
285     1.05033065e-03   1.89759536e+00   3.10992169e-01   0.00000000e+00   
286     1.05033998e-03   1.86780908e+00   3.11047896e-01   0.00000000e+00   
287     1.05034931e-03   1.84179627e+00   3.11103621e-01   0.00000000e+00   
288     1.05035864e-03   1.81940029e+00   3.11159346e-01   0.00000000e+00   
289     1.05036798e-03   1.80042790e+00   3.11215070e-01   0.00000000e+00   
290     1.05037731e-03   1.78465833e+00   3.11270792e-01   0.00000000e+00   
291     1.05038664e-03   1.77185145e+00   3.11326513e-01   0.00000000e+00   
292     1.05039597e-03   1.76175490e+00   3.11382234e-01   0.00000000e+00   
293     1.05040530e-03   1.75411032e+00   3.11437953e-01   0.00000000e+00   
294     1.05041464e-03   1.74865876e+00   3.11493671e-01   0.00000000e+00   
295     1.05042217e-03   1.74555141e+00   3.11538666e-01   0.00000000e+00   
296     1.05042858e-03   1.74376323e+00   3.11576951e-01   0.00000000e+00   
297     1.05043126e-03   1.74315977e+00   3.11592940e-01   0.00000000e+00   
298     1.05043244e-03   1.74292228e+00   3.11599949e-01   0.00000000e+00   
299     1.05043361e-03   1.74271136e+00   3.11606958e-01   0.00000000e+00   
300     1.05043478e-03   1.74252649e+00   3.11613966e-01   0.00000000e+00   
301     1.05043713e-03   1.74225711e+00   3.11627984e-01   0.00000000e+00   
302     1.05043948e-03   1.74208421e+00   3.11642002e-01   0.00000000e+00   
303     1.05044183e-03   1.74200399e+00   3.11656019e-01   0.00000000e+00   
304     1.05044418e-03   1.74201267e+00   3.11670037e-01   0.00000000e+00   
305     1.05044504e-03   1.74202773e+00   3.11675199e-01   0.00000000e+00   
306     1.05044591e-03   1.74205448e+00   3.11680361e-01   0.00000000e+00   
307     1.05044677e-03   1.74209272e+00   3.11685523e-01   0.00000000e+00   
308     1.05044850e-03   1.74221373e+00   3.11695847e-01   0.00000000e+00   
309     1.05045023e-03   1.74237779e+00   3.11706171e-01   0.00000000e+00   
310     1.05045196e-03   1.74258347e+00   3.11716495e-01   0.00000000e+00   
311     1.05045542e-03   1.74315009e+00   3.11737143e-01   0.00000000e+00   
312     1.05045888e-03   1.74386102e+00   3.11757790e-01   0.00000000e+00   
313     1.05046233e-03   1.74470558e+00   3.11778438e-01   0.00000000e+00   
314     1.05046579e-03   1.74567344e+00   3.11799085e-01   0.00000000e+00   
315     1.05046925e-03   1.74675456e+00   3.11819732e-01   0.00000000e+00   
316     1.05047271e-03   1.74793921e+00   3.11840379e-01   0.00000000e+00   
317     1.05047963e-03   1.75065021e+00   3.11881673e-01   0.00000000e+00   
318     1.05048654e-03   1.75363579e+00   3.11922966e-01   0.00000000e+00   
319     1.05049346e-03   1.75683419e+00   3.11964259e-01   0.00000000e+00   
320     1.05050038e-03   1.76018900e+00   3.12005550e-01   0.00000000e+00   
321     1.05050729e-03   1.76364902e+00   3.12046842e-01   0.00000000e+00   
322     1.05051421e-03   1.76716819e+00   3.12088132e-01   0.00000000e+00   
323     1.05052113e-03   1.77070538e+00   3.12129422e-01   0.00000000e+00   
324     1.05052805e-03   1.77422422e+00   3.12170712e-01   0.00000000e+00   
325     1.05053496e-03   1.77769288e+00   3.12212001e-01   0.00000000e+00   
326     1.05054188e-03   1.78108385e+00   3.12253289e-01   0.00000000e+00   
327     1.05055571e-03   1.78739567e+00   3.12335864e-01   0.00000000e+00   
328     1.05056955e-03   1.79313048e+00   3.12418437e-01   0.00000000e+00   
329     1.05058338e-03   1.79822553e+00   3.12501007e-01   0.00000000e+00   
330     1.05059722e-03   1.80265434e+00   3.12583575e-01   0.00000000e+00   
331     1.05062488e-03   1.80900325e+00   3.12748703e-01   0.00000000e+00   
332     1.05064855e-03   1.81281464e+00   3.12889955e-01   0.00000000e+00   
333     1.05066783e-03   1.81499055e+00   3.13005007e-01   0.00000000e+00   
334     1.05068292e-03   1.81620003e+00   3.13095033e-01   0.00000000e+00   
335     1.05069529e-03   1.81690242e+00   3.13168826e-01   0.00000000e+00   
336     1.05070543e-03   1.81730728e+00   3.13229349e-01   0.00000000e+00   
337     1.05071387e-03   1.81753869e+00   3.13279701e-01   0.00000000e+00   
338     1.05072077e-03   1.81766445e+00   3.13320890e-01   0.00000000e+00   
339     1.05072623e-03   1.81772755e+00   3.13353470e-01   0.00000000e+00   
340     1.05073012e-03   1.81775524e+00   3.13376671e-01   0.00000000e+00   
341     1.05073401e-03   1.81776685e+00   3.13399871e-01   0.00000000e+00   
342     1.05073790e-03   1.81776353e+00   3.13423071e-01   0.00000000e+00   
343     1.05074178e-03   1.81774640e+00   3.13446270e-01   0.00000000e+00   
344     1.05074482e-03   1.81772512e+00   3.13464384e-01   0.00000000e+00   
345     1.05074785e-03   1.81769644e+00   3.13482497e-01   0.00000000e+00   
346     1.05075089e-03   1.81766086e+00   3.13500610e-01   0.00000000e+00   
347     1.05075393e-03   1.81761885e+00   3.13518723e-01   0.00000000e+00   
348     1.05075696e-03   1.81757089e+00   3.13536836e-01   0.00000000e+00   
349     1.05076303e-03   1.81745470e+00   3.13573061e-01   0.00000000e+00   
350     1.05076911e-03   1.81732155e+00   3.13609286e-01   0.00000000e+00   
351     1.05077518e-03   1.81717453e+00   3.13645511e-01   0.00000000e+00   
352     1.05078125e-03   1.81701651e+00   3.13681735e-01   0.00000000e+00   
353     1.05078732e-03   1.81685014e+00   3.13717958e-01   0.00000000e+00   
354     1.05079339e-03   1.81667787e+00   3.13754181e-01   0.00000000e+00   
355     1.05079946e-03   1.81650191e+00   3.13790404e-01   0.00000000e+00   
356     1.05080554e-03   1.81632428e+00   3.13826626e-01   0.00000000e+00   
