Index        TIME          {V(2)+1.0}       {V(3)+1.0}       {V(4)+1.0}
26      2.75965365e-08   1.87242449e+00   9.73060668e-01   1.35723624e+00   
27      2.80710438e-08   1.87901741e+00   9.57873066e-01   1.36348031e+00   
28      2.85455510e-08   1.88573987e+00   9.42953591e-01   1.36982896e+00   
29      2.94945655e-08   1.89976871e+00   9.14053780e-01   1.38305401e+00   
30      3.04435801e-08   1.91506141e+00   8.86957903e-01   1.39740465e+00   
31      3.13925946e-08   1.93278968e+00   8.63025936e-01   1.41398510e+00   
32      3.23416091e-08   1.95242022e+00   8.41557682e-01   1.43241439e+00   
33      3.32906237e-08   1.97399163e+00   8.22592015e-01   1.45273733e+00   
34      3.51886527e-08   2.02171774e+00   7.90682479e-01   1.49794538e+00   
35      3.64797792e-08   2.05906254e+00   7.75399341e-01   1.53353448e+00   
36      3.77709058e-08   2.09844022e+00   7.63202744e-01   1.57125692e+00   
37      3.90620323e-08   2.13925590e+00   7.53501808e-01   1.61051770e+00   
38      4.16442853e-08   2.22261672e+00   7.38589004e-01   1.69107614e+00   
39      4.39683131e-08   2.29862724e+00   7.30633844e-01   1.76485967e+00   
40      4.62923408e-08   2.37292476e+00   7.24422126e-01   1.83720875e+00   
41      5.09403963e-08   2.51250704e+00   7.15090086e-01   1.97351003e+00   
42      5.51236463e-08   2.62859779e+00   7.08711553e-01   2.08720309e+00   
43      5.93068962e-08   2.73466191e+00   7.03636005e-01   2.19126507e+00   
44      6.34901462e-08   2.83036390e+00   6.99589744e-01   2.28529647e+00   
45      7.18566461e-08   2.99299628e+00   6.94410373e-01   2.44540647e+00   
46      8.02231460e-08   3.11267481e+00   6.91996244e-01   2.56342311e+00   
47      8.85896459e-08   3.18868863e+00   6.92139248e-01   2.63854025e+00   
48      1.05322646e-07   3.21629059e+00   6.99907797e-01   2.66631216e+00   
49      1.22055645e-07   3.08379976e+00   7.19444199e-01   2.53665949e+00   
50      1.38788645e-07   2.80984528e+00   7.54421629e-01   2.26872236e+00   
51      1.55521645e-07   2.42556725e+00   8.14600656e-01   1.89534076e+00   
52      1.61099312e-07   2.28128837e+00   8.44604217e-01   1.75693182e+00   
53      1.66676978e-07   2.13189143e+00   8.81130982e-01   1.61493572e+00   
54      1.72254645e-07   1.97916147e+00   9.25111708e-01   1.47138466e+00   
55      1.73007953e-07   1.95870322e+00   9.31883388e-01   1.45254867e+00   
56      1.73761261e-07   1.93826436e+00   9.38837992e-01   1.43380036e+00   
57      1.74514569e-07   1.91785114e+00   9.45979006e-01   1.41514793e+00   
58      1.76021184e-07   1.87791151e+00   9.61570261e-01   1.37925861e+00   
59      1.77527800e-07   1.83893896e+00   9.78689299e-01   1.34495259e+00   
60      1.79034416e-07   1.80112200e+00   9.97493839e-01   1.31248859e+00   
61      1.79906173e-07   1.77973993e+00   1.00911387e+00   1.29465782e+00   
62      1.80777929e-07   1.75878428e+00   1.02132727e+00   1.27758678e+00   
63      1.81649686e-07   1.73828025e+00   1.03415438e+00   1.26132678e+00   
64      1.82521442e-07   1.71812526e+00   1.04748901e+00   1.24595090e+00   
65      1.83393199e-07   1.69837365e+00   1.06138033e+00   1.23150548e+00   
66      1.84264955e-07   1.67902976e+00   1.07582801e+00   1.21804537e+00   
67      1.85136712e-07   1.66000037e+00   1.09073575e+00   1.20560961e+00   
68      1.86008468e-07   1.64130378e+00   1.10611693e+00   1.19425532e+00   
69      1.86880225e-07   1.62292341e+00   1.12195067e+00   1.18403396e+00   
70      1.87751981e-07   1.60477650e+00   1.13814755e+00   1.17486381e+00   
71      1.88623738e-07   1.58685594e+00   1.15469647e+00   1.16681534e+00   
72      1.89495494e-07   1.56913098e+00   1.17156186e+00   1.15991150e+00   
73      1.90367251e-07   1.55156278e+00   1.18869995e+00   1.15405664e+00   
74      1.91239007e-07   1.53412173e+00   1.20607633e+00   1.14929061e+00   
75      1.92110763e-07   1.51677536e+00   1.22365367e+00   1.14561094e+00   
76      1.93418398e-07   1.49089727e+00   1.25035033e+00   1.14176969e+00   
77      1.94726033e-07   1.46510746e+00   1.27734801e+00   1.13977340e+00   
78      1.96033668e-07   1.43933233e+00   1.30455725e+00   1.13925038e+00   
79      1.97341302e-07   1.41350623e+00   1.33189669e+00   1.13974817e+00   
80      1.98213826e-07   1.39619733e+00   1.35015471e+00   1.14060397e+00   
81      1.99086349e-07   1.37881118e+00   1.36840391e+00   1.14165327e+00   
82      1.99958872e-07   1.36133007e+00   1.38662174e+00   1.14274879e+00   
83      2.00831395e-07   1.34373734e+00   1.40478674e+00   1.14373297e+00   
84      2.01703918e-07   1.32607037e+00   1.42293182e+00   1.14495052e+00   
85      2.02576442e-07   1.30830436e+00   1.44102729e+00   1.14612357e+00   
86      2.03448965e-07   1.29043953e+00   1.45906865e+00   1.14719557e+00   
87      2.04321488e-07   1.27247883e+00   1.47705409e+00   1.14811567e+00   
88      2.05484852e-07   1.24843528e+00   1.50098961e+00   1.14967839e+00   
89      2.06648216e-07   1.22426077e+00   1.52484291e+00   1.15129679e+00   
90      2.07811581e-07   1.19996394e+00   1.54861071e+00   1.15297376e+00   
91      2.09556627e-07   1.16354610e+00   1.58372338e+00   1.15695994e+00   
92      2.10974215e-07   1.13355297e+00   1.61194460e+00   1.16262365e+00   
93      2.12391803e-07   1.10283802e+00   1.63944646e+00   1.17153192e+00   
94      2.13809391e-07   1.07110429e+00   1.66590864e+00   1.18421280e+00   
95      2.16644567e-07   1.00499280e+00   1.71658690e+00   1.21811325e+00   
96      2.17420948e-07   9.86260245e-01   1.72975357e+00   1.22913348e+00   
97      2.18197330e-07   9.67490773e-01   1.74283161e+00   1.24034234e+00   
98      2.19750092e-07   9.30833640e-01   1.76952974e+00   1.26378618e+00   
99      2.20960506e-07   9.03534849e-01   1.79158606e+00   1.28346300e+00   
100     2.22170921e-07   8.78206120e-01   1.81550916e+00   1.30504136e+00   
101     2.23381335e-07   8.55152813e-01   1.84159495e+00   1.32881111e+00   
102     2.25802164e-07   8.15088727e-01   1.89979239e+00   1.38255508e+00   
103     2.28222992e-07   7.84505166e-01   1.96698893e+00   1.44560382e+00   
104     2.30643821e-07   7.62444621e-01   2.04202204e+00   1.51690270e+00   
105     2.33064650e-07   7.46837649e-01   2.12268913e+00   1.59427454e+00   
106     2.34678536e-07   7.39060665e-01   2.17858815e+00   1.64819425e+00   
107     2.36292421e-07   7.32715454e-01   2.23547764e+00   1.70325995e+00   
108     2.37906307e-07   7.27227426e-01   2.29275217e+00   1.75885042e+00   
109     2.39520193e-07   7.22641890e-01   2.35042445e+00   1.81495518e+00   
110     2.41134079e-07   7.18356078e-01   2.40786097e+00   1.87092522e+00   
111     2.42747965e-07   7.13964462e-01   2.46462489e+00   1.92630589e+00   
112     2.44361850e-07   7.10159678e-01   2.52139787e+00   1.98178171e+00   
113     2.45975736e-07   7.06379316e-01   2.57758329e+00   2.03673525e+00   
114     2.47589622e-07   7.02453169e-01   2.63298399e+00   2.09095597e+00   
115     2.52431279e-07   6.92071619e-01   2.79654993e+00   2.25133900e+00   
116     2.62114594e-07   6.76598176e-01   3.09390344e+00   2.54374219e+00   
117     2.68448478e-07   6.68134647e-01   3.27744774e+00   2.72463071e+00   
118     2.75851393e-07   6.59980881e-01   3.47453112e+00   2.91912957e+00   
119     2.77702122e-07   6.58277396e-01   3.52216572e+00   2.96619198e+00   
120     2.79552850e-07   6.56634726e-01   3.56842831e+00   3.01190014e+00   
121     2.83254308e-07   6.53517994e-01   3.65594181e+00   3.09838837e+00   
122     2.86955765e-07   6.50792442e-01   3.73791090e+00   3.17943987e+00   
123     2.94358680e-07   6.46247988e-01   3.88164847e+00   3.32163721e+00   
124     3.01021303e-07   6.43446402e-01   3.99100466e+00   3.42991167e+00   
125     3.07683926e-07   6.41658754e-01   4.07979864e+00   3.51788027e+00   
126     3.14346549e-07   6.40848633e-01   4.14724474e+00   3.58474702e+00   
127     3.27671795e-07   6.42729355e-01   4.21927626e+00   3.65634040e+00   
128     3.40997041e-07   6.48301099e-01   4.19954932e+00   3.63708905e+00   
129     3.54322288e-07   6.58144491e-01   4.08752914e+00   3.52653489e+00   
130     3.67647534e-07   6.73209893e-01   3.88677982e+00   3.32835462e+00   
131     3.75881018e-07   6.83680668e-01   3.72398752e+00   3.16763964e+00   
132     3.83291153e-07   6.96869238e-01   3.55397320e+00   3.00006401e+00   
133     3.90701289e-07   7.12971937e-01   3.36321031e+00   2.81226922e+00   
134     3.98111425e-07   7.32626644e-01   3.15406338e+00   2.60674466e+00   
135     4.12931696e-07   7.91305105e-01   2.68683073e+00   2.14989964e+00   
136     4.19222452e-07   8.22820343e-01   2.47879092e+00   1.94773652e+00   
137     4.25513209e-07   8.63812131e-01   2.27039265e+00   1.74704859e+00   
138     4.30181097e-07   9.02205243e-01   2.11676736e+00   1.60103315e+00   
139     4.32777260e-07   9.27568676e-01   2.03249901e+00   1.52211446e+00   
140     4.35373424e-07   9.56985889e-01   1.95119849e+00   1.44714986e+00   
141     4.37259497e-07   9.81179376e-01   1.89406793e+00   1.39558160e+00   
142     4.38167692e-07   9.93644476e-01   1.86701771e+00   1.37160130e+00   
143     4.38643713e-07   1.00040640e+00   1.85298038e+00   1.35928998e+00   
144     4.38777922e-07   1.00233218e+00   1.84903240e+00   1.35584280e+00   
145     4.39046339e-07   1.00624816e+00   1.84118495e+00   1.34902461e+00   
146     4.39260599e-07   1.00941072e+00   1.83495356e+00   1.34363039e+00   
147     4.39689119e-07   1.01587547e+00   1.82263654e+00   1.33305139e+00   
148     4.40117639e-07   1.02249111e+00   1.81045473e+00   1.32269453e+00   
149     4.40546159e-07   1.02926032e+00   1.79840476e+00   1.31256538e+00   
150     4.41403199e-07   1.04318745e+00   1.77458524e+00   1.29289828e+00   
151     4.42260239e-07   1.05769963e+00   1.75125155e+00   1.27420166e+00   
152     4.43974319e-07   1.08844345e+00   1.70610808e+00   1.24015836e+00   
153     4.45688399e-07   1.12132951e+00   1.66286045e+00   1.21095436e+00   
154     4.49116560e-07   1.19189489e+00   1.58058277e+00   1.16840484e+00   
155     4.52183713e-07   1.25918980e+00   1.51066504e+00   1.14860200e+00   
156     4.55250866e-07   1.32851194e+00   1.44254886e+00   1.14225236e+00   
157     4.58318019e-07   1.39827209e+00   1.37484337e+00   1.14327519e+00   
158     4.60899937e-07   1.45589735e+00   1.31832670e+00   1.14639651e+00   
159     4.63058316e-07   1.50363516e+00   1.27060578e+00   1.14933515e+00   
160     4.67375075e-07   1.59541701e+00   1.17414021e+00   1.15923889e+00   
161     4.69288373e-07   1.63513817e+00   1.12985610e+00   1.17027061e+00   
162     4.71201671e-07   1.67262055e+00   1.08364899e+00   1.18838302e+00   
163     4.72639275e-07   1.69949556e+00   1.04773920e+00   1.20588795e+00   
164     4.74076879e-07   1.72524979e+00   1.01093672e+00   1.22565407e+00   
165     4.75514483e-07   1.75033023e+00   9.73717362e-01   1.24667887e+00   
166     4.76790188e-07   1.77284515e+00   9.41145390e-01   1.26637969e+00   
167     4.78065892e-07   1.79651606e+00   9.09966584e-01   1.28755271e+00   
168     4.79341596e-07   1.82226148e+00   8.81111110e-01   1.31087899e+00   
169     4.81893004e-07   1.88072124e+00   8.30699347e-01   1.36461835e+00   
170     4.84444412e-07   1.95009838e+00   7.92181252e-01   1.42948299e+00   
171     4.86995821e-07   2.02955580e+00   7.64955592e-01   1.50482404e+00   
172     4.89043050e-07   2.09992362e+00   7.51541471e-01   1.57227919e+00   
173     4.90885557e-07   2.16483002e+00   7.41766464e-01   1.63483120e+00   
174     4.92728064e-07   2.23063701e+00   7.33678511e-01   1.69850156e+00   
175     4.96413077e-07   2.36222169e+00   7.21277000e-01   1.82637020e+00   
176     4.99700638e-07   2.47872021e+00   7.12058342e-01   1.93999531e+00   
177     5.02988198e-07   2.59344068e+00   7.04103296e-01   2.05217490e+00   
178     5.09563319e-07   2.81221297e+00   6.91056078e-01   2.26669511e+00   
179     5.15480927e-07   2.99952353e+00   6.81180825e-01   2.45083488e+00   
180     5.21398536e-07   3.17575995e+00   6.72862449e-01   2.62439686e+00   
181     5.27316145e-07   3.33966846e+00   6.65877724e-01   2.78604058e+00   
182     5.39151362e-07   3.63233833e+00   6.55214527e-01   3.07512330e+00   
183     5.47161589e-07   3.78976612e+00   6.50104066e-01   3.23079564e+00   
184     5.54370793e-07   3.90701084e+00   6.47140393e-01   3.34684882e+00   
185     5.57175235e-07   3.94702494e+00   6.46639941e-01   3.38650251e+00   
186     5.59979676e-07   3.98286408e+00   6.46121297e-01   3.42200904e+00   
187     5.65588560e-07   4.04131020e+00   6.45183236e-01   3.47991695e+00   
188     5.71197443e-07   4.08388847e+00   6.45130106e-01   3.52215346e+00   
189     5.76806327e-07   4.11026466e+00   6.45854658e-01   3.54836447e+00   
190     5.88024093e-07   4.11545822e+00   6.50220892e-01   3.55378308e+00   
191     5.99241860e-07   4.05401434e+00   6.57337261e-01   3.49324828e+00   
192     6.10459627e-07   3.92735554e+00   6.67789362e-01   3.36826649e+00   
193     6.32895161e-07   3.50158872e+00   7.01685000e-01   2.94849089e+00   
194     6.50710727e-07   3.01817747e+00   7.48444231e-01   2.47355756e+00   
195     6.68526293e-07   2.45232769e+00   8.29491396e-01   1.92226992e+00   
196     6.75207381e-07   2.23477483e+00   8.71782524e-01   1.71289516e+00   
197     6.78377199e-07   2.13111608e+00   8.97081623e-01   1.61450562e+00   
198     6.81547017e-07   2.03002155e+00   9.26923224e-01   1.51964995e+00   
199     6.84140298e-07   1.94995908e+00   9.55592101e-01   1.44584382e+00   
200     6.85622959e-07   1.90520612e+00   9.73825941e-01   1.40535613e+00   
201     6.86612015e-07   1.87592119e+00   9.86843234e-01   1.37925593e+00   
202     6.87297934e-07   1.85591574e+00   9.96297939e-01   1.36164546e+00   
203     6.87665079e-07   1.84529132e+00   1.00149078e+00   1.35237335e+00   
204     6.87901584e-07   1.83848221e+00   1.00488804e+00   1.34646421e+00   
205     6.88138089e-07   1.83170977e+00   1.00833181e+00   1.34061088e+00   
206     6.88374593e-07   1.82497801e+00   1.01182119e+00   1.33482263e+00   
207     6.88847603e-07   1.81160031e+00   1.01891696e+00   1.32340861e+00   
208     6.89320612e-07   1.79836667e+00   1.02619561e+00   1.31225414e+00   
209     6.90266631e-07   1.77237366e+00   1.04130307e+00   1.29080567e+00   
210     6.92158669e-07   1.72224084e+00   1.07366384e+00   1.25166962e+00   
211     6.94050706e-07   1.67444982e+00   1.10872192e+00   1.21807505e+00   
212     6.97834781e-07   1.58408002e+00   1.18491460e+00   1.16956864e+00   
213     7.00860489e-07   1.51572015e+00   1.25036535e+00   1.14915115e+00   
214     7.03886196e-07   1.44917946e+00   1.31797886e+00   1.14208508e+00   
215     7.06911904e-07   1.38308042e+00   1.38618792e+00   1.14257825e+00   
216     7.07776896e-07   1.36427837e+00   1.40562202e+00   1.14370788e+00   
217     7.09506881e-07   1.32661566e+00   1.44407524e+00   1.14589867e+00   
218     7.11236865e-07   1.28871179e+00   1.48223207e+00   1.14819732e+00   
219     7.14696834e-07   1.21260806e+00   1.55667633e+00   1.15301462e+00   
220     7.16738182e-07   1.16685014e+00   1.60007845e+00   1.15973018e+00   
221     7.18779529e-07   1.11967993e+00   1.64178618e+00   1.17277743e+00   
222     7.20371281e-07   1.08146210e+00   1.67278480e+00   1.18821565e+00   
223     7.21803858e-07   1.04592368e+00   1.69939551e+00   1.20573224e+00   
224     7.23236435e-07   1.00950933e+00   1.72491984e+00   1.22539068e+00   
225     7.24669012e-07   9.72691309e-01   1.74980481e+00   1.24626359e+00   
226     7.25877433e-07   9.42026346e-01   1.77103810e+00   1.26481861e+00   
227     7.27085854e-07   9.12547751e-01   1.79325954e+00   1.28465810e+00   
228     7.28294275e-07   8.85054496e-01   1.81725712e+00   1.30635684e+00   
229     7.30711117e-07   8.36463162e-01   1.87139346e+00   1.35599726e+00   
230     7.33127959e-07   7.98432226e-01   1.93528119e+00   1.41555867e+00   
231     7.35544801e-07   7.70768230e-01   2.00851753e+00   1.48480051e+00   
232     7.37473431e-07   7.56750791e-01   2.07345639e+00   1.54689103e+00   
233     7.39209198e-07   7.46521483e-01   2.13368678e+00   1.60480567e+00   
234     7.40944965e-07   7.38086634e-01   2.19505466e+00   1.66406482e+00   
235     7.42680733e-07   7.30970591e-01   2.25704897e+00   1.72412746e+00   
236     7.46152267e-07   7.18857378e-01   2.38172847e+00   1.84535153e+00   
237     7.49623801e-07   7.09960704e-01   2.50455370e+00   1.96523264e+00   
238     7.53095335e-07   7.02028549e-01   2.62499543e+00   2.08307461e+00   
239     7.60038404e-07   6.88789996e-01   2.85357152e+00   2.30732127e+00   
240     7.66287165e-07   6.78770938e-01   3.04845398e+00   2.49899355e+00   
241     7.72535927e-07   6.70385687e-01   3.23086155e+00   2.67871048e+00   
242     7.78784689e-07   6.63414326e-01   3.39936903e+00   2.84495639e+00   
243     7.91282212e-07   6.53018010e-01   3.69642537e+00   3.13847920e+00   
244     7.96270905e-07   6.50047864e-01   3.79365566e+00   3.23464817e+00   
245     8.06248291e-07   6.45748723e-01   3.94946360e+00   3.38885663e+00   
246     8.13503167e-07   6.44541057e-01   4.03449243e+00   3.47312015e+00   
247     8.20758043e-07   6.44411333e-01   4.09305838e+00   3.53120726e+00   
248     8.28012918e-07   6.45438112e-01   4.12471875e+00   3.56267952e+00   
249     8.42522669e-07   6.52101931e-01   4.10888465e+00   3.54737377e+00   
250     8.57032420e-07   6.63696255e-01   3.98306094e+00   3.42325549e+00   
251     8.57939280e-07   6.64594223e-01   3.97135419e+00   3.41170189e+00   
252     8.59752999e-07   6.66376794e-01   3.94674459e+00   3.38740359e+00   
253     8.61566717e-07   6.68343697e-01   3.92061637e+00   3.36161573e+00   
254     8.65194155e-07   6.72328631e-01   3.86387693e+00   3.30560279e+00   
255     8.68821593e-07   6.76995924e-01   3.80121098e+00   3.24377467e+00   
256     8.72449031e-07   6.82231754e-01   3.73263190e+00   3.17613420e+00   
257     8.79703906e-07   6.95287059e-01   3.57755178e+00   3.02332305e+00   
258     8.86958782e-07   7.10517685e-01   3.39996864e+00   2.84848414e+00   
259     8.94213657e-07   7.28799976e-01   3.20271626e+00   2.65457912e+00   
260     9.08723409e-07   7.79310718e-01   2.76357046e+00   2.22460003e+00   
261     9.15515435e-07   8.09103946e-01   2.54700099e+00   2.01369760e+00   
262     9.22307462e-07   8.48899735e-01   2.32767079e+00   1.80183536e+00   
263     9.27382421e-07   8.86974369e-01   2.16325074e+00   1.64483799e+00   
264     9.30417311e-07   9.14234768e-01   2.06563465e+00   1.55287794e+00   
265     9.33452201e-07   9.46369681e-01   1.97121710e+00   1.46527380e+00   
266     9.35638506e-07   9.73071672e-01   1.90544182e+00   1.40555442e+00   
267     9.36743982e-07   9.87720223e-01   1.87281088e+00   1.37650018e+00   
268     9.37407918e-07   9.96935274e-01   1.85348362e+00   1.35951593e+00   
269     9.37743443e-07   1.00170386e+00   1.84378465e+00   1.35106261e+00   
270     9.38078969e-07   1.00656879e+00   1.83416292e+00   1.34273343e+00   
271     9.38330548e-07   1.01026921e+00   1.82699002e+00   1.33655447e+00   
272     9.38833706e-07   1.01786242e+00   1.81283722e+00   1.32448127e+00   
273     9.39286548e-07   1.02486585e+00   1.80024352e+00   1.31386413e+00   
274     9.39739390e-07   1.03203876e+00   1.78779237e+00   1.30350093e+00   
275     9.40645075e-07   1.04698618e+00   1.76350683e+00   1.28377659e+00   
276     9.41460191e-07   1.06097100e+00   1.74209412e+00   1.26693409e+00   
277     9.42275307e-07   1.07546717e+00   1.72111990e+00   1.25105187e+00   
278     9.43090423e-07   1.09045306e+00   1.70057000e+00   1.23618847e+00   
279     9.44720655e-07   1.12160045e+00   1.66027584e+00   1.20924946e+00   
280     9.46350888e-07   1.15433886e+00   1.62128454e+00   1.18684123e+00   
281     9.47981120e-07   1.18840252e+00   1.58341923e+00   1.16916587e+00   
282     9.51241584e-07   1.25928485e+00   1.51001021e+00   1.14817388e+00   
283     9.54502048e-07   1.33234288e+00   1.43839562e+00   1.14188760e+00   
284     9.56310829e-07   1.37296181e+00   1.39939204e+00   1.14297056e+00   
285     9.58119611e-07   1.41336067e+00   1.36016371e+00   1.14475524e+00   
286     9.61737173e-07   1.49250407e+00   1.28156035e+00   1.14848213e+00   
287     9.64992978e-07   1.56256008e+00   1.20972927e+00   1.15367226e+00   
288     9.66969846e-07   1.60450559e+00   1.16525337e+00   1.16071346e+00   
289     9.68946713e-07   1.64474202e+00   1.11934344e+00   1.17396169e+00   
290     9.70506954e-07   1.67499330e+00   1.08169714e+00   1.18947270e+00   
291     9.72067196e-07   1.70370579e+00   1.04273420e+00   1.20891210e+00   
292     9.73471413e-07   1.72855973e+00   1.00685214e+00   1.22835231e+00   
293     9.74875630e-07   1.75285579e+00   9.70642387e-01   1.24888657e+00   
294     9.75998085e-07   1.77252310e+00   9.42065620e-01   1.26612489e+00   
295     9.77120540e-07   1.79303359e+00   9.14504141e-01   1.28445200e+00   
296     9.78242995e-07   1.81503002e+00   8.88610453e-01   1.30433631e+00   
297     9.80487904e-07   1.86428518e+00   8.42306067e-01   1.34943406e+00   
298     9.82732813e-07   1.92199846e+00   8.05149319e-01   1.40310109e+00   
299     9.84977723e-07   1.98811982e+00   7.77268527e-01   1.46542785e+00   
300     9.89467542e-07   2.13778584e+00   7.41923835e-01   1.60863642e+00   
301     9.91262829e-07   2.20280728e+00   7.34839789e-01   1.67149591e+00   
302     9.93058117e-07   2.26785239e+00   7.28546067e-01   1.73457205e+00   
303     9.96648692e-07   2.39637472e+00   7.17980871e-01   1.85963868e+00   
304     9.99855954e-07   2.50971361e+00   7.09678111e-01   1.97027745e+00   
305     1.00000000e-06   2.51481288e+00   7.09302088e-01   1.97526211e+00   
End of Xyce(TM) Simulation
