Index        TIME         {V(24,6)+6.0}     {V(26)+6.0}    {V(13,19)+6.0}     {V(24)+6.0}      {V(6)+6.0}       {V(26)+6.0}      {V(13)+6.0}      {V(19)+6.0}
37      2.50206250e-07   6.00000038e+00   6.00000000e+00   6.00020000e+00   7.22911755e+00   7.22911717e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
38      2.50306250e-07   6.00000056e+00   6.00000000e+00   6.00020000e+00   7.22900289e+00   7.22900233e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
39      2.50406250e-07   6.00000076e+00   6.00000000e+00   6.00020000e+00   7.22889317e+00   7.22889241e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
40      2.50606250e-07   6.00000137e+00   6.00000000e+00   6.00020000e+00   7.22870922e+00   7.22870785e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
41      2.50806250e-07   6.00000226e+00   6.00000000e+00   6.00020000e+00   7.22857168e+00   7.22856942e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
42      2.51206250e-07   6.00000508e+00   6.00000000e+00   6.00020000e+00   7.22849057e+00   7.22848549e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
43      2.51513752e-07   6.00000780e+00   6.00000000e+00   6.00020000e+00   7.22854248e+00   7.22853468e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
44      2.51821254e-07   6.00001104e+00   6.00000000e+00   6.00020000e+00   7.22870928e+00   7.22869825e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
45      2.52128756e-07   6.00001478e+00   6.00000000e+00   6.00020000e+00   7.22899465e+00   7.22897988e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
46      2.52743761e-07   6.00002366e+00   6.00000000e+00   6.00020000e+00   7.22988363e+00   7.22985996e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
47      2.53358765e-07   6.00003679e+00   6.00000000e+00   6.00020000e+00   7.23164531e+00   7.23160852e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
48      2.53704230e-07   6.00004568e+00   6.00000000e+00   6.00020000e+00   7.23290300e+00   7.23285732e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
49      2.54007293e-07   6.00005505e+00   6.00000000e+00   6.00020000e+00   7.23425663e+00   7.23420159e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
50      2.54280050e-07   6.00006503e+00   6.00000000e+00   6.00020000e+00   7.23571049e+00   7.23564546e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
51      2.54552807e-07   6.00007592e+00   6.00000000e+00   6.00020000e+00   7.23764428e+00   7.23756836e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
52      2.55098320e-07   6.00009758e+00   6.00000000e+00   6.00020000e+00   7.24220480e+00   7.24210722e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
53      2.55643834e-07   6.00011836e+00   6.00000000e+00   6.00020000e+00   7.24669206e+00   7.24657369e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
54      2.56189348e-07   6.00013751e+00   6.00000000e+00   6.00020000e+00   7.25102648e+00   7.25088897e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
55      2.57280376e-07   6.00017170e+00   6.00000000e+00   6.00020000e+00   7.25930001e+00   7.25912830e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
56      2.58017296e-07   6.00018950e+00   6.00000000e+00   6.00020000e+00   7.26436361e+00   7.26417411e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
57      2.58459356e-07   6.00019893e+00   6.00000000e+00   6.00020000e+00   7.26727478e+00   7.26707585e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
58      2.58843481e-07   6.00020615e+00   6.00000000e+00   6.00020000e+00   7.26970373e+00   7.26949758e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
59      2.59082114e-07   6.00021025e+00   6.00000000e+00   6.00020000e+00   7.27117213e+00   7.27096188e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
60      2.59320747e-07   6.00021395e+00   6.00000000e+00   6.00020000e+00   7.27259895e+00   7.27238499e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
61      2.59559380e-07   6.00021727e+00   6.00000000e+00   6.00020000e+00   7.27398376e+00   7.27376649e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
62      2.60000000e-07   6.00022212e+00   6.00000000e+00   6.00020000e+00   7.27639581e+00   7.27617369e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
63      2.60050000e-07   6.00022273e+00   6.00000000e+00   6.00020000e+00   7.27662071e+00   7.27639798e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
64      2.60056250e-07   6.00022281e+00   6.00000000e+00   6.00020000e+00   7.27664874e+00   7.27642593e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
65      2.60068750e-07   6.00022296e+00   6.00000000e+00   6.00020000e+00   7.27670468e+00   7.27648172e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
66      2.60081250e-07   6.00022311e+00   6.00000000e+00   6.00020000e+00   7.27676051e+00   7.27653740e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
67      2.60106250e-07   6.00022341e+00   6.00000000e+00   6.00020000e+00   7.27687177e+00   7.27664836e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
68      2.60156250e-07   6.00022399e+00   6.00000000e+00   6.00020000e+00   7.27709261e+00   7.27686862e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
69      2.60256250e-07   6.00022508e+00   6.00000000e+00   6.00020000e+00   7.27752749e+00   7.27730241e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
70      2.60456250e-07   6.00022700e+00   6.00000000e+00   6.00020000e+00   7.27836960e+00   7.27814259e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
71      2.60856250e-07   6.00022975e+00   6.00000000e+00   6.00020000e+00   7.27994001e+00   7.27971026e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
72      2.61094467e-07   6.00023098e+00   6.00000000e+00   6.00020000e+00   7.28083420e+00   7.28060321e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
73      2.61296626e-07   6.00023174e+00   6.00000000e+00   6.00020000e+00   7.28156283e+00   7.28133109e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
74      2.61498785e-07   6.00023219e+00   6.00000000e+00   6.00020000e+00   7.28226037e+00   7.28202818e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
75      2.61680728e-07   6.00023236e+00   6.00000000e+00   6.00020000e+00   7.28286229e+00   7.28262994e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
76      2.61862671e-07   6.00023227e+00   6.00000000e+00   6.00020000e+00   7.28343796e+00   7.28320568e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
77      2.61996963e-07   6.00023208e+00   6.00000000e+00   6.00020000e+00   7.28384852e+00   7.28361644e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
78      2.62084221e-07   6.00023190e+00   6.00000000e+00   6.00020000e+00   7.28410927e+00   7.28387737e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
79      2.62171479e-07   6.00023166e+00   6.00000000e+00   6.00020000e+00   7.28436398e+00   7.28413232e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
80      2.62345995e-07   6.00023098e+00   6.00000000e+00   6.00020000e+00   7.28484936e+00   7.28461838e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
81      2.62695027e-07   6.00022885e+00   6.00000000e+00   6.00020000e+00   7.28572438e+00   7.28549553e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
82      2.63393092e-07   6.00022232e+00   6.00000000e+00   6.00020000e+00   7.28709892e+00   7.28687660e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
83      2.64091156e-07   6.00021457e+00   6.00000000e+00   6.00020000e+00   7.28810864e+00   7.28789407e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
84      2.64263437e-07   6.00021260e+00   6.00000000e+00   6.00020000e+00   7.28833576e+00   7.28812316e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
85      2.64380275e-07   6.00021124e+00   6.00000000e+00   6.00020000e+00   7.28847970e+00   7.28826845e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
86      2.64497114e-07   6.00020987e+00   6.00000000e+00   6.00020000e+00   7.28861359e+00   7.28840373e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
87      2.64613952e-07   6.00020849e+00   6.00000000e+00   6.00020000e+00   7.28873752e+00   7.28852904e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
88      2.64847629e-07   6.00020571e+00   6.00000000e+00   6.00020000e+00   7.28896231e+00   7.28875660e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
89      2.65081306e-07   6.00020295e+00   6.00000000e+00   6.00020000e+00   7.28915005e+00   7.28894710e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
90      2.65548660e-07   6.00019769e+00   6.00000000e+00   6.00020000e+00   7.28941143e+00   7.28921374e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
91      2.66016014e-07   6.00019303e+00   6.00000000e+00   6.00020000e+00   7.28952409e+00   7.28933106e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
92      2.66950722e-07   6.00018736e+00   6.00000000e+00   6.00020000e+00   7.28932994e+00   7.28914258e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
93      2.67885430e-07   6.00018836e+00   6.00000000e+00   6.00020000e+00   7.28861007e+00   7.28842171e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
94      2.68820138e-07   6.00019843e+00   6.00000000e+00   6.00020000e+00   7.28741511e+00   7.28721668e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
95      2.69754846e-07   6.00021971e+00   6.00000000e+00   6.00020000e+00   7.28580063e+00   7.28558092e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
96      2.70000000e-07   6.00022771e+00   6.00000000e+00   6.00020000e+00   7.28529835e+00   7.28507064e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
97      2.70245154e-07   6.00023668e+00   6.00000000e+00   6.00020000e+00   7.28477441e+00   7.28453774e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
98      2.70275799e-07   6.00023781e+00   6.00000000e+00   6.00020000e+00   7.28470860e+00   7.28447078e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
99      2.70337087e-07   6.00024015e+00   6.00000000e+00   6.00020000e+00   7.28457566e+00   7.28433551e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
100     2.70459665e-07   6.00024507e+00   6.00000000e+00   6.00020000e+00   7.28430466e+00   7.28405959e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
101     2.70704819e-07   6.00025592e+00   6.00000000e+00   6.00020000e+00   7.28374298e+00   7.28348706e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
102     2.70949973e-07   6.00026780e+00   6.00000000e+00   6.00020000e+00   7.28316244e+00   7.28289465e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
103     2.71440282e-07   6.00029579e+00   6.00000000e+00   6.00020000e+00   7.28193334e+00   7.28163755e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
104     2.71840283e-07   6.00032149e+00   6.00000000e+00   6.00020000e+00   7.28088956e+00   7.28056807e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
105     2.72240285e-07   6.00035013e+00   6.00000000e+00   6.00020000e+00   7.27980908e+00   7.27945895e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
106     2.72640286e-07   6.00038175e+00   6.00000000e+00   6.00020000e+00   7.27869634e+00   7.27831459e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
107     2.73440288e-07   6.00045209e+00   6.00000000e+00   6.00020000e+00   7.27640935e+00   7.27595726e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
108     2.73981367e-07   6.00050877e+00   6.00000000e+00   6.00020000e+00   7.27479881e+00   7.27429004e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
109     2.74468338e-07   6.00056447e+00   6.00000000e+00   6.00020000e+00   7.27333099e+00   7.27276653e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
110     2.74955308e-07   6.00062488e+00   6.00000000e+00   6.00020000e+00   7.27185216e+00   7.27122728e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
111     2.75442279e-07   6.00069005e+00   6.00000000e+00   6.00020000e+00   7.27036929e+00   7.26967924e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
112     2.76416220e-07   6.00083156e+00   6.00000000e+00   6.00020000e+00   7.26741431e+00   7.26658274e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
113     2.77022846e-07   6.00093214e+00   6.00000000e+00   6.00020000e+00   7.26560094e+00   7.26466880e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
114     2.77568809e-07   6.00102872e+00   6.00000000e+00   6.00020000e+00   7.26399655e+00   7.26296783e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
115     2.78114772e-07   6.00113136e+00   6.00000000e+00   6.00020000e+00   7.26242644e+00   7.26129508e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
116     2.78660736e-07   6.00124002e+00   6.00000000e+00   6.00020000e+00   7.26089651e+00   7.25965648e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
117     2.79752662e-07   6.00147135e+00   6.00000000e+00   6.00020000e+00   7.25794581e+00   7.25647447e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
118     2.80419676e-07   6.00162762e+00   6.00000000e+00   6.00020000e+00   7.25627073e+00   7.25464311e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
119     2.81016872e-07   6.00177456e+00   6.00000000e+00   6.00020000e+00   7.25484030e+00   7.25306574e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
120     2.81614068e-07   6.00192844e+00   6.00000000e+00   6.00020000e+00   7.25348207e+00   7.25155363e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
121     2.82211264e-07   6.00208920e+00   6.00000000e+00   6.00020000e+00   7.25219804e+00   7.25010884e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
122     2.83405657e-07   6.00242645e+00   6.00000000e+00   6.00020000e+00   7.24980594e+00   7.24737949e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
123     2.84394128e-07   6.00273279e+00   6.00000000e+00   6.00020000e+00   7.24813556e+00   7.24540277e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
124     2.85283752e-07   6.00302262e+00   6.00000000e+00   6.00020000e+00   7.24679360e+00   7.24377097e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
125     2.86173375e-07   6.00332622e+00   6.00000000e+00   6.00020000e+00   7.24560533e+00   7.24227911e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
126     2.87062999e-07   6.00364321e+00   6.00000000e+00   6.00020000e+00   7.24456112e+00   7.24091791e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
127     2.88842247e-07   6.00430728e+00   6.00000000e+00   6.00020000e+00   7.24277305e+00   7.23846577e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
128     2.90292377e-07   6.00489830e+00   6.00000000e+00   6.00020000e+00   7.24176217e+00   7.23686387e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
129     2.91742507e-07   6.00551989e+00   6.00000000e+00   6.00020000e+00   7.24095868e+00   7.23543879e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
130     2.93192637e-07   6.00617062e+00   6.00000000e+00   6.00020000e+00   7.24030735e+00   7.23413673e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
131     2.96092897e-07   6.00753591e+00   6.00000000e+00   6.00020000e+00   7.23920928e+00   7.23167337e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
132     2.98993157e-07   6.00904475e+00   6.00000000e+00   6.00020000e+00   7.23825960e+00   7.22921485e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
133     3.01666483e-07   6.01051193e+00   6.00000000e+00   6.00020000e+00   7.23724715e+00   7.22673522e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
134     3.04339809e-07   6.01205010e+00   6.00000000e+00   6.00020000e+00   7.23605250e+00   7.22400240e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
135     3.07013136e-07   6.01365436e+00   6.00000000e+00   6.00020000e+00   7.23467941e+00   7.22102504e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
136     3.12359788e-07   6.01700344e+00   6.00000000e+00   6.00020000e+00   7.23163717e+00   7.21463373e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
137     3.16248775e-07   6.01962357e+00   6.00000000e+00   6.00020000e+00   7.22920045e+00   7.20957688e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
138     3.20137762e-07   6.02234131e+00   6.00000000e+00   6.00020000e+00   7.22684646e+00   7.20450515e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
139     3.27915736e-07   6.02808609e+00   6.00000000e+00   6.00020000e+00   7.22281905e+00   7.19473295e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
140     3.34915913e-07   6.03345413e+00   6.00000000e+00   6.00020000e+00   7.21973459e+00   7.18628047e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
141     3.41916089e-07   6.03897355e+00   6.00000000e+00   6.00020000e+00   7.21709109e+00   7.17811753e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
142     3.48916266e-07   6.04460408e+00   6.00000000e+00   6.00020000e+00   7.21479377e+00   7.17018969e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
143     3.62916619e-07   6.05606433e+00   6.00000000e+00   6.00020000e+00   7.21122450e+00   7.15516017e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
144     3.90917326e-07   6.07860579e+00   6.00000000e+00   6.00020000e+00   7.20707002e+00   7.12846423e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
145     4.18918033e-07   6.10009500e+00   6.00000000e+00   6.00020000e+00   7.20512329e+00   7.10502830e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
146     4.74919446e-07   6.13716553e+00   6.00000000e+00   6.00020000e+00   7.20613156e+00   7.06896603e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
147     5.30920859e-07   6.16825025e+00   6.00000000e+00   6.00020000e+00   7.20965869e+00   7.04140845e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
148     5.86922272e-07   6.19391066e+00   6.00000000e+00   6.00020000e+00   7.21429321e+00   7.02038255e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
149     6.53922272e-07   6.22019820e+00   6.00000000e+00   6.00020000e+00   7.22019743e+00   6.99999924e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
150     6.70000000e-07   6.22554698e+00   6.00000000e+00   6.00020000e+00   7.22166183e+00   6.99611484e+00   6.00000000e+00   6.00010000e+00   5.99990000e+00   
151     6.70050000e-07   6.22556369e+00   6.02500000e+00   6.00020000e+00   7.22161917e+00   6.99605548e+00   6.02500000e+00   6.00010000e+00   5.99990000e+00   
152     6.70075000e-07   6.22557205e+00   6.03750000e+00   6.00020000e+00   7.22159790e+00   6.99602586e+00   6.03750000e+00   6.00010000e+00   5.99990000e+00   
153     6.70097500e-07   6.22557957e+00   6.04875000e+00   6.00020000e+00   7.22157901e+00   6.99599945e+00   6.04875000e+00   6.00010000e+00   5.99990000e+00   
154     6.70142500e-07   6.22559462e+00   6.07125000e+00   6.00020000e+00   7.22154225e+00   6.99594763e+00   6.07125000e+00   6.00010000e+00   5.99990000e+00   
155     6.70232500e-07   6.22562474e+00   6.11625000e+00   6.00020000e+00   7.22147274e+00   6.99584800e+00   6.11625000e+00   6.00010000e+00   5.99990000e+00   
156     6.70412500e-07   6.22568509e+00   6.20625000e+00   6.00020000e+00   7.22134976e+00   6.99566468e+00   6.20625000e+00   6.00010000e+00   5.99990000e+00   
157     6.70772500e-07   6.22580616e+00   6.38625000e+00   6.00020000e+00   7.22116704e+00   6.99536089e+00   6.38625000e+00   6.00010000e+00   5.99990000e+00   
158     6.71132500e-07   6.22592760e+00   6.56625000e+00   6.00020000e+00   7.22104670e+00   6.99511910e+00   6.56625000e+00   6.00010000e+00   5.99990000e+00   
159     6.71492500e-07   6.22604941e+00   6.74625000e+00   6.00020000e+00   7.22098785e+00   6.99493844e+00   6.74625000e+00   6.00010000e+00   5.99990000e+00   
160     6.72212500e-07   6.22629384e+00   7.10625000e+00   6.00020000e+00   7.22101081e+00   6.99471698e+00   7.10625000e+00   6.00010000e+00   5.99990000e+00   
161     6.72932500e-07   6.22654017e+00   7.46625000e+00   6.00020000e+00   7.22136644e+00   6.99482627e+00   7.46625000e+00   6.00010000e+00   5.99990000e+00   
162     6.73580500e-07   6.22676287e+00   7.79025000e+00   6.00020000e+00   7.22186841e+00   6.99510553e+00   7.79025000e+00   6.00010000e+00   5.99990000e+00   
163     6.74228500e-07   6.22684599e+00   8.11425000e+00   6.00020000e+00   7.22254605e+00   6.99570005e+00   8.11425000e+00   6.00010000e+00   5.99990000e+00   
