Index        TIME          {V(2)+1.0}       {V(5)+1.0}       {V(7)+1.0}       {V(10)+1.0}      {V(11)+1.0}      {V(12)+1.0}      {V(13)+1.0}
23      1.36821925e-09   1.00000000e+00   1.36821925e+00   6.20626228e+00   6.00000000e+00   6.06712866e+00   6.21534684e+00   1.00518613e+00   
24      1.45092747e-09   1.00000000e+00   1.45092747e+00   6.25113860e+00   6.00000000e+00   6.07853951e+00   6.25834670e+00   1.01572022e+00   
25      1.52536486e-09   1.00000000e+00   1.52536486e+00   6.29081908e+00   6.00000000e+00   6.08797329e+00   6.29554457e+00   1.02886124e+00   
26      1.59980225e-09   1.00000000e+00   1.59980225e+00   6.32973780e+00   6.00000000e+00   6.09670038e+00   6.33137700e+00   1.04477898e+00   
27      1.67423964e-09   1.00000000e+00   1.67423964e+00   6.36780231e+00   6.00000000e+00   6.10479794e+00   6.36587973e+00   1.06299356e+00   
28      1.74867704e-09   1.00000000e+00   1.74867704e+00   6.40489412e+00   6.00000000e+00   6.11232080e+00   6.39905626e+00   1.08311696e+00   
29      1.82311443e-09   1.00000000e+00   1.82311443e+00   6.44085747e+00   6.00000000e+00   6.11932390e+00   6.43087536e+00   1.10440729e+00   
30      1.89755182e-09   1.00000000e+00   1.89755182e+00   6.47536087e+00   6.00000000e+00   6.12584215e+00   6.46120598e+00   1.12699166e+00   
31      1.97198921e-09   1.00000000e+00   1.97198921e+00   6.50758583e+00   6.00000000e+00   6.13190805e+00   6.48964830e+00   1.15107943e+00   
32      2.04642660e-09   1.00000000e+00   2.04642660e+00   6.53590481e+00   6.00000000e+00   6.13752705e+00   6.51536736e+00   1.17593943e+00   
33      2.12086400e-09   1.00000000e+00   2.12086400e+00   6.55807754e+00   6.00000000e+00   6.14269020e+00   6.53707592e+00   1.20112832e+00   
34      2.18785765e-09   1.00000000e+00   2.18785765e+00   6.57154319e+00   6.00000000e+00   6.14691403e+00   6.55213479e+00   1.22388894e+00   
35      2.24815194e-09   1.00000000e+00   2.24815194e+00   6.57876081e+00   6.00000000e+00   6.15034711e+00   6.56173320e+00   1.24434665e+00   
36      2.30844623e-09   1.00000000e+00   2.30844623e+00   6.58267535e+00   6.00000000e+00   6.15340700e+00   6.56800709e+00   1.26471046e+00   
37      2.36874051e-09   1.00000000e+00   2.36874051e+00   6.58462625e+00   6.00000000e+00   6.15609326e+00   6.57179967e+00   1.28492462e+00   
38      2.42903480e-09   1.00000000e+00   2.42903480e+00   6.58554605e+00   6.00000000e+00   6.15841377e+00   6.57398452e+00   1.30494078e+00   
39      2.54962338e-09   1.00000000e+00   2.54962338e+00   6.58617203e+00   6.00000000e+00   6.16208078e+00   6.57605042e+00   1.34418833e+00   
40      2.67021195e-09   1.00000000e+00   2.67021195e+00   6.58616856e+00   6.00000000e+00   6.16462354e+00   6.57676838e+00   1.38216020e+00   
41      2.79080053e-09   1.00000000e+00   2.79080053e+00   6.58602558e+00   6.00000000e+00   6.16627338e+00   6.57717491e+00   1.41858850e+00   
42      2.91138910e-09   1.00000000e+00   2.91138910e+00   6.58581373e+00   6.00000000e+00   6.16721733e+00   6.57750831e+00   1.45325063e+00   
43      3.03197768e-09   1.00000000e+00   3.03197768e+00   6.58553640e+00   6.00000000e+00   6.16760528e+00   6.57782177e+00   1.48596835e+00   
44      3.15256625e-09   1.00000000e+00   3.15256625e+00   6.58518452e+00   6.00000000e+00   6.16754399e+00   6.57813005e+00   1.51661238e+00   
45      3.27315483e-09   1.00000000e+00   3.27315483e+00   6.58474509e+00   6.00000000e+00   6.16711759e+00   6.57843975e+00   1.54510336e+00   
46      3.39374340e-09   1.00000000e+00   3.39374340e+00   6.58420342e+00   6.00000000e+00   6.16638125e+00   6.57875551e+00   1.57141518e+00   
47      3.51433198e-09   1.00000000e+00   3.51433198e+00   6.58354283e+00   6.00000000e+00   6.16537796e+00   6.57908140e+00   1.59557350e+00   
48      3.63492056e-09   1.00000000e+00   3.63492056e+00   6.58274531e+00   6.00000000e+00   6.16412964e+00   6.57942141e+00   1.61765557e+00   
49      3.75550913e-09   1.00000000e+00   3.75550913e+00   6.58179073e+00   6.00000000e+00   6.16265087e+00   6.57977976e+00   1.63778495e+00   
50      3.87609771e-09   1.00000000e+00   3.87609771e+00   6.58065726e+00   6.00000000e+00   6.16093802e+00   6.58016122e+00   1.65612731e+00   
51      3.99668628e-09   1.00000000e+00   3.99668628e+00   6.57932031e+00   6.00000000e+00   6.15898028e+00   6.58057142e+00   1.67288160e+00   
52      4.11727486e-09   1.00000000e+00   4.11727486e+00   6.57775198e+00   6.00000000e+00   6.15655776e+00   6.58115048e+00   1.68827285e+00   
53      4.23786343e-09   1.00000000e+00   4.23786343e+00   6.57591775e+00   6.00000000e+00   6.15344501e+00   6.58194685e+00   1.70254134e+00   
54      4.35845201e-09   1.00000000e+00   4.35845201e+00   6.57377401e+00   6.00000000e+00   6.14961326e+00   6.58283559e+00   1.71593446e+00   
55      4.59962916e-09   1.00000000e+00   4.59962916e+00   6.56831536e+00   6.00000000e+00   6.13946121e+00   6.58479955e+00   1.74115681e+00   
56      4.84080631e-09   1.00000000e+00   4.84080631e+00   6.56076694e+00   6.00000000e+00   6.12398833e+00   6.58712046e+00   1.76557618e+00   
57      4.87428683e-09   1.00000000e+00   4.87428683e+00   6.55949465e+00   6.00000000e+00   6.12126093e+00   6.58744810e+00   1.76897549e+00   
58      4.94124788e-09   1.00000000e+00   4.94124788e+00   6.55677886e+00   6.00000000e+00   6.11471737e+00   6.58821359e+00   1.77583046e+00   
59      5.07516997e-09   1.00000000e+00   5.07516997e+00   6.55033311e+00   6.00000000e+00   6.09481130e+00   6.58966669e+00   1.78984635e+00   
60      5.19359021e-09   1.00000000e+00   5.19359021e+00   6.54318282e+00   6.00000000e+00   6.07416728e+00   6.59070353e+00   1.80266244e+00   
61      5.31201044e-09   1.00000000e+00   5.31201044e+00   6.53399058e+00   6.00000000e+00   6.05761394e+00   6.59157151e+00   1.81595863e+00   
62      5.41858866e-09   1.00000000e+00   5.41858866e+00   6.52291181e+00   6.00000000e+00   6.04551694e+00   6.59239626e+00   1.82837838e+00   
63      5.52516687e-09   1.00000000e+00   5.52516687e+00   6.50668494e+00   6.00000000e+00   6.03565121e+00   6.59340787e+00   1.84124954e+00   
64      5.54072599e-09   1.00000000e+00   5.54072599e+00   6.50363708e+00   6.00000000e+00   6.03438871e+00   6.59356965e+00   1.84317054e+00   
65      5.57184424e-09   1.00000000e+00   5.57184424e+00   6.49666140e+00   6.00000000e+00   6.03194999e+00   6.59396010e+00   1.84703399e+00   
66      5.60296249e-09   1.00000000e+00   5.60296249e+00   6.48800864e+00   6.00000000e+00   6.02965816e+00   6.59440340e+00   1.85093580e+00   
67      5.63408073e-09   1.00000000e+00   5.63408073e+00   6.47658947e+00   6.00000000e+00   6.02750522e+00   6.59491121e+00   1.85487505e+00   
68      5.65532079e-09   1.00000000e+00   5.65532079e+00   6.46622964e+00   6.00000000e+00   6.02614162e+00   6.59524703e+00   1.85759062e+00   
69      5.66464890e-09   1.00000000e+00   5.66464890e+00   6.45862588e+00   6.00000000e+00   6.02553549e+00   6.59538309e+00   1.85878639e+00   
70      5.67304420e-09   1.00000000e+00   5.67304420e+00   6.44906410e+00   6.00000000e+00   6.02500238e+00   6.59536483e+00   1.85986447e+00   
71      5.67996872e-09   1.00000000e+00   5.67996872e+00   6.44108979e+00   6.00000000e+00   6.02457023e+00   6.59522159e+00   1.86075497e+00   
72      5.69381774e-09   1.00000000e+00   5.69381774e+00   6.42492099e+00   6.00000000e+00   6.02372068e+00   6.59458568e+00   1.86253886e+00   
73      5.72151579e-09   1.00000000e+00   5.72151579e+00   6.39150560e+00   6.00000000e+00   6.02210757e+00   6.59213236e+00   1.86612144e+00   
74      5.74921384e-09   1.00000000e+00   5.74921384e+00   6.35644542e+00   6.00000000e+00   6.02060342e+00   6.58819406e+00   1.86976081e+00   
75      5.77691188e-09   1.00000000e+00   5.77691188e+00   6.31961427e+00   6.00000000e+00   6.01920097e+00   6.58276742e+00   1.87352351e+00   
76      5.80460993e-09   1.00000000e+00   5.80460993e+00   6.28097005e+00   6.00000000e+00   6.01789342e+00   6.57555684e+00   1.87743551e+00   
77      5.83230798e-09   1.00000000e+00   5.83230798e+00   6.24048495e+00   6.00000000e+00   6.01667444e+00   6.56575214e+00   1.88148999e+00   
78      5.86000603e-09   1.00000000e+00   5.86000603e+00   6.19814256e+00   6.00000000e+00   6.01553808e+00   6.55434367e+00   1.88568037e+00   
79      5.88770408e-09   1.00000000e+00   5.88770408e+00   6.15392743e+00   6.00000000e+00   6.01447881e+00   6.54453608e+00   1.89000027e+00   
80      5.91540212e-09   1.00000000e+00   5.91540212e+00   6.10783004e+00   6.00000000e+00   6.01349144e+00   6.53689005e+00   1.89444352e+00   
81      5.94310017e-09   1.00000000e+00   5.94310017e+00   6.05984000e+00   6.00000000e+00   6.01257113e+00   6.53061356e+00   1.89900418e+00   
82      5.97079822e-09   1.00000000e+00   5.97079822e+00   6.00995185e+00   6.00000000e+00   6.01171337e+00   6.52528616e+00   1.90367649e+00   
83      5.99849627e-09   1.00000000e+00   5.99849627e+00   5.95815925e+00   6.00000000e+00   6.01091393e+00   6.52065651e+00   1.90845490e+00   
84      6.00000000e-09   1.00000000e+00   6.00000000e+00   5.95529317e+00   6.00000000e+00   6.01087214e+00   6.52042227e+00   1.90871727e+00   
85      6.00142644e-09   1.00000000e+00   6.00000000e+00   5.95256843e+00   6.00000000e+00   6.01083271e+00   6.52020218e+00   1.90827891e+00   
86      6.00266754e-09   1.00000000e+00   6.00000000e+00   5.95019436e+00   6.00000000e+00   6.01079852e+00   6.52001171e+00   1.90789781e+00   
87      6.00514973e-09   1.00000000e+00   6.00000000e+00   5.94543732e+00   6.00000000e+00   6.01073034e+00   6.51963275e+00   1.90713752e+00   
88      6.01011412e-09   1.00000000e+00   6.00000000e+00   5.93588317e+00   6.00000000e+00   6.01059527e+00   6.51888665e+00   1.90562927e+00   
89      6.02004289e-09   1.00000000e+00   6.00000000e+00   5.91661659e+00   6.00000000e+00   6.01033018e+00   6.51743940e+00   1.90266166e+00   
90      6.03990043e-09   1.00000000e+00   6.00000000e+00   5.87745700e+00   6.00000000e+00   6.00981960e+00   6.51470806e+00   1.89691623e+00   
91      6.07961552e-09   1.00000000e+00   6.00000000e+00   5.79669596e+00   6.00000000e+00   6.00887211e+00   6.50979196e+00   1.88614264e+00   
92      6.11933061e-09   1.00000000e+00   6.00000000e+00   5.71278927e+00   6.00000000e+00   6.00801581e+00   6.50547512e+00   1.87626061e+00   
93      6.15904570e-09   1.00000000e+00   6.00000000e+00   5.62588426e+00   6.00000000e+00   6.00724197e+00   6.50162655e+00   1.86719014e+00   
94      6.19876079e-09   1.00000000e+00   6.00000000e+00   5.53613194e+00   6.00000000e+00   6.00654268e+00   6.49815417e+00   1.85885785e+00   
95      6.23847588e-09   1.00000000e+00   6.00000000e+00   5.44368654e+00   6.00000000e+00   6.00591079e+00   6.49499070e+00   1.85119680e+00   
96      6.27819097e-09   1.00000000e+00   6.00000000e+00   5.34870359e+00   6.00000000e+00   6.00533983e+00   6.49208549e+00   1.84414574e+00   
97      6.31790606e-09   1.00000000e+00   6.00000000e+00   5.25133974e+00   6.00000000e+00   6.00482394e+00   6.48939943e+00   1.83764887e+00   
98      6.35762114e-09   1.00000000e+00   6.00000000e+00   5.15175126e+00   6.00000000e+00   6.00435782e+00   6.48690169e+00   1.83165523e+00   
99      6.39733623e-09   1.00000000e+00   6.00000000e+00   5.05009403e+00   6.00000000e+00   6.00393669e+00   6.48456752e+00   1.82611848e+00   
100     6.43705132e-09   1.00000000e+00   6.00000000e+00   4.94652242e+00   6.00000000e+00   6.00355621e+00   6.48237678e+00   1.82099632e+00   
101     6.47676641e-09   1.00000000e+00   6.00000000e+00   4.84118943e+00   6.00000000e+00   6.00321247e+00   6.48031282e+00   1.81625037e+00   
102     6.51648150e-09   1.00000000e+00   6.00000000e+00   4.73424580e+00   6.00000000e+00   6.00290192e+00   6.47836174e+00   1.81184564e+00   
103     6.55619659e-09   1.00000000e+00   6.00000000e+00   4.62584032e+00   6.00000000e+00   6.00262137e+00   6.47651181e+00   1.80775040e+00   
104     6.59591168e-09   1.00000000e+00   6.00000000e+00   4.51611916e+00   6.00000000e+00   6.00236792e+00   6.47475304e+00   1.80393574e+00   
105     6.63562677e-09   1.00000000e+00   6.00000000e+00   4.40522622e+00   6.00000000e+00   6.00213897e+00   6.47307685e+00   1.80037553e+00   
106     6.71505694e-09   1.00000000e+00   6.00000000e+00   4.18050108e+00   6.00000000e+00   6.00174437e+00   6.46994044e+00   1.79391625e+00   
107     6.79448712e-09   1.00000000e+00   6.00000000e+00   3.95274588e+00   6.00000000e+00   6.00142253e+00   6.46705778e+00   1.78822012e+00   
108     6.87391730e-09   1.00000000e+00   6.00000000e+00   3.72302161e+00   6.00000000e+00   6.00116005e+00   6.46439075e+00   1.78315087e+00   
109     6.91544354e-09   1.00000000e+00   6.00000000e+00   3.60246172e+00   6.00000000e+00   6.00104861e+00   6.46309719e+00   1.78077473e+00   
110     6.95696979e-09   1.00000000e+00   6.00000000e+00   3.48598566e+00   6.00000000e+00   6.00094279e+00   6.46182523e+00   1.77841886e+00   
111     6.99434341e-09   1.00000000e+00   6.00000000e+00   3.38829857e+00   6.00000000e+00   6.00085673e+00   6.46071797e+00   1.77622445e+00   
112     7.02797967e-09   1.00000000e+00   6.00000000e+00   3.30581100e+00   6.00000000e+00   6.00078602e+00   6.45974997e+00   1.77403217e+00   
113     7.06161592e-09   1.00000000e+00   6.00000000e+00   3.22758572e+00   6.00000000e+00   6.00072114e+00   6.45880749e+00   1.77152794e+00   
114     7.09525218e-09   1.00000000e+00   6.00000000e+00   3.15306777e+00   6.00000000e+00   6.00066162e+00   6.45788922e+00   1.76863689e+00   
115     7.12888844e-09   1.00000000e+00   6.00000000e+00   3.08186597e+00   6.00000000e+00   6.00060701e+00   6.45699394e+00   1.76530349e+00   
116     7.16252470e-09   1.00000000e+00   6.00000000e+00   3.01368658e+00   6.00000000e+00   6.00055690e+00   6.45612054e+00   1.76148809e+00   
117     7.19616096e-09   1.00000000e+00   6.00000000e+00   2.94830459e+00   6.00000000e+00   6.00051093e+00   6.45526795e+00   1.75716444e+00   
118     7.22979721e-09   1.00000000e+00   6.00000000e+00   2.88553423e+00   6.00000000e+00   6.00046876e+00   6.45443523e+00   1.75231767e+00   
119     7.26343347e-09   1.00000000e+00   6.00000000e+00   2.82522483e+00   6.00000000e+00   6.00043006e+00   6.45362145e+00   1.74694258e+00   
120     7.29706973e-09   1.00000000e+00   6.00000000e+00   2.76724152e+00   6.00000000e+00   6.00039456e+00   6.45282577e+00   1.74104218e+00   
121     7.33070599e-09   1.00000000e+00   6.00000000e+00   2.71147082e+00   6.00000000e+00   6.00036199e+00   6.45204742e+00   1.73462644e+00   
122     7.36434225e-09   1.00000000e+00   6.00000000e+00   2.65780436e+00   6.00000000e+00   6.00033211e+00   6.45128564e+00   1.72771112e+00   
123     7.39797850e-09   1.00000000e+00   6.00000000e+00   2.60614911e+00   6.00000000e+00   6.00030470e+00   6.45053975e+00   1.72031674e+00   
124     7.43161476e-09   1.00000000e+00   6.00000000e+00   2.55641196e+00   6.00000000e+00   6.00027954e+00   6.44980909e+00   1.71246765e+00   
125     7.46525102e-09   1.00000000e+00   6.00000000e+00   2.50851244e+00   6.00000000e+00   6.00025647e+00   6.44909306e+00   1.70419121e+00   
126     7.49888728e-09   1.00000000e+00   6.00000000e+00   2.46236734e+00   6.00000000e+00   6.00023530e+00   6.44839108e+00   1.69551705e+00   
127     7.53252354e-09   1.00000000e+00   6.00000000e+00   2.41790491e+00   6.00000000e+00   6.00021587e+00   6.44770261e+00   1.68647637e+00   
128     7.56615979e-09   1.00000000e+00   6.00000000e+00   2.37504923e+00   6.00000000e+00   6.00019805e+00   6.44702713e+00   1.67710140e+00   
129     7.59979605e-09   1.00000000e+00   6.00000000e+00   2.33373538e+00   6.00000000e+00   6.00018170e+00   6.44636418e+00   1.66742487e+00   
130     7.63343231e-09   1.00000000e+00   6.00000000e+00   2.29389349e+00   6.00000000e+00   6.00016670e+00   6.44571328e+00   1.65747957e+00   
131     7.66706857e-09   1.00000000e+00   6.00000000e+00   2.25546453e+00   6.00000000e+00   6.00015294e+00   6.44507402e+00   1.64729798e+00   
132     7.70070482e-09   1.00000000e+00   6.00000000e+00   2.21838404e+00   6.00000000e+00   6.00014031e+00   6.44444597e+00   1.63691193e+00   
133     7.73434108e-09   1.00000000e+00   6.00000000e+00   2.18259836e+00   6.00000000e+00   6.00012873e+00   6.44382876e+00   1.62635238e+00   
134     7.76797734e-09   1.00000000e+00   6.00000000e+00   2.14804811e+00   6.00000000e+00   6.00011810e+00   6.44322201e+00   1.61564917e+00   
135     7.80161360e-09   1.00000000e+00   6.00000000e+00   2.11468463e+00   6.00000000e+00   6.00010835e+00   6.44262538e+00   1.60483087e+00   
136     7.83524986e-09   1.00000000e+00   6.00000000e+00   2.08245335e+00   6.00000000e+00   6.00009941e+00   6.44203853e+00   1.59392467e+00   
137     7.86888611e-09   1.00000000e+00   6.00000000e+00   2.05131037e+00   6.00000000e+00   6.00009120e+00   6.44146115e+00   1.58295626e+00   
138     7.93615863e-09   1.00000000e+00   6.00000000e+00   1.99208444e+00   6.00000000e+00   6.00007674e+00   6.44033346e+00   1.56093716e+00   
139     8.00343115e-09   1.00000000e+00   6.00000000e+00   1.93668740e+00   6.00000000e+00   6.00006457e+00   6.43924023e+00   1.53893479e+00   
140     8.07070366e-09   1.00000000e+00   6.00000000e+00   1.88480563e+00   6.00000000e+00   6.00005433e+00   6.43817940e+00   1.51709921e+00   
141     8.13797618e-09   1.00000000e+00   6.00000000e+00   1.83616436e+00   6.00000000e+00   6.00004572e+00   6.43714911e+00   1.49555629e+00   
142     8.20524869e-09   1.00000000e+00   6.00000000e+00   1.79050745e+00   6.00000000e+00   6.00003847e+00   6.43614766e+00   1.47440947e+00   
143     8.27252121e-09   1.00000000e+00   6.00000000e+00   1.74761257e+00   6.00000000e+00   6.00003237e+00   6.43517346e+00   1.45374177e+00   
144     8.33979373e-09   1.00000000e+00   6.00000000e+00   1.70727068e+00   6.00000000e+00   6.00002724e+00   6.43422508e+00   1.43361811e+00   
145     8.40706624e-09   1.00000000e+00   6.00000000e+00   1.66930170e+00   6.00000000e+00   6.00002292e+00   6.43330117e+00   1.41408759e+00   
146     8.47433876e-09   1.00000000e+00   6.00000000e+00   1.63353403e+00   6.00000000e+00   6.00001928e+00   6.43240051e+00   1.39518570e+00   
147     8.54161127e-09   1.00000000e+00   6.00000000e+00   1.59982093e+00   6.00000000e+00   6.00001623e+00   6.43152195e+00   1.37693639e+00   
148     8.60888379e-09   1.00000000e+00   6.00000000e+00   1.56802010e+00   6.00000000e+00   6.00001365e+00   6.43066444e+00   1.35935392e+00   
149     8.67615630e-09   1.00000000e+00   6.00000000e+00   1.53801076e+00   6.00000000e+00   6.00001149e+00   6.42982698e+00   1.34244453e+00   
150     8.74342882e-09   1.00000000e+00   6.00000000e+00   1.50967347e+00   6.00000000e+00   6.00000967e+00   6.42900866e+00   1.32620790e+00   
151     8.81070134e-09   1.00000000e+00   6.00000000e+00   1.48290771e+00   6.00000000e+00   6.00000813e+00   6.42820862e+00   1.31063844e+00   
152     8.87797385e-09   1.00000000e+00   6.00000000e+00   1.45761187e+00   6.00000000e+00   6.00000684e+00   6.42742606e+00   1.29572629e+00   
153     8.94524637e-09   1.00000000e+00   6.00000000e+00   1.43370136e+00   6.00000000e+00   6.00000576e+00   6.42666024e+00   1.28145834e+00   
154     9.01251888e-09   1.00000000e+00   6.00000000e+00   1.41108871e+00   6.00000000e+00   6.00000485e+00   6.42591046e+00   1.26781890e+00   
155     9.07979140e-09   1.00000000e+00   6.00000000e+00   1.38970199e+00   6.00000000e+00   6.00000408e+00   6.42517604e+00   1.25479039e+00   
156     9.14706392e-09   1.00000000e+00   6.00000000e+00   1.36946510e+00   6.00000000e+00   6.00000343e+00   6.42445639e+00   1.24235385e+00   
157     9.21433643e-09   1.00000000e+00   6.00000000e+00   1.35031638e+00   6.00000000e+00   6.00000289e+00   6.42375090e+00   1.23048941e+00   
158     9.28160895e-09   1.00000000e+00   6.00000000e+00   1.33218902e+00   6.00000000e+00   6.00000243e+00   6.42305905e+00   1.21917656e+00   
159     9.34888146e-09   1.00000000e+00   6.00000000e+00   1.31502981e+00   6.00000000e+00   6.00000204e+00   6.42238030e+00   1.20839455e+00   
160     9.48342650e-09   1.00000000e+00   6.00000000e+00   1.28337223e+00   6.00000000e+00   6.00000144e+00   6.42105997e+00   1.18833138e+00   
161     9.61797153e-09   1.00000000e+00   6.00000000e+00   1.25497613e+00   6.00000000e+00   6.00000102e+00   6.41978658e+00   1.17014393e+00   
162     9.75251656e-09   1.00000000e+00   6.00000000e+00   1.22948672e+00   6.00000000e+00   6.00000072e+00   6.41855692e+00   1.15367418e+00   
163     9.88706159e-09   1.00000000e+00   6.00000000e+00   1.20659952e+00   6.00000000e+00   6.00000051e+00   6.41736807e+00   1.13877193e+00   
164     1.00216066e-08   1.00000000e+00   6.00000000e+00   1.18603543e+00   6.00000000e+00   6.00000036e+00   6.41621741e+00   1.12529636e+00   
165     1.01561517e-08   1.00000000e+00   6.00000000e+00   1.16757959e+00   6.00000000e+00   6.00000025e+00   6.41510255e+00   1.11310343e+00   
166     1.02906967e-08   1.00000000e+00   6.00000000e+00   1.15102086e+00   6.00000000e+00   6.00000018e+00   6.41402134e+00   1.10206900e+00   
167     1.04252417e-08   1.00000000e+00   6.00000000e+00   1.13614801e+00   6.00000000e+00   6.00000013e+00   6.41297179e+00   1.09209819e+00   
168     1.05597867e-08   1.00000000e+00   6.00000000e+00   1.12276956e+00   6.00000000e+00   6.00000009e+00   6.41195211e+00   1.08309804e+00   
169     1.06943318e-08   1.00000000e+00   6.00000000e+00   1.11073049e+00   6.00000000e+00   6.00000006e+00   6.41096064e+00   1.07497863e+00   
170     1.08288768e-08   1.00000000e+00   6.00000000e+00   1.09988633e+00   6.00000000e+00   6.00000004e+00   6.40999586e+00   1.06765577e+00   
171     1.09634218e-08   1.00000000e+00   6.00000000e+00   1.09011905e+00   6.00000000e+00   6.00000003e+00   6.40905637e+00   1.06105196e+00   
172     1.10979669e-08   1.00000000e+00   6.00000000e+00   1.08131448e+00   6.00000000e+00   6.00000002e+00   6.40814087e+00   1.05509662e+00   
173     1.13670569e-08   1.00000000e+00   6.00000000e+00   1.06619048e+00   6.00000000e+00   6.00000001e+00   6.40637660e+00   1.04485815e+00   
174     1.16361470e-08   1.00000000e+00   6.00000000e+00   1.05389622e+00   6.00000000e+00   6.00000001e+00   6.40469514e+00   1.03653207e+00   
175     1.19052371e-08   1.00000000e+00   6.00000000e+00   1.04390008e+00   6.00000000e+00   6.00000000e+00   6.40308904e+00   1.02975857e+00   
176     1.21743271e-08   1.00000000e+00   6.00000000e+00   1.03576431e+00   6.00000000e+00   6.00000000e+00   6.40155184e+00   1.02424600e+00   
177     1.24434172e-08   1.00000000e+00   6.00000000e+00   1.02914410e+00   6.00000000e+00   6.00000000e+00   6.40007784e+00   1.01975810e+00   
178     1.27125073e-08   1.00000000e+00   6.00000000e+00   1.02375117e+00   6.00000000e+00   6.00000000e+00   6.39866206e+00   1.01610331e+00   
179     1.29815973e-08   1.00000000e+00   6.00000000e+00   1.01936090e+00   6.00000000e+00   6.00000000e+00   6.39730007e+00   1.01312622e+00   
180     1.35197774e-08   1.00000000e+00   6.00000000e+00   1.01281108e+00   6.00000000e+00   6.00000000e+00   6.39472034e+00   1.00868644e+00   
181     1.45961377e-08   1.00000000e+00   6.00000000e+00   1.00540580e+00   6.00000000e+00   6.00000000e+00   6.39004916e+00   1.00366446e+00   
182     1.56724980e-08   1.00000000e+00   6.00000000e+00   1.00228244e+00   6.00000000e+00   6.00000000e+00   6.38591901e+00   1.00154744e+00   
183     1.67488582e-08   1.00000000e+00   6.00000000e+00   1.00096663e+00   6.00000000e+00   6.00000000e+00   6.38221700e+00   1.00065430e+00   
