Index        TIME          {V(11)+2.0}      {V(12)+2.0}      {V(3)+2.0}       {V(4)+2.0}       {V(5)+2.0}
22      1.00130558e-08   7.00000000e+00   2.65278834e+00   1.99999998e+00   6.99994636e+00   6.99999388e+00   
23      1.00130854e-08   7.00000000e+00   2.65426816e+00   1.99999994e+00   6.99994587e+00   6.99999388e+00   
24      1.00131007e-08   7.00000000e+00   2.65503579e+00   1.99999992e+00   6.99994562e+00   6.99999388e+00   
25      1.00131314e-08   7.00000000e+00   2.65657107e+00   1.99999988e+00   6.99994510e+00   6.99999388e+00   
26      1.00131353e-08   7.00000000e+00   2.65676297e+00   1.99999988e+00   6.99994504e+00   6.99999388e+00   
27      1.00131377e-08   7.00000000e+00   2.65688360e+00   1.99999987e+00   6.99994500e+00   6.99999388e+00   
28      1.00131393e-08   7.00000000e+00   2.65696537e+00   1.99999987e+00   6.99994497e+00   6.99999388e+00   
29      1.00131409e-08   7.00000000e+00   2.65704714e+00   1.99999987e+00   6.99994495e+00   6.99999388e+00   
30      1.00131424e-08   7.00000000e+00   2.65712074e+00   1.99999987e+00   6.99994492e+00   6.99999388e+00   
31      1.00131454e-08   7.00000000e+00   2.65726792e+00   1.99999986e+00   6.99994488e+00   6.99999388e+00   
32      1.00131483e-08   7.00000000e+00   2.65741511e+00   1.99999986e+00   6.99994483e+00   6.99999388e+00   
33      1.00131542e-08   7.00000000e+00   2.65770948e+00   1.99999985e+00   6.99994473e+00   6.99999388e+00   
34      1.00131601e-08   7.00000000e+00   2.65800386e+00   1.99999984e+00   6.99994464e+00   6.99999388e+00   
35      1.00131660e-08   7.00000000e+00   2.65829823e+00   1.99999984e+00   6.99994455e+00   6.99999388e+00   
36      1.00131777e-08   7.00000000e+00   2.65888697e+00   1.99999982e+00   6.99994436e+00   6.99999387e+00   
37      1.00131895e-08   7.00000000e+00   2.65947572e+00   1.99999980e+00   6.99994417e+00   6.99999387e+00   
38      1.00132013e-08   7.00000000e+00   2.66006446e+00   1.99999979e+00   6.99994398e+00   6.99999387e+00   
39      1.00132248e-08   7.00000000e+00   2.66124195e+00   1.99999976e+00   6.99994360e+00   6.99999387e+00   
40      1.00132484e-08   7.00000000e+00   2.66241945e+00   1.99999972e+00   6.99994322e+00   6.99999387e+00   
41      1.00132719e-08   7.00000000e+00   2.66359694e+00   1.99999969e+00   6.99994284e+00   6.99999387e+00   
42      1.00133190e-08   7.00000000e+00   2.66595192e+00   1.99999962e+00   6.99994206e+00   6.99999387e+00   
43      1.00133661e-08   7.00000000e+00   2.66830690e+00   1.99999956e+00   6.99994128e+00   6.99999386e+00   
44      1.00134132e-08   7.00000000e+00   2.67066188e+00   1.99999949e+00   6.99994050e+00   6.99999386e+00   
45      1.00135074e-08   7.00000000e+00   2.67537184e+00   1.99999935e+00   6.99993889e+00   6.99999386e+00   
46      1.00136016e-08   7.00000000e+00   2.68008180e+00   1.99999921e+00   6.99993727e+00   6.99999385e+00   
47      1.00136958e-08   7.00000000e+00   2.68479177e+00   1.99999907e+00   6.99993561e+00   6.99999385e+00   
48      1.00138842e-08   7.00000000e+00   2.69421169e+00   1.99999877e+00   6.99993215e+00   6.99999383e+00   
49      1.00140726e-08   7.00000000e+00   2.70363162e+00   1.99999846e+00   6.99992858e+00   6.99999382e+00   
50      1.00142610e-08   7.00000000e+00   2.71305154e+00   1.99999814e+00   6.99992487e+00   6.99999381e+00   
51      1.00146378e-08   7.00000000e+00   2.73189139e+00   1.99999744e+00   6.99991678e+00   6.99999378e+00   
52      1.00150146e-08   7.00000000e+00   2.75073124e+00   1.99999669e+00   6.99990808e+00   6.99999375e+00   
53      1.00153914e-08   7.00000000e+00   2.76957109e+00   1.99999588e+00   6.99989871e+00   6.99999371e+00   
54      1.00161450e-08   7.00000000e+00   2.80725079e+00   1.99999396e+00   6.99987645e+00   6.99999362e+00   
55      1.00168986e-08   7.00000000e+00   2.84493049e+00   1.99999171e+00   6.99985053e+00   6.99999352e+00   
56      1.00176522e-08   7.00000000e+00   2.88261019e+00   1.99998909e+00   6.99982025e+00   6.99999339e+00   
57      1.00191594e-08   7.00000000e+00   2.95796958e+00   1.99998174e+00   6.99973512e+00   6.99999302e+00   
58      1.00204424e-08   7.00000000e+00   3.02212243e+00   1.99997359e+00   6.99964081e+00   6.99999260e+00   
59      1.00217255e-08   7.00000000e+00   3.08627527e+00   1.99996293e+00   6.99951730e+00   6.99999203e+00   
60      1.00230086e-08   7.00000000e+00   3.15042811e+00   1.99994895e+00   6.99935517e+00   6.99999128e+00   
61      1.00255747e-08   7.00000000e+00   3.27873379e+00   1.99990954e+00   6.99889753e+00   6.99998913e+00   
62      1.00278520e-08   7.00000000e+00   3.39259907e+00   1.99985306e+00   6.99823899e+00   6.99998607e+00   
63      1.00288744e-08   7.00000000e+00   3.44371846e+00   1.99981511e+00   6.99779553e+00   6.99998403e+00   
64      1.00295828e-08   7.00000000e+00   3.47913916e+00   1.99978145e+00   6.99738889e+00   6.99998234e+00   
65      1.00302912e-08   7.00000000e+00   3.51455986e+00   1.99973607e+00   6.99683082e+00   6.99998025e+00   
66      1.00309187e-08   7.00000000e+00   3.54593731e+00   1.99968463e+00   6.99620162e+00   6.99997800e+00   
67      1.00315463e-08   7.00000000e+00   3.57731475e+00   1.99961986e+00   6.99541522e+00   6.99997525e+00   
68      1.00321111e-08   7.00000000e+00   3.60555445e+00   1.99954907e+00   6.99456127e+00   6.99997228e+00   
69      1.00326759e-08   7.00000000e+00   3.63379415e+00   1.99946411e+00   6.99354303e+00   6.99996873e+00   
70      1.00332407e-08   7.00000000e+00   3.66203385e+00   1.99936325e+00   6.99234149e+00   6.99996451e+00   
71      1.00343703e-08   7.00000000e+00   3.71851325e+00   1.99911773e+00   6.98943109e+00   6.99995413e+00   
72      1.00354999e-08   7.00000000e+00   3.77499264e+00   1.99879360e+00   6.98562156e+00   6.99994010e+00   
73      1.00366294e-08   7.00000000e+00   3.83147204e+00   1.99837481e+00   6.98073681e+00   6.99992134e+00   
74      1.00377590e-08   7.00000000e+00   3.88795144e+00   1.99784635e+00   6.97461211e+00   6.99989670e+00   
75      1.00385121e-08   7.00000000e+00   3.92560437e+00   1.99742683e+00   6.96976966e+00   6.99987642e+00   
76      1.00392651e-08   7.00000000e+00   3.96325730e+00   1.99694912e+00   6.96427044e+00   6.99985263e+00   
77      1.00400182e-08   7.00000000e+00   4.00091024e+00   1.99640946e+00   6.95807219e+00   6.99982500e+00   
78      1.00407713e-08   7.00000000e+00   4.03856317e+00   1.99580290e+00   6.95111816e+00   6.99979288e+00   
79      1.00415243e-08   7.00000000e+00   4.07621610e+00   1.99512572e+00   6.94336673e+00   6.99975595e+00   
80      1.00422774e-08   7.00000000e+00   4.11386903e+00   1.99437382e+00   6.93477169e+00   6.99971376e+00   
81      1.00430304e-08   7.00000000e+00   4.15152196e+00   1.99354568e+00   6.92530803e+00   6.99966573e+00   
82      1.00437835e-08   7.00000000e+00   4.18917490e+00   1.99263685e+00   6.91492652e+00   6.99961145e+00   
83      1.00445366e-08   7.00000000e+00   4.22682783e+00   1.99164377e+00   6.90358547e+00   6.99955045e+00   
84      1.00452896e-08   7.00000000e+00   4.26448076e+00   1.99056581e+00   6.89126514e+00   6.99948214e+00   
85      1.00460427e-08   7.00000000e+00   4.30213369e+00   1.98939902e+00   6.87792072e+00   6.99940606e+00   
86      1.00467957e-08   7.00000000e+00   4.33978662e+00   1.98814047e+00   6.86351526e+00   6.99932172e+00   
87      1.00483018e-08   7.00000000e+00   4.41509249e+00   1.98534904e+00   6.83146271e+00   6.99912607e+00   
88      1.00498080e-08   7.00000000e+00   4.49039835e+00   1.98217448e+00   6.79485644e+00   6.99889110e+00   
89      1.00513141e-08   7.00000000e+00   4.56570422e+00   1.97860099e+00   6.75345432e+00   6.99861274e+00   
90      1.00526696e-08   7.00000000e+00   4.63347949e+00   1.97504210e+00   6.71194092e+00   6.99832200e+00   
91      1.00540251e-08   7.00000000e+00   4.70125477e+00   1.97114572e+00   6.66621304e+00   6.99799005e+00   
92      1.00553806e-08   7.00000000e+00   4.76903005e+00   1.96690295e+00   6.61610551e+00   6.99761397e+00   
93      1.00567361e-08   7.00000000e+00   4.83680533e+00   1.96233511e+00   6.56160323e+00   6.99719155e+00   
94      1.00580916e-08   7.00000000e+00   4.90458061e+00   1.95742852e+00   6.50251715e+00   6.99671976e+00   
95      1.00594471e-08   7.00000000e+00   4.97235588e+00   1.95218046e+00   6.43871280e+00   6.99619582e+00   
96      1.00608026e-08   7.00000000e+00   5.04013116e+00   1.94661917e+00   6.37018840e+00   6.99561853e+00   
97      1.00621581e-08   7.00000000e+00   5.10790644e+00   1.94073752e+00   6.29679051e+00   6.99498489e+00   
98      1.00635136e-08   7.00000000e+00   5.17568172e+00   1.93453942e+00   6.21841310e+00   6.99429245e+00   
99      1.00648691e-08   7.00000000e+00   5.24345699e+00   1.92806060e+00   6.13505658e+00   6.99354111e+00   
100     1.00662246e-08   7.00000000e+00   5.31123227e+00   1.92130045e+00   6.04659970e+00   6.99272809e+00   
101     1.00675802e-08   7.00000000e+00   5.37900755e+00   1.91426969e+00   5.95295923e+00   6.99185145e+00   
102     1.00689357e-08   7.00000000e+00   5.44678283e+00   1.90701631e+00   5.85414660e+00   6.99091234e+00   
103     1.00702912e-08   7.00000000e+00   5.51455810e+00   1.89954572e+00   5.75006506e+00   6.98990838e+00   
104     1.00716467e-08   7.00000000e+00   5.58233338e+00   1.89187665e+00   5.64065167e+00   6.98883829e+00   
105     1.00736799e-08   7.00000000e+00   5.68399630e+00   1.88012791e+00   5.46649612e+00   6.98711353e+00   
106     1.00757132e-08   7.00000000e+00   5.78565922e+00   1.86818051e+00   5.28015464e+00   6.98524465e+00   
107     1.00777464e-08   7.00000000e+00   5.88732213e+00   1.85618618e+00   5.08151708e+00   6.98323470e+00   
108     1.00797797e-08   7.00000000e+00   5.98898505e+00   1.84431630e+00   4.87049604e+00   6.98108836e+00   
109     1.00803859e-08   7.00000000e+00   6.01929346e+00   1.84083301e+00   4.80533361e+00   6.98042207e+00   
110     1.00809920e-08   7.00000000e+00   6.04960186e+00   1.83737947e+00   4.73909540e+00   6.97974381e+00   
111     1.00815982e-08   7.00000000e+00   6.07991027e+00   1.83395981e+00   4.67178158e+00   6.97905365e+00   
112     1.00828105e-08   7.00000000e+00   6.14052708e+00   1.82733427e+00   4.53392165e+00   6.97764662e+00   
113     1.00840229e-08   7.00000000e+00   6.20114390e+00   1.82099940e+00   4.39175462e+00   6.97620243e+00   
114     1.00852352e-08   7.00000000e+00   6.26176071e+00   1.81501315e+00   4.24528029e+00   6.97472387e+00   
115     1.00857377e-08   7.00000000e+00   6.28688505e+00   1.81269444e+00   4.18426112e+00   6.97409865e+00   
116     1.00862374e-08   7.00000000e+00   6.31187199e+00   1.81088043e+00   4.13336627e+00   6.97347765e+00   
117     1.00866792e-08   7.00000000e+00   6.33395824e+00   1.80963748e+00   4.09460434e+00   6.97293194e+00   
118     1.00875626e-08   7.00000000e+00   6.37813075e+00   1.80791688e+00   4.02963261e+00   6.97185583e+00   
119     1.00882731e-08   7.00000000e+00   6.41365364e+00   1.80698893e+00   3.98551007e+00   6.97100243e+00   
120     1.00896940e-08   7.00000000e+00   6.48469941e+00   1.80603417e+00   3.91459136e+00   6.96934501e+00   
121     1.00907367e-08   7.00000000e+00   6.53683375e+00   1.80576807e+00   3.87126168e+00   6.96815826e+00   
122     1.00928220e-08   7.00000000e+00   6.64110244e+00   1.80597117e+00   3.80129816e+00   6.96589883e+00   
123     1.00944364e-08   7.00000000e+00   6.72181966e+00   1.80650632e+00   3.75592216e+00   6.96421911e+00   
124     1.00976651e-08   7.00000000e+00   6.88325410e+00   1.80810235e+00   3.68020216e+00   6.96110406e+00   
125     1.01000000e-08   7.00000000e+00   7.00000000e+00   1.80953123e+00   3.63300123e+00   6.95897167e+00   
126     1.01023349e-08   7.00000000e+00   7.00000000e+00   1.80972008e+00   3.53342310e+00   6.95688727e+00   
127     1.01037501e-08   7.00000000e+00   7.00000000e+00   1.80992316e+00   3.46836281e+00   6.95564311e+00   
128     1.01051652e-08   7.00000000e+00   7.00000000e+00   1.81028613e+00   3.40217966e+00   6.95441840e+00   
129     1.01065803e-08   7.00000000e+00   7.00000000e+00   1.81086014e+00   3.33677997e+00   6.95321380e+00   
130     1.01094106e-08   7.00000000e+00   7.00000000e+00   1.81269897e+00   3.21095617e+00   6.95085792e+00   
131     1.01117737e-08   7.00000000e+00   7.00000000e+00   1.81480313e+00   3.11530127e+00   6.94897642e+00   
132     1.01141368e-08   7.00000000e+00   7.00000000e+00   1.81721866e+00   3.02740280e+00   6.94714953e+00   
133     1.01165000e-08   7.00000000e+00   7.00000000e+00   1.81962406e+00   2.94724130e+00   6.94536818e+00   
134     1.01212262e-08   7.00000000e+00   7.00000000e+00   1.82426585e+00   2.80428845e+00   6.94189085e+00   
135     1.01254356e-08   7.00000000e+00   7.00000000e+00   1.82812257e+00   2.70412589e+00   6.93892582e+00   
136     1.01292241e-08   7.00000000e+00   7.00000000e+00   1.83147451e+00   2.62668260e+00   6.93630382e+00   
137     1.01330125e-08   7.00000000e+00   7.00000000e+00   1.83471716e+00   2.56011049e+00   6.93371676e+00   
138     1.01368009e-08   7.00000000e+00   7.00000000e+00   1.83786070e+00   2.50289684e+00   6.93115553e+00   
139     1.01443778e-08   7.00000000e+00   7.00000000e+00   1.84394406e+00   2.40692208e+00   6.92607380e+00   
140     1.01491624e-08   7.00000000e+00   7.00000000e+00   1.84756745e+00   2.36344902e+00   6.92289548e+00   
141     1.01534685e-08   7.00000000e+00   7.00000000e+00   1.85073868e+00   2.33050900e+00   6.92003935e+00   
142     1.01577746e-08   7.00000000e+00   7.00000000e+00   1.85382577e+00   2.30274780e+00   6.91718425e+00   
143     1.01620807e-08   7.00000000e+00   7.00000000e+00   1.85683365e+00   2.27934652e+00   6.91432777e+00   
144     1.01706929e-08   7.00000000e+00   7.00000000e+00   1.86267902e+00   2.24077223e+00   6.90860789e+00   
145     1.01762502e-08   7.00000000e+00   7.00000000e+00   1.86625613e+00   2.22386834e+00   6.90490336e+00   
146     1.01812518e-08   7.00000000e+00   7.00000000e+00   1.86938916e+00   2.21135847e+00   6.90156099e+00   
147     1.01862534e-08   7.00000000e+00   7.00000000e+00   1.87243915e+00   2.20106152e+00   6.89820992e+00   
148     1.01912550e-08   7.00000000e+00   7.00000000e+00   1.87540922e+00   2.19258121e+00   6.89485005e+00   
149     1.02012581e-08   7.00000000e+00   7.00000000e+00   1.88117315e+00   2.17891827e+00   6.88811165e+00   
150     1.02084675e-08   7.00000000e+00   7.00000000e+00   1.88508435e+00   2.17276710e+00   6.88322572e+00   
151     1.02149560e-08   7.00000000e+00   7.00000000e+00   1.88848942e+00   2.16841627e+00   6.87881530e+00   
152     1.02214444e-08   7.00000000e+00   7.00000000e+00   1.89178346e+00   2.16498943e+00   6.87439242e+00   
153     1.02279329e-08   7.00000000e+00   7.00000000e+00   1.89497037e+00   2.16228396e+00   6.86995784e+00   
154     1.02409098e-08   7.00000000e+00   7.00000000e+00   1.90110764e+00   2.15809975e+00   6.86106632e+00   
155     1.02521623e-08   7.00000000e+00   7.00000000e+00   1.90599277e+00   2.15615280e+00   6.85330855e+00   
156     1.02622896e-08   7.00000000e+00   7.00000000e+00   1.91017206e+00   2.15487555e+00   6.84630732e+00   
157     1.02724168e-08   7.00000000e+00   7.00000000e+00   1.91414462e+00   2.15393075e+00   6.83928878e+00   
158     1.02825440e-08   7.00000000e+00   7.00000000e+00   1.91792081e+00   2.15321948e+00   6.83225502e+00   
159     1.03027985e-08   7.00000000e+00   7.00000000e+00   1.92504808e+00   2.15214750e+00   6.81816436e+00   
160     1.03230530e-08   7.00000000e+00   7.00000000e+00   1.93121710e+00   2.15159290e+00   6.80400288e+00   
161     1.03433075e-08   7.00000000e+00   7.00000000e+00   1.93680777e+00   2.15117083e+00   6.78981976e+00   
162     1.03635620e-08   7.00000000e+00   7.00000000e+00   1.94187527e+00   2.15083059e+00   6.77562561e+00   
163     1.04040710e-08   7.00000000e+00   7.00000000e+00   1.95094643e+00   2.15026472e+00   6.74726370e+00   
164     1.04389722e-08   7.00000000e+00   7.00000000e+00   1.95700057e+00   2.14992281e+00   6.72283254e+00   
165     1.04699850e-08   7.00000000e+00   7.00000000e+00   1.96165596e+00   2.14965894e+00   6.70118954e+00   
166     1.05009979e-08   7.00000000e+00   7.00000000e+00   1.96568722e+00   2.14942874e+00   6.67962475e+00   
167     1.05320108e-08   7.00000000e+00   7.00000000e+00   1.96918086e+00   2.14922727e+00   6.65815155e+00   
168     1.05940365e-08   7.00000000e+00   7.00000000e+00   1.97513976e+00   2.14887914e+00   6.61550556e+00   
169     1.06343958e-08   7.00000000e+00   7.00000000e+00   1.97795261e+00   2.14870886e+00   6.58802321e+00   
170     1.06707191e-08   7.00000000e+00   7.00000000e+00   1.98010795e+00   2.14857556e+00   6.56347014e+00   
171     1.07070425e-08   7.00000000e+00   7.00000000e+00   1.98194553e+00   2.14845909e+00   6.53910018e+00   
172     1.07433659e-08   7.00000000e+00   7.00000000e+00   1.98351446e+00   2.14835686e+00   6.51491771e+00   
173     1.08160126e-08   7.00000000e+00   7.00000000e+00   1.98615072e+00   2.14817917e+00   6.46706278e+00   
174     1.08665095e-08   7.00000000e+00   7.00000000e+00   1.98742034e+00   2.14808544e+00   6.43430663e+00   
175     1.09119567e-08   7.00000000e+00   7.00000000e+00   1.98836695e+00   2.14801150e+00   6.40505120e+00   
176     1.09574039e-08   7.00000000e+00   7.00000000e+00   1.98915093e+00   2.14794614e+00   6.37596787e+00   
177     1.10028511e-08   7.00000000e+00   7.00000000e+00   1.98980098e+00   2.14788789e+00   6.34705943e+00   
178     1.10937454e-08   7.00000000e+00   7.00000000e+00   1.99085965e+00   2.14778430e+00   6.28965930e+00   
179     1.11655969e-08   7.00000000e+00   7.00000000e+00   1.99138688e+00   2.14771910e+00   6.24497733e+00   
180     1.12302632e-08   7.00000000e+00   7.00000000e+00   1.99176516e+00   2.14766581e+00   6.20513582e+00   
181     1.12949295e-08   7.00000000e+00   7.00000000e+00   1.99207822e+00   2.14761638e+00   6.16566861e+00   
182     1.13595959e-08   7.00000000e+00   7.00000000e+00   1.99236017e+00   2.14756924e+00   6.12657748e+00   
183     1.14889285e-08   7.00000000e+00   7.00000000e+00   1.99306157e+00   2.14747143e+00   6.04929155e+00   
184     1.15294847e-08   7.00000000e+00   7.00000000e+00   1.99348104e+00   2.14743456e+00   6.02542513e+00   
185     1.15551917e-08   7.00000000e+00   7.00000000e+00   1.99385076e+00   2.14740746e+00   6.01036961e+00   
186     1.15808986e-08   7.00000000e+00   7.00000000e+00   1.99433654e+00   2.14737574e+00   5.99538950e+00   
187     1.16066055e-08   7.00000000e+00   7.00000000e+00   1.99494832e+00   2.14733876e+00   5.98048686e+00   
188     1.16580193e-08   7.00000000e+00   7.00000000e+00   1.99650401e+00   2.14725060e+00   5.95086834e+00   
189     1.17094332e-08   7.00000000e+00   7.00000000e+00   1.99860022e+00   2.14713846e+00   5.92155487e+00   
190     1.17608470e-08   7.00000000e+00   7.00000000e+00   2.00125001e+00   2.14700081e+00   5.89255878e+00   
191     1.18122609e-08   7.00000000e+00   7.00000000e+00   2.00442357e+00   2.14683831e+00   5.86387866e+00   
192     1.18293988e-08   7.00000000e+00   7.00000000e+00   2.00558987e+00   2.14677892e+00   5.85438764e+00   
193     1.18465367e-08   7.00000000e+00   7.00000000e+00   2.00680755e+00   2.14671702e+00   5.84493070e+00   
194     1.18636747e-08   7.00000000e+00   7.00000000e+00   2.00807490e+00   2.14665269e+00   5.83550760e+00   
195     1.18808126e-08   7.00000000e+00   7.00000000e+00   2.00938604e+00   2.14658619e+00   5.82611714e+00   
196     1.18979506e-08   7.00000000e+00   7.00000000e+00   2.01073985e+00   2.14651756e+00   5.81675921e+00   
197     1.19150885e-08   7.00000000e+00   7.00000000e+00   2.01213373e+00   2.14644693e+00   5.80743336e+00   
198     1.19322265e-08   7.00000000e+00   7.00000000e+00   2.01356437e+00   2.14637447e+00   5.79813875e+00   
199     1.19493644e-08   7.00000000e+00   7.00000000e+00   2.01502927e+00   2.14630030e+00   5.78887500e+00   
200     1.19665024e-08   7.00000000e+00   7.00000000e+00   2.01652566e+00   2.14622453e+00   5.77964157e+00   
201     1.20007783e-08   7.00000000e+00   7.00000000e+00   2.01960929e+00   2.14606846e+00   5.76126441e+00   
202     1.20350542e-08   7.00000000e+00   7.00000000e+00   2.02279688e+00   2.14590716e+00   5.74300345e+00   
203     1.20693300e-08   7.00000000e+00   7.00000000e+00   2.02607081e+00   2.14574147e+00   5.72485496e+00   
204     1.21036059e-08   7.00000000e+00   7.00000000e+00   2.02942729e+00   2.14557177e+00   5.70681759e+00   
205     1.21378818e-08   7.00000000e+00   7.00000000e+00   2.03284805e+00   2.14539894e+00   5.68888748e+00   
206     1.21721577e-08   7.00000000e+00   7.00000000e+00   2.03631924e+00   2.14522370e+00   5.67106156e+00   
207     1.22064336e-08   7.00000000e+00   7.00000000e+00   2.03985427e+00   2.14504553e+00   5.65334126e+00   
208     1.22407095e-08   7.00000000e+00   7.00000000e+00   2.04343541e+00   2.14486532e+00   5.63572283e+00   
209     1.22749854e-08   7.00000000e+00   7.00000000e+00   2.04705463e+00   2.14468353e+00   5.61820417e+00   
210     1.23092613e-08   7.00000000e+00   7.00000000e+00   2.05072806e+00   2.14449910e+00   5.60078778e+00   
211     1.23435372e-08   7.00000000e+00   7.00000000e+00   2.05444425e+00   2.14431269e+00   5.58347089e+00   
212     1.23778131e-08   7.00000000e+00   7.00000000e+00   2.05820036e+00   2.14412442e+00   5.56625236e+00   
213     1.24120890e-08   7.00000000e+00   7.00000000e+00   2.06200753e+00   2.14393412e+00   5.54913382e+00   
214     1.24463649e-08   7.00000000e+00   7.00000000e+00   2.06586093e+00   2.14374195e+00   5.53211375e+00   
215     1.24806407e-08   7.00000000e+00   7.00000000e+00   2.06976072e+00   2.14354796e+00   5.51519160e+00   
216     1.26862961e-08   7.00000000e+00   7.00000000e+00   2.09435141e+00   2.14233100e+00   5.41570477e+00   
217     1.28919514e-08   7.00000000e+00   7.00000000e+00   2.12098300e+00   2.14102688e+00   5.31968887e+00   
218     1.33032622e-08   7.00000000e+00   7.00000000e+00   2.18117425e+00   2.13811826e+00   5.13768302e+00   
219     1.37145729e-08   7.00000000e+00   7.00000000e+00   2.25157805e+00   2.13476985e+00   4.96868049e+00   
220     1.41258836e-08   7.00000000e+00   7.00000000e+00   2.33411159e+00   2.13090580e+00   4.81216764e+00   
221     1.45371943e-08   7.00000000e+00   7.00000000e+00   2.43203152e+00   2.12639512e+00   4.66763141e+00   
222     1.48805501e-08   7.00000000e+00   7.00000000e+00   2.53022274e+00   2.12194808e+00   4.55581447e+00   
223     1.52239059e-08   7.00000000e+00   7.00000000e+00   2.65189448e+00   2.11653691e+00   4.45128856e+00   
224     1.54125134e-08   7.00000000e+00   7.00000000e+00   2.73614043e+00   2.11284515e+00   4.39732283e+00   
225     1.56011210e-08   7.00000000e+00   7.00000000e+00   2.83890290e+00   2.10841342e+00   4.34285132e+00   
226     1.57122251e-08   7.00000000e+00   7.00000000e+00   2.91018423e+00   2.10539025e+00   4.30776266e+00   
227     1.57894387e-08   7.00000000e+00   7.00000000e+00   2.96704951e+00   2.10300461e+00   4.27933045e+00   
228     1.58589309e-08   7.00000000e+00   7.00000000e+00   3.02558239e+00   2.10056781e+00   4.25102526e+00   
229     1.59284231e-08   7.00000000e+00   7.00000000e+00   3.09126877e+00   2.09783520e+00   4.22286378e+00   
230     1.59979153e-08   7.00000000e+00   7.00000000e+00   3.16397029e+00   2.09480285e+00   4.19503237e+00   
231     1.61368997e-08   7.00000000e+00   7.00000000e+00   3.32094476e+00   2.08866675e+00   4.14012283e+00   
232     1.62320489e-08   7.00000000e+00   7.00000000e+00   3.44315594e+00   2.08393356e+00   4.10348325e+00   
233     1.63271980e-08   7.00000000e+00   7.00000000e+00   3.57445344e+00   2.07876845e+00   4.06762194e+00   
234     1.64223471e-08   7.00000000e+00   7.00000000e+00   3.71449321e+00   2.07321282e+00   4.03408172e+00   
235     1.66126454e-08   7.00000000e+00   7.00000000e+00   4.01014070e+00   2.06188880e+00   3.97633829e+00   
236     1.67739267e-08   7.00000000e+00   7.00000000e+00   4.28565735e+00   2.05194017e+00   3.93780134e+00   
237     1.69352080e-08   7.00000000e+00   7.00000000e+00   4.58386609e+00   2.04219218e+00   3.90794863e+00   
238     1.70803612e-08   7.00000000e+00   7.00000000e+00   4.86165250e+00   2.03386983e+00   3.88813247e+00   
239     1.72255144e-08   7.00000000e+00   7.00000000e+00   5.12139662e+00   2.02655174e+00   3.87266619e+00   
240     1.73468262e-08   7.00000000e+00   7.00000000e+00   5.32125605e+00   2.02137560e+00   3.86149885e+00   
241     1.74560067e-08   7.00000000e+00   7.00000000e+00   5.48576705e+00   2.01746166e+00   3.85182802e+00   
242     1.75542692e-08   7.00000000e+00   7.00000000e+00   5.62112105e+00   2.01449750e+00   3.84288687e+00   
