Index        TIME             V(18)        {V(203)+1.0}        V(200)
50      1.18751500e-01   2.54211716e+00   1.03109445e+00   2.50700000e+00   
51      1.37439500e-01   2.52348223e+00   1.01245719e+00   2.50700000e+00   
52      1.50000000e-01   2.51096339e+00   9.99938360e-01   2.50700000e+00   
53      1.50000500e-01   2.51096260e+00   9.99937571e-01   2.50690000e+00   
54      1.50001500e-01   2.51096105e+00   9.99936018e-01   2.50670000e+00   
55      1.50003500e-01   2.51095802e+00   9.99932991e-01   2.50630000e+00   
56      1.50007500e-01   2.51095229e+00   9.99927255e-01   2.50550000e+00   
57      1.50015500e-01   2.51094209e+00   9.99917060e-01   2.50390000e+00   
58      1.50031500e-01   2.51092680e+00   9.99901773e-01   2.50070000e+00   
59      1.50047500e-01   2.51091662e+00   9.99891589e-01   2.49750000e+00   
60      1.50063500e-01   2.51091154e+00   9.99886508e-01   2.49430000e+00   
61      1.50095500e-01   2.51091328e+00   9.99888252e-01   2.48790000e+00   
62      1.50100000e-01   2.51091513e+00   9.99890097e-01   2.48700000e+00   
63      1.50104500e-01   2.51091961e+00   9.99894584e-01   2.48700000e+00   
64      1.50113500e-01   2.51092858e+00   9.99903555e-01   2.48700000e+00   
65      1.50131500e-01   2.51094652e+00   9.99921495e-01   2.48700000e+00   
66      1.50167500e-01   2.51098241e+00   9.99957376e-01   2.48700000e+00   
67      1.50239500e-01   2.51105417e+00   1.00002914e+00   2.48700000e+00   
68      1.50383500e-01   2.51119769e+00   1.00017266e+00   2.48700000e+00   
69      1.50671500e-01   2.51148473e+00   1.00045970e+00   2.48700000e+00   
70      1.51247500e-01   2.51205880e+00   1.00103376e+00   2.48700000e+00   
71      1.52399500e-01   2.51320688e+00   1.00218182e+00   2.48700000e+00   
72      1.54703500e-01   2.51550286e+00   1.00447769e+00   2.48700000e+00   
73      1.59311500e-01   2.52009400e+00   1.00906841e+00   2.48700000e+00   
74      1.68527500e-01   2.52927306e+00   1.01824580e+00   2.48700000e+00   
75      1.86959500e-01   2.54761834e+00   1.03658433e+00   2.48700000e+00   
76      2.00000000e-01   2.56059107e+00   1.04955060e+00   2.48700000e+00   
77      2.00000500e-01   2.56059186e+00   1.04955139e+00   2.48710000e+00   
78      2.00001500e-01   2.56059341e+00   1.04955294e+00   2.48730000e+00   
79      2.00003500e-01   2.56059643e+00   1.04955596e+00   2.48770000e+00   
80      2.00007500e-01   2.56060216e+00   1.04956169e+00   2.48850000e+00   
81      2.00015500e-01   2.56061234e+00   1.04957186e+00   2.49010000e+00   
82      2.00031500e-01   2.56062760e+00   1.04958711e+00   2.49330000e+00   
83      2.00063500e-01   2.56063770e+00   1.04959720e+00   2.49970000e+00   
84      2.00100000e-01   2.56062266e+00   1.04958214e+00   2.50700000e+00   
85      2.00136500e-01   2.56058621e+00   1.04954568e+00   2.50700000e+00   
86      2.00209500e-01   2.56051332e+00   1.04947275e+00   2.50700000e+00   
87      2.00355500e-01   2.56036753e+00   1.04932688e+00   2.50700000e+00   
88      2.00647500e-01   2.56007595e+00   1.04903516e+00   2.50700000e+00   
89      2.01231500e-01   2.55949281e+00   1.04845174e+00   2.50700000e+00   
90      2.02399500e-01   2.55832658e+00   1.04728496e+00   2.50700000e+00   
91      2.04735500e-01   2.55599433e+00   1.04495165e+00   2.50700000e+00   
92      2.09407500e-01   2.55133065e+00   1.04028609e+00   2.50700000e+00   
93      2.18751500e-01   2.54200660e+00   1.03095915e+00   2.50700000e+00   
94      2.37439500e-01   2.52337175e+00   1.01232200e+00   2.50700000e+00   
95      2.50000000e-01   2.51085297e+00   9.99803240e-01   2.50700000e+00   
96      2.50000500e-01   2.51085218e+00   9.99802451e-01   2.50690000e+00   
97      2.50001500e-01   2.51085062e+00   9.99800898e-01   2.50670000e+00   
98      2.50003500e-01   2.51084760e+00   9.99797871e-01   2.50630000e+00   
99      2.50007500e-01   2.51084186e+00   9.99792135e-01   2.50550000e+00   
100     2.50015500e-01   2.51083167e+00   9.99781940e-01   2.50390000e+00   
101     2.50031500e-01   2.51081638e+00   9.99766653e-01   2.50070000e+00   
102     2.50047500e-01   2.51080620e+00   9.99756469e-01   2.49750000e+00   
103     2.50079500e-01   2.51080624e+00   9.99756513e-01   2.49110000e+00   
104     2.50100000e-01   2.51081464e+00   9.99764918e-01   2.48700000e+00   
105     2.50120500e-01   2.51083508e+00   9.99785352e-01   2.48700000e+00   
106     2.50161500e-01   2.51087594e+00   9.99826217e-01   2.48700000e+00   
107     2.50243500e-01   2.51095767e+00   9.99907945e-01   2.48700000e+00   
108     2.50407500e-01   2.51112113e+00   1.00007140e+00   2.48700000e+00   
109     2.50735500e-01   2.51144804e+00   1.00039831e+00   2.48700000e+00   
110     2.51391500e-01   2.51210184e+00   1.00105210e+00   2.48700000e+00   
111     2.52703500e-01   2.51340937e+00   1.00235960e+00   2.48700000e+00   
112     2.55327500e-01   2.51602417e+00   1.00497428e+00   2.48700000e+00   
113     2.60575500e-01   2.52125274e+00   1.01020231e+00   2.48700000e+00   
114     2.71071500e-01   2.53170571e+00   1.02065311e+00   2.48700000e+00   
115     2.92063500e-01   2.55259498e+00   1.04153366e+00   2.48700000e+00   
116     3.00000000e-01   2.56049026e+00   1.04942502e+00   2.48700000e+00   
117     3.00000500e-01   2.56049105e+00   1.04942581e+00   2.48710000e+00   
118     3.00001500e-01   2.56049260e+00   1.04942736e+00   2.48730000e+00   
119     3.00003500e-01   2.56049562e+00   1.04943038e+00   2.48770000e+00   
120     3.00007500e-01   2.56050135e+00   1.04943611e+00   2.48850000e+00   
121     3.00015500e-01   2.56051153e+00   1.04944628e+00   2.49010000e+00   
122     3.00031500e-01   2.56052679e+00   1.04946153e+00   2.49330000e+00   
123     3.00063500e-01   2.56053689e+00   1.04947162e+00   2.49970000e+00   
124     3.00100000e-01   2.56052186e+00   1.04945657e+00   2.50700000e+00   
125     3.00136500e-01   2.56048541e+00   1.04942010e+00   2.50700000e+00   
126     3.00209500e-01   2.56041251e+00   1.04934717e+00   2.50700000e+00   
127     3.00355500e-01   2.56026672e+00   1.04920131e+00   2.50700000e+00   
128     3.00647500e-01   2.55997515e+00   1.04890959e+00   2.50700000e+00   
129     3.01231500e-01   2.55939201e+00   1.04832617e+00   2.50700000e+00   
130     3.02399500e-01   2.55822578e+00   1.04715939e+00   2.50700000e+00   
131     3.04735500e-01   2.55589354e+00   1.04482610e+00   2.50700000e+00   
132     3.09407500e-01   2.55122988e+00   1.04016056e+00   2.50700000e+00   
133     3.18751500e-01   2.54190587e+00   1.03083367e+00   2.50700000e+00   
134     3.37439500e-01   2.52327109e+00   1.01219662e+00   2.50700000e+00   
135     3.50000000e-01   2.51075236e+00   9.99677920e-01   2.50700000e+00   
136     3.50000500e-01   2.51075157e+00   9.99677131e-01   2.50690000e+00   
137     3.50001500e-01   2.51075001e+00   9.99675577e-01   2.50670000e+00   
138     3.50003500e-01   2.51074699e+00   9.99672550e-01   2.50630000e+00   
139     3.50007500e-01   2.51074125e+00   9.99666815e-01   2.50550000e+00   
140     3.50015500e-01   2.51073106e+00   9.99656620e-01   2.50390000e+00   
141     3.50031500e-01   2.51071577e+00   9.99641333e-01   2.50070000e+00   
142     3.50063500e-01   2.51070561e+00   9.99631171e-01   2.49430000e+00   
143     3.50095500e-01   2.51071586e+00   9.99641421e-01   2.48790000e+00   
144     3.50100000e-01   2.51071770e+00   9.99643266e-01   2.48700000e+00   
145     3.50104500e-01   2.51072219e+00   9.99647753e-01   2.48700000e+00   
146     3.50113500e-01   2.51073116e+00   9.99656723e-01   2.48700000e+00   
147     3.50131500e-01   2.51074910e+00   9.99674664e-01   2.48700000e+00   
148     3.50167500e-01   2.51078498e+00   9.99710545e-01   2.48700000e+00   
149     3.50239500e-01   2.51085674e+00   9.99782307e-01   2.48700000e+00   
150     3.50383500e-01   2.51100026e+00   9.99925830e-01   2.48700000e+00   
151     3.50671500e-01   2.51128731e+00   1.00021287e+00   2.48700000e+00   
152     3.51247500e-01   2.51186138e+00   1.00078694e+00   2.48700000e+00   
153     3.52399500e-01   2.51300948e+00   1.00193501e+00   2.48700000e+00   
154     3.54703500e-01   2.51530547e+00   1.00423091e+00   2.48700000e+00   
155     3.59311500e-01   2.51989664e+00   1.00882168e+00   2.48700000e+00   
156     3.68527500e-01   2.52907578e+00   1.01799915e+00   2.48700000e+00   
157     3.86959500e-01   2.54742120e+00   1.03633787e+00   2.48700000e+00   
158     4.00000000e-01   2.56039402e+00   1.04930427e+00   2.48700000e+00   
End of Xyce(TM) Simulation
